Season	Week Start Date	Week End Date	MMWR Week	Activity type	Region Name	Activity level	Last updated
2023-2024	9/17/23	9/23/23	38	ILI	Boston	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Central	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Northeast	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Outer Metro Boston	Low	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	Southeast	Minimal	3/7/24
2023-2024	9/17/23	9/23/23	38	ILI	West	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Boston	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Central	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Northeast	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	Southeast	Minimal	3/7/24
2023-2024	9/24/23	9/30/23	39	ILI	West	Minimal	3/7/24
2023-2024	10/1/23	10/7/23	40	ILI	Boston	Minimal	3/7/24
2023-2024	10/1/23	10/7/23	40	ILI	Central	Minimal	3/7/24
2023-2024	10/1/23	10/7/23	40	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	10/1/23	10/7/23	40	ILI	Northeast	Minimal	3/7/24
2023-2024	10/1/23	10/7/23	40	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	10/1/23	10/7/23	40	ILI	Southeast	Minimal	3/7/24
2023-2024	10/1/23	10/7/23	40	ILI	West	Minimal	3/7/24
2023-2024	10/8/23	10/14/23	41	ILI	Boston	Minimal	3/7/24
2023-2024	10/8/23	10/14/23	41	ILI	Central	Minimal	3/7/24
2023-2024	10/8/23	10/14/23	41	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	10/8/23	10/14/23	41	ILI	Northeast	Minimal	3/7/24
2023-2024	10/8/23	10/14/23	41	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	10/8/23	10/14/23	41	ILI	Southeast	Minimal	3/7/24
2023-2024	10/8/23	10/14/23	41	ILI	West	Minimal	3/7/24
2023-2024	10/15/23	10/21/23	42	ILI	Boston	Minimal	3/7/24
2023-2024	10/15/23	10/21/23	42	ILI	Central	Minimal	3/7/24
2023-2024	10/15/23	10/21/23	42	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	10/15/23	10/21/23	42	ILI	Northeast	Minimal	3/7/24
2023-2024	10/15/23	10/21/23	42	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	10/15/23	10/21/23	42	ILI	Southeast	Minimal	3/7/24
2023-2024	10/15/23	10/21/23	42	ILI	West	Minimal	3/7/24
2023-2024	10/22/23	10/28/23	43	ILI	Boston	Minimal	3/7/24
2023-2024	10/22/23	10/28/23	43	ILI	Central	Minimal	3/7/24
2023-2024	10/22/23	10/28/23	43	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	10/22/23	10/28/23	43	ILI	Northeast	Minimal	3/7/24
2023-2024	10/22/23	10/28/23	43	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	10/22/23	10/28/23	43	ILI	Southeast	Minimal	3/7/24
2023-2024	10/22/23	10/28/23	43	ILI	West	Minimal	3/7/24
2023-2024	10/29/23	11/4/23	44	ILI	Boston	Minimal	3/7/24
2023-2024	10/29/23	11/4/23	44	ILI	Central	Minimal	3/7/24
2023-2024	10/29/23	11/4/23	44	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	10/29/23	11/4/23	44	ILI	Northeast	Minimal	3/7/24
2023-2024	10/29/23	11/4/23	44	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	10/29/23	11/4/23	44	ILI	Southeast	Minimal	3/7/24
2023-2024	10/29/23	11/4/23	44	ILI	West	Minimal	3/7/24
2023-2024	11/5/23	11/11/23	45	ILI	Boston	Minimal	3/7/24
2023-2024	11/5/23	11/11/23	45	ILI	Central	Minimal	3/7/24
2023-2024	11/5/23	11/11/23	45	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	11/5/23	11/11/23	45	ILI	Northeast	Minimal	3/7/24
2023-2024	11/5/23	11/11/23	45	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	11/5/23	11/11/23	45	ILI	Southeast	Minimal	3/7/24
2023-2024	11/5/23	11/11/23	45	ILI	West	Minimal	3/7/24
2023-2024	11/12/23	11/18/23	46	ILI	Boston	Minimal	3/7/24
2023-2024	11/12/23	11/18/23	46	ILI	Central	Low	3/7/24
2023-2024	11/12/23	11/18/23	46	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	11/12/23	11/18/23	46	ILI	Northeast	Low	3/7/24
2023-2024	11/12/23	11/18/23	46	ILI	Outer Metro Boston	Minimal	3/7/24
2023-2024	11/12/23	11/18/23	46	ILI	Southeast	Low	3/7/24
2023-2024	11/12/23	11/18/23	46	ILI	West	Low	3/7/24
2023-2024	11/19/23	11/25/23	47	ILI	Boston	Low	3/7/24
2023-2024	11/19/23	11/25/23	47	ILI	Central	Low	3/7/24
2023-2024	11/19/23	11/25/23	47	ILI	Inner Metro Boston	Minimal	3/7/24
2023-2024	11/19/23	11/25/23	47	ILI	Northeast	Moderate	3/7/24
2023-2024	11/19/23	11/25/23	47	ILI	Outer Metro Boston	Low	3/7/24
2023-2024	11/19/23	11/25/23	47	ILI	Southeast	Moderate	3/7/24
2023-2024	11/19/23	11/25/23	47	ILI	West	Low	3/7/24
2023-2024	11/26/23	12/2/23	48	ILI	Boston	Low	3/7/24
