Source: https://docs.google.com/spreadsheets/d/1YP4mxT_vxiFwXU5ZuBM4obq_oscfhe05ODWwHFHEznM/edit#gid=645534562
Goodall2022
5.795
-3.56
-2.165
-4.31
11.74
4.88
-2
-4.035
-0.63
-2.05
-1.03
3.44
0.715
3.015
6.525
-3.075
0.575
1.53
-7.305
-5.34
0.905
6.49
0.665
-5.345
3.465
-0.43
-4.145
1.385
-7.63
7.61
5.815
-2.045
-2.96
-2.045
4.995
0.54
1.41
3.885
-3.935
-0.515
9.365
7.69
4.525
3.405
-0.92
-0.15
10.925
-5.2
0.23
2.84
5.945
-2.985
0.685
-1.67
4.065
6.015
2.03
-0.275
