Source: https://docs.google.com/spreadsheets/d/1YP4mxT_vxiFwXU5ZuBM4obq_oscfhe05ODWwHFHEznM/
Tu et al. 2020, Nasopharyngeal	Muller et al. 2021, Nasopharyngeal
-2.873407134	1.04084764
-4.650824108	2.093482181
-2.253480935	-0.1634802005
-1.933677737	-0.3063447888
2.111586716	-0.878422298
2.610184502	-1.183276525
4.64698647	-0.03597986178
-2.990701107	-0.6171612621
-4.27798278	-0.8699834266
-5.783124231	-0.8054077155
-6.719606396	-0.6955877294
-5.048462485	-1.434997967
-4.301795818	-2.252077926
-3.573923739	-2.44032438
-1.560442804	0.07741747188
-1.181303813	0.4733794052
-0.4582533825	-0.006489675516
-0.4065928659	0.9341922303
-2.043198032	0.6424320127
-5.096678967	1.439836559
-6.56895449	1.40816786
-6.773825338	1.441694028
-11.04806888	0.7531463356
-5.121574416	0.07886216997
-4.562164822	-0.1285093343
-2.757097171	-0.2451171081
-3.430159902	-0.5170643235
-3.022287823	-0.5882902321
-3.801623616	-0.8611317844
-3.020615006	-0.9589584832
-1.014809348	-0.7454871426
1.013726937	-1.128836632
1.531119311	-1.317151881
1.07896679	-1.388996946
2.842706027	-2.121894577
-0.2639114391	-2.056699709
-2.365461255	-2.017348885
-4.558622386	-1.912871989
-4.312816728	-1.665943275
-5.761574416	-1.379594943
-5.093923739	-1.379594943
-4.487380074	-1.768769088
-3.36196802	-1.730106216
-1.50602706	-2.047916862
0.5347109471	-2.962479544
-0.1694464945	-3.111925534
-3.058400984	-3.839342485
-3.892546125	-4.59047083
	-5.18715407
	-4.233378154
	-3.604200673
	-3.091630966
	-2.443259639
	-1.878657869
	-1.949883778
	-2.131548829
	-2.261044227
	-2.449359475
	-4.52417524
	-3.867365042
	-3.242567518
	-2.989401378
	-3.662447231
	-3.932949748
	-1.561856218
	-1.192357485
	-1.141082169
	-1.121750732
	-1.54410707
	-2.062914204
	0.4141009204
	0.3876377206
	0.06262651532
	0.6065897412
	-0.06831358079
	-0.2304408101
	-0.3728926275
	-0.6388775968
	-0.5098637648
	-1.365675391
	-1.599028529
	-2.058947017
	-2.195161408
	-2.545741476
	-2.675512055
	-1.326049387
	-1.371018481
	-1.364368283
	-1.448413021
	-0.9749877524
	-0.7154465952
	-0.9099304752
	-0.8119661861
	-0.5586624556
	-0.8441852466
	-0.9607242253
	-0.8502850829
	-1.350311142
	-1.388974014
	-1.557682646
	-2.160947288
	-2.420626036
	-2.517627193
	-2.65432315
