Week Start Date	Week End Date	Confirmed deaths	Probable deaths	Confirmed and probable deaths	Confirmed cases	Probable cases	Confirmed and probable cases	Last updated
5/9/21	5/15/21	53	3	56	3483	492	3975	3/7/24
9/17/23	9/23/23	25	4	29	2804	1030	3834	3/7/24
10/31/21	11/6/21	88	4	92	9941	898	10839	3/7/24
7/9/23	7/15/23	6	2	8	716	256	972	3/7/24
12/20/20	12/26/20	373	20	393	26424	1721	28145	3/7/24
6/27/21	7/3/21	13	1	14	554	85	639	3/7/24
10/22/23	10/28/23	20	7	27	1800	618	2418	3/7/24
11/20/22	11/26/22	61	22	83	4556	900	5456	3/7/24
7/12/20	7/18/20	37	5	42	1473	107	1580	3/7/24
9/3/23	9/9/23	18	6	24	2528	1040	3568	3/7/24
11/14/21	11/20/21	78	4	82	17354	1760	19114	3/7/24
4/3/22	4/9/22	35	3	38	10577	1207	11784	3/7/24
9/13/20	9/19/20	29	0	29	2485	123	2608	3/7/24
3/5/23	3/11/23	47	10	57	2342	559	2901	3/7/24
11/27/22	12/3/22	84	16	100	7658	1400	9058	3/7/24
2/7/21	2/13/21	214	12	226	12474	1109	13583	3/7/24
11/1/20	11/7/20	88	4	92	12316	567	12883	3/7/24
2/6/22	2/12/22	262	26	288	13881	1615	15496	3/7/24
9/6/20	9/12/20	22	0	22	2285	113	2398	3/7/24
2/21/21	2/27/21	160	15	175	10475	1130	11605	3/7/24
1/15/23	1/21/23	157	28	185	5727	1378	7105	3/7/24
10/4/20	10/10/20	31	5	36	4410	240	4650	3/7/24
3/13/22	3/19/22	40	5	45	4697	518	5215	3/7/24
2/20/22	2/26/22	119	8	127	6090	429	6519	3/7/24
12/18/22	12/24/22	95	29	124	9467	1942	11409	3/7/24
3/15/20	3/21/20	7	0	7	1717	0	1717	3/7/24
6/5/22	6/11/22	74	19	93	11209	1642	12851	3/7/24
12/10/23	12/16/23	31	5	36	4347	1347	5694	3/7/24
1/16/22	1/22/22	464	49	513	70123	7830	77953	3/7/24
4/17/22	4/23/22	35	8	43	14171	1022	15193	3/7/24
8/21/22	8/27/22	56	14	70	8009	976	8985	3/7/24
12/6/20	12/12/20	273	13	286	32279	1558	33837	3/7/24
4/24/22	4/30/22	38	4	42	18556	2040	20596	3/7/24
2/13/22	2/19/22	191	13	204	9780	1060	10840	3/7/24
5/14/23	5/20/23	9	2	11	789	172	961	3/7/24
5/2/21	5/8/21	58	3	61	5129	679	5808	3/7/24
5/31/20	6/6/20	255	3	258	2431	30	2461	3/7/24
3/28/21	4/3/21	78	3	81	13729	1493	15222	3/7/24
8/8/21	8/14/21	40	4	44	8100	671	8771	3/7/24
3/21/21	3/27/21	82	1	83	13713	1532	15245	3/7/24
3/8/20	3/14/20	0	0	0	223	0	223	3/7/24
12/12/21	12/18/21	187	10	197	36596	3354	39950	3/7/24
1/9/22	1/15/22	342	59	401	114047	13953	128000	3/7/24
4/9/23	4/15/23	18	4	22	1346	319	1665	3/7/24
6/6/21	6/12/21	27	0	27	684	108	792	3/7/24
7/5/20	7/11/20	59	1	60	1385	97	1482	3/7/24
9/18/22	9/24/22	57	16	73	9141	1331	10472	3/7/24
12/24/23	12/30/23	48	11	59	5345	1349	6694	3/7/24
4/16/23	4/22/23	9	2	11	936	205	1141	3/7/24
8/9/20	8/15/20	26	0	26	1881	88	1969	3/7/24
2/27/22	3/5/22	76	8	84	5319	538	5857	3/7/24
1/22/23	1/28/23	118	28	146	5255	1321	6576	3/7/24
