Season	Week Start Date	Week End Date	City/Town	County	Population	Cumulative tests	Tests during the week	Positive tests the week	Week percent positivity	Cumulative confirmed cases	Weekly testing rate	Cases during this week	Weekly case rate	Last updated
2023-2024	7/2/23	7/8/23	New Ashford	Berkshire	250.00000167	1	1	0	0	0	399.99999732800006	0	0	3/7/24
2023-2024	7/2/23	7/8/23	New Bedford	Bristol	101079.00042725	162	162	13	0.080246913580246909	13	160.27067869215517	13	12.861227302456896	3/7/24
2023-2024	7/2/23	7/8/23	New Braintree	Worcester	996.00000167	1	1	0	0	0	100.40160625735875	0	0	3/7/24
2023-2024	7/2/23	7/8/23	New Marlborough	Berkshire	1528.00000381	5	5	0	0	0	327.22513007413107	0	0	3/7/24
2023-2024	7/2/23	7/8/23	New Salem	Franklin	982.99999881	0	0	0	*	0	0	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Newbury	Essex	6716.00003815	7	7	0	0	0	104.22870697195873	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Newburyport	Essex	18288.99998474	24	24	0	0	0	131.22642036210374	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Newton	Middlesex	88923.00036621	135	135	11	0.081481481481481488	10	151.81673970067578	10	11.245684422272278	3/7/24
2023-2024	7/2/23	7/8/23	Norfolk	Norfolk	11662.0001297	23	23	1	0.043478260869565216	1-4	197.22174364777393	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	North Adams	Berkshire	12961.00001526	73	73	1	0.013698630136986301	1-4	563.2281453132581	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	North Andover	Essex	30914.99996948	45	45	4	0.088888888888888892	1-4	145.56040771284179	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	North Attleborough	Bristol	30833.99981689	29	29	1	0.034482758620689655	1-4	94.052021055389048	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	North Brookfield	Worcester	4735.00000763	10	10	0	0	0	211.19324147594415	0	0	3/7/24
2023-2024	7/2/23	7/8/23	North Reading	Middlesex	15553.99993134	28	28	3	0.10714285714285714	1-4	180.01800259483323	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Northampton	Hampshire	29571.00001526	55	55	6	0.10909090909090909	5	185.9930336194835	5	16.908457601771229	3/7/24
2023-2024	7/2/23	7/8/23	Northborough	Worcester	15740.99991608	12	12	1	0.083333333333333329	1-4	76.234038904616014	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Northbridge	Worcester	16335	36	36	2	0.055555555555555552	1-4	220.38567493112944	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Northfield	Franklin	2865.99999809	5	5	0	0	0	174.45917666895221	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Norton	Bristol	19202.00011444	20	20	2	0.10000000000000001	1-4	104.15581648163774	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Norwell	Plymouth	11350.99996948	20	20	0	0	0	176.19593034776668	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Norwood	Norfolk	31610.99984741	62	62	4	0.064516129032258063	1-4	196.13425800917801	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Oak Bluffs	Dukes	5340.99998856	10	10	2	0.20000000000000001	1-4	187.23085604604401	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Oakham	Worcester	1850.99999332	5	5	0	0	0	270.12425813313348	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Orange	Franklin	7569.00001907	18	18	1	0.055555555555555552	1-4	237.81212781938467	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Orleans	Barnstable	6306.99996185	27	27	1	0.037037037037037035	1-4	428.09576919801071	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Otis	Berkshire	1634.00000191	2	2	0	0	0	122.39902066476002	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Oxford	Worcester	13346.99996948	13	13	0	0	0	97.400165053768859	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Palmer	Hampden	12447.99996948	58	58	0	0	0	465.93830448428957	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Paxton	Worcester	5003.99996948	13	13	1	0.076923076923076927	1-4	259.79216785149021	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Peabody	Essex	54481.00006104	137	137	7	0.051094890510948905	7	251.46381279070954	7	12.848515982007058	3/7/24
2023-2024	7/2/23	7/8/23	Pelham	Hampshire	1280.00000668	1	1	0	0	0	78.124999592285164	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Pembroke	Plymouth	18361.00001526	16	16	1	0.0625	1-4	87.141223172497405	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Pepperell	Middlesex	11603.99997711	4	4	0	0	0	34.470872181061559	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Peru	Berkshire	814.00000548	1	1	0	0	0	122.8501220230729	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Petersham	Worcester	1194.00000811	4	4	0	0	0	335.00837293390458	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Phillipston	Worcester	1725.99998665	1	1	0	0	0	57.93742802634106	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Pittsfield	Berkshire	43927.00006104	216	216	3	0.013888888888888888	1-4	491.72490654916368	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Plainfield	Hampshire	633.00000477	0	0	0	*	0	0	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Plainville	Norfolk	9945.00001526	18	18	3	0.16666666666666666	1-4	180.99547483539558	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Plymouth	Plymouth	61216.99951172	142	142	13	0.09154929577464789	12	231.96171183269783	12	19.60239818304489	3/7/24
2023-2024	7/2/23	7/8/23	Plympton	Plymouth	2929.99999619	2	2	0	0	0	68.259385754289511	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Princeton	Worcester	3494.99999619	3	3	0	0	0	85.83690996481792	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Provincetown	Barnstable	3664.00000572	12	12	1	0.083333333333333329	1-4	327.51091651927885	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Quincy	Norfolk	101635.99993897	141	141	6	0.042553191489361701	6	138.73037121164464	6	5.9034200515593467	3/7/24
2023-2024	7/2/23	7/8/23	Randolph	Norfolk	34984.00018311	49	49	2	0.040816326530612242	1-4	140.06402853741355	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Raynham	Bristol	15141.99993896	7	7	1	0.14285714285714285	1-4	46.229032018347645	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Reading	Middlesex	25517.99981689	44	44	2	0.045454545454545456	1-4	172.42730745251055	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Rehoboth	Bristol	12501.99996185	15	15	5	0.33333333333333331	5	119.98080343763138	5	39.993601145877129	3/7/24
2023-2024	7/2/23	7/8/23	Revere	Suffolk	62185.99996948	174	174	8	0.045977011494252873	7	279.80574419547281	7	11.256552927404078	3/7/24
2023-2024	7/2/23	7/8/23	Richmond	Berkshire	1407.00001335	2	2	0	0	0	142.14640945440328	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Rochester	Plymouth	5716.99999237	7	7	1	0.14285714285714285	1-4	122.44184028935302	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Rockland	Plymouth	17802.99996185	30	30	1	0.033333333333333333	1-4	168.51092548608054	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Rockport	Essex	6992.00001526	11	11	0	0	0	157.32265411888679	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Rowe	Franklin	424	0	0	0	*	0	0	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Rowley	Essex	6161.00003433	11	11	1	0.090909090909090912	1-4	178.54244341351045	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Royalston	Worcester	1249.99999523	0	0	0	*	0	0	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Russell	Hampden	1643.00000477	8	8	0	0	0	486.91417996191075	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Rutland	Worcester	9049.00003433	16	16	2	0.125	1-4	176.8151170217634	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Salem	Essex	44479.99984741	67	67	3	0.044776119402985072	1-4	150.6294969196168	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Salisbury	Essex	9236.00004196	11	11	0	0	0	119.09917659187946	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Sandisfield	Berkshire	988.99998713	1	1	0	0	0	101.11223589617238	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Sandwich	Barnstable	20259.00003052	69	69	12	0.17391304347826086	11	340.58936717533993	11	54.296855636648402	3/7/24
2023-2024	7/2/23	7/8/23	Saugus	Essex	28618.99995422	54	54	2	0.037037037037037035	1-4	188.68583838142627	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Savoy	Berkshire	644.99999857	0	0	0	*	0	0	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Scituate	Plymouth	19063.00004578	22	22	0	0	0	115.4068087245804	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Seekonk	Bristol	15531.00001526	9	9	1	0.1111111111111111	1-4	57.948618834312285	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Sharon	Norfolk	18575	22	22	0	0	0	118.43876177658143	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Sheffield	Berkshire	3327.00003433	4	4	0	0	0	120.22843278405709	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Shelburne	Franklin	1883.99999142	13	13	0	0	0	690.02123456495872	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Sherborn	Middlesex	4400.99999237	6	6	0	0	0	136.33265190643448	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Shirley	Middlesex	7431.00001907	3	3	0	0	0	40.371416933133773	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Shrewsbury	Worcester	38324.99990845	34	34	2	0.058823529411764705	1-4	88.714938241927001	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Shutesbury	Franklin	1716.99999332	0	0	0	*	0	0	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Somerset	Bristol	18302.99981689	12	12	1	0.083333333333333329	1-4	65.563023111251994	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Somerville	Middlesex	81044.99966431	129	129	4	0.031007751937984496	1-4	159.17083167909254	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	South Hadley	Hampshire	18150.00010681	48	48	2	0.041666666666666664	1-4	264.46280836103182	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Southampton	Hampshire	6223.99996948	23	23	0	0	0	369.53727687633	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Southborough	Worcester	10450.00006104	11	11	2	0.18181818181818182	1-4	105.26315727987912	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Southbridge	Worcester	17739.99993896	35	35	1	0.028571428571428571	1-4	197.29425096070131	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Southwick	Hampden	9231.99997711	33	33	0	0	0	357.45234057431594	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Spencer	Worcester	11992.00004578	17	17	1	0.058823529411764705	1-4	141.76117357489773	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Springfield	Hampden	155928.99914551	645	645	12	0.018604651162790697	12	413.64980442034272	12	7.6958103147970744	3/7/24
2023-2024	7/2/23	7/8/23	Statewide (all of MA)		7029916.997	13330	13330	658	0.049362340585146283	607	189.61817053727012	607	8.6345258451705149	3/7/24
2023-2024	7/2/23	7/8/23	Sterling	Worcester	7985.00001144	9	9	0	0	0	112.71133358930273	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Stockbridge	Berkshire	2018.00001335	5	5	0	0	0	247.77006773650623	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Stoneham	Middlesex	23243.99995422	40	40	0	0	0	172.08742074850122	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Stoughton	Norfolk	29281.00024414	27	27	2	0.07407407407407407	1-4	92.209964737811518	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Stow	Middlesex	7174.00006104	9	9	0	0	0	125.45302374440304	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Sturbridge	Worcester	9867.00001526	16	16	1	0.0625	1-4	162.15668364502775	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Sudbury	Middlesex	18934.00010681	20	20	1	0.050000000000000003	1-4	105.63008285188818	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Sunderland	Franklin	3663.00003052	10	10	0	0	0	273.00027072564342	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Sutton	Worcester	9357.00002289	15	15	0	0	0	160.30779056648012	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Swampscott	Essex	15111.00006104	26	26	0	0	0	172.06008798209598	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Swansea	Bristol	17143.99992371	12	12	0	0	0	69.995333955899682	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Taunton	Bristol	59407.99990845	24	24	2	0.083333333333333329	1-4	40.398599577472588	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Templeton	Worcester	8149.00001526	8	8	1	0.125	1-4	98.171554608160761	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Tewksbury	Middlesex	31342.00015259	36	36	6	0.16666666666666666	6	114.86184616403648	6	19.14364102733941	3/7/24
2023-2024	7/2/23	7/8/23	Tisbury	Dukes	4814.99998474	28	28	0	0	0	581.51609737776437	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Tolland	Hampden	471.00000024	0	0	0	*	0	0	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Topsfield	Essex	6569.00001526	14	14	0	0	0	213.12224033304227	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Townsend	Middlesex	9127	10	10	3	0.29999999999999999	1-4	109.56502684343157	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Truro	Barnstable	2453.99997902	11	11	1	0.090909090909090912	1-4	448.24776259341405	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Tyngsborough	Middlesex	12379.99999237	8	8	2	0.25	1-4	64.620355451781364	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Tyringham	Berkshire	426.9999975	0	0	0	*	0	0	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Unknown	Unknown		129	129	2	*	2	*	2	*	3/7/24
2023-2024	7/2/23	7/8/23	Upton	Worcester	7999.99998856	12	12	0	0	0	150.00000021450001	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Uxbridge	Worcester	14162.00007629	29	29	0	0	0	204.77333599617583	0	0	3/7/24
2023-2024	7/2/23	7/8/23	Wakefield	Middlesex	27089.99998474	53	53	4	0.075471698113207544	1-4	195.64414924272904	1-4	*	3/7/24
2023-2024	7/2/23	7/8/23	Wales	Hampden	1832.00000954	6	6	0	0	0	327.51091532507962	0	0	3/7/24
