Season	Week Start Date	Week End Date	City/Town	County	Population	Cumulative tests	Tests during the week	Positive tests the week	Week percent positivity	Cumulative confirmed cases	Weekly testing rate	Cases during this week	Weekly case rate	Last updated
2023-2024	8/27/23	9/2/23	Scituate	Plymouth	19063.00004578	240	32	6	0.1875	27	167.86444905393512	5	26.228820164677362	3/7/24
2023-2024	8/27/23	9/2/23	Seekonk	Bristol	15531.00001526	108	13	3	0.23076923076923078	17	83.703560538451072	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Sharon	Norfolk	18575	237	39	6	0.15384615384615385	18	209.95962314939433	6	32.301480484522209	3/7/24
2023-2024	8/27/23	9/2/23	Sheffield	Berkshire	3327.00003433	109	10	0	0	1-4	300.57108196014269	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Shelburne	Franklin	1883.99999142	137	11	1	0.090909090909090912	8	583.8641215549651	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Sherborn	Middlesex	4400.99999237	59	8	2	0.25	7	181.77686920857931	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Shirley	Middlesex	7431.00001907	73	11	0	0	7	148.02852875482384	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Shrewsbury	Worcester	38324.99990845	477	58	3	0.051724137931034482	34	151.33724758916958	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Shutesbury	Franklin	1716.99999332	38	7	1	0.14285714285714285	1-4	407.68782919240232	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Somerset	Bristol	18302.99981689	128	11	2	0.18181818181818182	15	60.099437851981001	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Somerville	Middlesex	81044.99966431	1515	207	21	0.10144927536231885	113	255.41366013621828	16	19.742118657871945	3/7/24
2023-2024	8/27/23	9/2/23	South Hadley	Hampshire	18150.00010681	462	62	4	0.064516129032258063	28	341.59779413299947	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Southampton	Hampshire	6223.99996948	168	20	0	0	5	321.3367625011565	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Southborough	Worcester	10450.00006104	131	22	5	0.22727272727272727	13	210.52631455975825	5	47.846889672672326	3/7/24
2023-2024	8/27/23	9/2/23	Southbridge	Worcester	17739.99993896	393	48	6	0.125	22	270.57497274610461	5	28.184892994385898	3/7/24
2023-2024	8/27/23	9/2/23	Southwick	Hampden	9231.99997711	258	38	0	0	1-4	411.61178611587889	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Spencer	Worcester	11992.00004578	198	27	5	0.18518518518518517	19	225.15009920719052	5	41.694462816146391	3/7/24
2023-2024	8/27/23	9/2/23	Springfield	Hampden	155928.99914551	6620	904	88	0.097345132743362831	363	579.75104371471286	86	55.1533072560457	3/7/24
2023-2024	8/27/23	9/2/23	Statewide (all of MA)		7029916.997	148677	20909	2615	0.12506576115548329	12462	297.42883179023113	2410	34.282054838321159	3/7/24
2023-2024	8/27/23	9/2/23	Sterling	Worcester	7985.00001144	150	14	0	0	8	175.32874113891538	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Stockbridge	Berkshire	2018.00001335	70	9	0	0	1-4	445.98612192571125	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Stoneham	Middlesex	23243.99995422	575	80	11	0.13750000000000001	59	344.17484149700243	11	47.324040705837838	3/7/24
2023-2024	8/27/23	9/2/23	Stoughton	Norfolk	29281.00024414	316	47	4	0.085106382978723402	27	160.51364232137561	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Stow	Middlesex	7174.00006104	104	17	2	0.11764705882352941	9	236.96682262831686	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Sturbridge	Worcester	9867.00001526	159	30	2	0.066666666666666666	11	304.04378183442702	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Sudbury	Middlesex	18934.00010681	266	38	9	0.23684210526315788	31	200.69715741858758	9	47.533537283349681	3/7/24
2023-2024	8/27/23	9/2/23	Sunderland	Franklin	3663.00003052	71	10	1	0.10000000000000001	1-4	273.00027072564342	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Sutton	Worcester	9357.00002289	150	21	1	0.047619047619047616	7	224.43090679307218	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Swampscott	Essex	15111.00006104	393	64	14	0.21875	46	423.53252426362087	14	92.647739682667051	3/7/24
2023-2024	8/27/23	9/2/23	Swansea	Bristol	17143.99992371	127	26	5	0.19230769230769232	13	151.6565569044493	5	29.164722481624871	3/7/24
2023-2024	8/27/23	9/2/23	Taunton	Bristol	59407.99990845	526	83	8	0.096385542168674704	51	139.71182353875938	8	13.466199859157532	3/7/24
2023-2024	8/27/23	9/2/23	Templeton	Worcester	8149.00001526	136	29	6	0.20689655172413793	16	355.87188545458281	6	73.628665956120571	3/7/24
2023-2024	8/27/23	9/2/23	Tewksbury	Middlesex	31342.00015259	512	78	15	0.19230769230769232	73	248.86733335541234	15	47.859102568348526	3/7/24
2023-2024	8/27/23	9/2/23	Tisbury	Dukes	4814.99998474	224	21	5	0.23809523809523808	23	436.1370730333233	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Tolland	Hampden	471.00000024	2	0	0	*	0	0	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Topsfield	Essex	6569.00001526	140	23	5	0.21739130434782608	15	350.12939483285516	5	76.115085833229386	3/7/24
2023-2024	8/27/23	9/2/23	Townsend	Middlesex	9127	109	17	2	0.11764705882352941	13	186.26054563383369	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Truro	Barnstable	2453.99997902	65	8	1	0.125	5	325.99837279521023	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Tyngsborough	Middlesex	12379.99999237	153	28	8	0.2857142857142857	25	226.17124408123479	8	64.620355451781364	3/7/24
2023-2024	8/27/23	9/2/23	Tyringham	Berkshire	426.9999975	9	0	0	*	0	0	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Unknown	Unknown		1453	188	13	*	46	*	13	*	3/7/24
2023-2024	8/27/23	9/2/23	Upton	Worcester	7999.99998856	189	35	3	0.085714285714285715	13	437.50000062562503	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Uxbridge	Worcester	14162.00007629	369	51	6	0.11764705882352941	26	360.11862537258509	6	42.36689710265707	3/7/24
2023-2024	8/27/23	9/2/23	Wakefield	Middlesex	27089.99998474	591	77	11	0.14285714285714285	68	284.23772625830446	11	40.605389465472065	3/7/24
2023-2024	8/27/23	9/2/23	Wales	Hampden	1832.00000954	57	5	1	0.20000000000000001	1-4	272.92576277089967	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Walpole	Norfolk	26383.00012207	393	43	8	0.18604651162790697	28	162.98373877514214	8	30.322556051189235	3/7/24
2023-2024	8/27/23	9/2/23	Waltham	Middlesex	65217.99978638	1227	176	26	0.14772727272727273	135	269.86414881855285	21	32.199699574940965	3/7/24
2023-2024	8/27/23	9/2/23	Ware	Hampshire	10065.99990082	411	59	5	0.084745762711864403	18	586.13153766466576	5	49.672164208869994	3/7/24
2023-2024	8/27/23	9/2/23	Wareham	Plymouth	23302.99987793	523	82	12	0.14634146341463414	44	351.8860251021211	12	51.495515868603079	3/7/24
2023-2024	8/27/23	9/2/23	Warren	Worcester	4975.00001907	132	15	1	0.066666666666666666	1-4	301.5075365327138	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Warwick	Franklin	779.99999905	16	1	0	0	0	128.20512836127548	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Washington	Berkshire	494.00000238	16	0	0	*	1-4	0	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Watertown	Middlesex	35329.00003052	600	72	11	0.15277777777777779	64	203.79857889496071	10	28.305358179855656	3/7/24
2023-2024	8/27/23	9/2/23	Wayland	Middlesex	13943.00003052	247	32	3	0.09375	16	229.50584472462756	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Webster	Worcester	17775.99998474	401	68	8	0.11764705882352941	32	382.53825415377662	8	45.004500488679611	3/7/24
2023-2024	8/27/23	9/2/23	Wellesley	Norfolk	29549.99996948	359	54	8	0.14814814814814814	25	182.74111694000877	7	23.688663307038173	3/7/24
2023-2024	8/27/23	9/2/23	Wellfleet	Barnstable	3565.99996948	102	10	1	0.10000000000000001	9	280.42625029686184	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Wendell	Franklin	924.00000167	18	0	0	*	1-4	0	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Wenham	Essex	4978.99998093	68	7	3	0.42857142857142855	6	140.59048055454119	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	West Boylston	Worcester	7876.99999237	155	20	2	0.10000000000000001	8	253.90377071693356	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	West Bridgewater	Plymouth	7707.00000763	67	11	3	0.27272727272727271	8	142.72739054249254	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	West Brookfield	Worcester	3832.99998474	129	17	2	0.11764705882352941	8	443.51682931595798	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	West Newbury	Essex	4500.00000381	68	11	0	0	1-4	244.44444423748149	0	0	3/7/24
2023-2024	8/27/23	9/2/23	West Springfield	Hampden	28835.00003052	942	130	10	0.076923076923076927	55	450.84099137299575	10	34.68007625946121	3/7/24
2023-2024	8/27/23	9/2/23	West Stockbridge	Berkshire	1343.00000668	38	7	0	0	1-4	521.22114409400058	0	0	3/7/24
2023-2024	8/27/23	9/2/23	West Tisbury	Dukes	3554.99999046	61	9	0	0	5	253.16455764140363	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Westborough	Worcester	21566.99993896	318	36	4	0.1111111111111111	31	166.92168638145776	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Westfield	Hampden	40834	1395	172	8	0.046511627906976744	46	421.21761277366898	8	19.591516873193907	3/7/24
2023-2024	8/27/23	9/2/23	Westford	Middlesex	24642.99995422	373	63	11	0.17460317460317459	69	255.65069235497663	11	44.637422474678459	3/7/24
2023-2024	8/27/23	9/2/23	Westhampton	Hampshire	1622.0000124	17	3	0	0	1-4	184.95684198923252	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Westminster	Worcester	8213.00011063	139	26	2	0.076923076923076927	11	316.5712851549639	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Weston	Middlesex	11850.99994659	235	27	3	0.1111111111111111	20	227.82887622718255	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Westport	Bristol	16339.00006104	157	32	5	0.15625	20	195.85041851063653	5	30.60162789228696	3/7/24
2023-2024	8/27/23	9/2/23	Westwood	Norfolk	16265.99996948	287	39	4	0.10256410256410256	22	239.76392520088496	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Weymouth	Norfolk	57436.99969482	1157	155	20	0.12903225806451613	109	269.86089249710375	16	27.856608257765551	3/7/24
2023-2024	8/27/23	9/2/23	Whately	Franklin	1606.99999619	16	4	0	0	1-4	248.9110149025208	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Whitman	Plymouth	15121.00005341	216	28	6	0.21428571428571427	33	185.17293764366863	6	39.679915209357567	3/7/24
2023-2024	8/27/23	9/2/23	Wilbraham	Hampden	14612.99995422	609	88	10	0.11363636363636363	47	602.20351930259892	10	68.432218102568044	3/7/24
2023-2024	8/27/23	9/2/23	Williamsburg	Hampshire	2503.99999237	82	9	0	0	1-4	359.42492122300803	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Williamstown	Berkshire	7512.99996948	249	39	2	0.05128205128205128	14	519.10022838319435	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Wilmington	Middlesex	23349.00012207	432	64	6	0.09375	44	274.1016731568979	6	25.69703185845918	3/7/24
2023-2024	8/27/23	9/2/23	Winchendon	Worcester	10364.00003052	143	19	4	0.21052631578947367	15	183.32690027063518	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Winchester	Middlesex	22969.99990845	421	66	8	0.12121212121212122	35	287.33130284306401	7	30.474532119718912	3/7/24
2023-2024	8/27/23	9/2/23	Windsor	Berkshire	831.00000381	18	3	1	0.33333333333333331	1-4	361.01082866973377	1-4	*	3/7/24
2023-2024	8/27/23	9/2/23	Winthrop	Suffolk	19315.99975586	404	44	5	0.11363636363636363	40	227.79043568092547	5	25.885276781923348	3/7/24
2023-2024	8/27/23	9/2/23	Woburn	Middlesex	40875.99996948	899	119	22	0.18487394957983194	88	291.12437637941861	22	53.821313280228658	3/7/24
2023-2024	8/27/23	9/2/23	Worcester	Worcester	206518.00097656	4066	595	62	0.10420168067226891	311	288.11047811155845	59	28.568938165683949	3/7/24
2023-2024	8/27/23	9/2/23	Worthington	Hampshire	1193.0000062	17	1	0	0	1-4	83.822296295307439	0	0	3/7/24
2023-2024	8/27/23	9/2/23	Wrentham	Norfolk	12178.00002289	213	37	8	0.21621621621621623	21	303.82657193672276	7	57.480702798839438	3/7/24
2023-2024	8/27/23	9/2/23	Yarmouth	Barnstable	25022.99969482	1202	132	12	0.090909090909090912	72	527.51469292198919	11	43.959557743499097	3/7/24
2023-2024	9/3/23	9/9/23	Abington	Plymouth	17062.00009918	379	56	14	0.25	55	328.21474431178416	11	64.470753346957608	3/7/24
2023-2024	9/3/23	9/9/23	Acton	Middlesex	24021.00018311	408	58	12	0.20689655172413793	46	241.45539135702523	12	49.956287866970733	3/7/24
2023-2024	9/3/23	9/9/23	Acushnet	Bristol	10559.00005341	187	27	2	0.07407407407407407	18	255.70603147483101	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Adams	Berkshire	8165.99994659	506	64	6	0.09375	21	783.73745308099649	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Agawam	Hampden	28692.00012207	1081	114	8	0.070175438596491224	41	397.3232940017686	7	24.397044368529652	3/7/24
2023-2024	9/3/23	9/9/23	Alford	Berkshire	486.00000143	9	3	0	0	1-4	617.28394880099586	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Amesbury	Essex	17366	320	47	1	0.021276595744680851	21	270.64378670966255	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Amherst	Hampshire	39263.00004578	474	79	16	0.20253164556962025	36	201.20724322616033	14	35.656979812230944	3/7/24
2023-2024	9/3/23	9/9/23	Andover	Essex	36569.00007629	785	91	13	0.14285714285714285	91	248.8446493208904	11	30.080122445382358	3/7/24
2023-2024	9/3/23	9/9/23	Aquinnah	Dukes	438.99999571	13	0	0	*	0	0	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Arlington	Middlesex	46307.99963379	1022	126	19	0.15079365079365079	76	272.09121749249641	16	34.551265713332882	3/7/24
2023-2024	9/3/23	9/9/23	Ashburnham	Worcester	6314.99998093	92	12	1	0.083333333333333329	10	190.02375354295376	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Ashby	Middlesex	3192.99998283	39	5	1	0.20000000000000001	1-4	156.59254703686	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Ashfield	Franklin	1694.99999428	34	2	0	0	0	117.99410069317183	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Ashland	Middlesex	18832.00002289	354	42	6	0.14285714285714285	29	223.02463864140643	6	31.860662663058061	3/7/24
2023-2024	9/3/23	9/9/23	Athol	Worcester	11944.99995422	289	47	2	0.042553191489361701	27	393.47007266748091	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Attleboro	Bristol	46461.00015259	808	129	25	0.19379844961240311	108	277.65222353442778	21	45.199199180023122	3/7/24
2023-2024	9/3/23	9/9/23	Auburn	Worcester	16889.00013733	281	31	4	0.12903225806451613	34	183.55142251127262	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Avon	Norfolk	4777.00003815	53	4	1	0.25	6	83.734560771514865	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Ayer	Middlesex	8478.99995804	136	18	2	0.1111111111111111	19	212.2891860959611	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Barnstable	Barnstable	48915.99993896	2637	312	30	0.096153846153846159	186	637.82811429661115	28	57.240984616362532	3/7/24
2023-2024	9/3/23	9/9/23	Barre	Worcester	5530.00001907	115	13	3	0.23076923076923078	13	235.08137351121124	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Becket	Berkshire	1930.99999714	95	11	0	0	6	569.65303036209616	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Bedford	Middlesex	14383	424	59	11	0.1864406779661017	68	410.20649377737607	10	69.526524369046797	3/7/24
2023-2024	9/3/23	9/9/23	Belchertown	Hampshire	15349.99999237	523	64	3	0.046875	32	416.93811095643247	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Bellingham	Norfolk	16944.99993896	434	51	4	0.078431372549019607	40	300.973739650129	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Belmont	Middlesex	27294.99996948	499	71	7	0.098591549295774641	28	260.12090155482286	7	25.64572268850366	3/7/24
2023-2024	9/3/23	9/9/23	Berkley	Bristol	6763.99998665	52	4	0	0	6	59.136605675557902	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Berlin	Worcester	3158.00001144	63	10	2	0.20000000000000001	1-4	316.65611031584996	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Bernardston	Franklin	2101.99997711	91	13	0	0	0	618.45861758159731	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Beverly	Essex	42670.00018311	1189	161	21	0.13043478260869565	72	377.31427070330403	19	44.527771076787438	3/7/24
2023-2024	9/3/23	9/9/23	Billerica	Middlesex	42118.99984741	766	109	19	0.1743119266055046	117	258.79057051423001	19	45.110282933673119	3/7/24
2023-2024	9/3/23	9/9/23	Blackstone	Worcester	9207.99999237	223	31	2	0.064516129032258063	15	336.66377091319987	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Blandford	Hampden	1215.00000381	39	8	0	0	1-4	658.4362119270437	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Bolton	Worcester	5665.00001526	99	7	1	0.14285714285714285	9	123.56575430086259	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Boston	Suffolk	675646.99926758	14447	1912	282	0.14748953974895398	1408	282.98801031791169	246	36.409545260568137	3/7/24
2023-2024	9/3/23	9/9/23	Bourne	Barnstable	20451.99993896	842	100	16	0.16	71	488.94973742643708	13	63.563465865436818	3/7/24
2023-2024	9/3/23	9/9/23	Boxborough	Middlesex	5506.00003433	75	7	1	0.14285714285714285	7	127.13403480484719	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Boxford	Essex	8203.00006866	182	16	1	0.0625	16	195.05058961451013	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Boylston	Worcester	4848.99996948	71	11	1	0.090909090909090912	1-4	226.85089852000195	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Braintree	Norfolk	39143.00006104	783	90	9	0.10000000000000001	74	229.92616779412171	8	20.43788158169971	3/7/24
2023-2024	9/3/23	9/9/23	Brewster	Barnstable	10318.00012207	520	49	8	0.16326530612244897	52	474.89823047384891	7	67.842604353406983	3/7/24
2023-2024	9/3/23	9/9/23	Bridgewater	Plymouth	28633.00003052	336	31	2	0.064516129032258063	52	108.26668517779137	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Brimfield	Hampden	3693.99999809	102	16	3	0.1875	5	433.13481343456618	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Brockton	Plymouth	105643.00012207	1112	155	24	0.15483870967741936	129	146.72055869380671	21	19.878269242386711	3/7/24
2023-2024	9/3/23	9/9/23	Brookfield	Worcester	3438.99998665	66	13	1	0.076923076923076927	1-4	378.01686683527919	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Brookline	Norfolk	63190.9994812	856	117	22	0.18803418803418803	104	185.15295051601257	21	33.232580861848412	3/7/24
2023-2024	9/3/23	9/9/23	Buckland	Franklin	1816.00000954	5	1	0	0	1-4	55.066079005875338	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Burlington	Middlesex	26377.00009155	553	69	8	0.11594202898550725	42	261.59153717448135	8	30.329453585447116	3/7/24
2023-2024	9/3/23	9/9/23	Cambridge	Middlesex	118402.99859619	2193	274	49	0.17883211678832117	198	231.41305815612751	47	39.694940632620415	3/7/24
2023-2024	9/3/23	9/9/23	Canton	Norfolk	24369.99987793	402	55	10	0.18181818181818182	44	225.68732160646908	9	36.930652626513123	3/7/24
2023-2024	9/3/23	9/9/23	Carlisle	Middlesex	5237.00001144	92	8	1	0.125	12	152.75921295635567	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Carver	Plymouth	11645	249	30	5	0.16666666666666666	28	257.62129669386002	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Charlemont	Franklin	1185.00000381	57	4	0	0	0	337.55274153073765	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Charlton	Worcester	13315	242	32	6	0.1875	17	240.33045437476531	6	45.061960195268497	3/7/24
2023-2024	9/3/23	9/9/23	Chatham	Barnstable	6594.00001907	318	34	4	0.11764705882352941	20	515.62025935200506	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Chelmsford	Middlesex	36392.00048828	585	99	16	0.16161616161616163	83	272.0378068578089	16	43.96570615883779	3/7/24
2023-2024	9/3/23	9/9/23	Chelsea	Suffolk	40787.00012207	1494	196	21	0.10714285714285714	140	480.54527033956509	20	49.035231667302561	3/7/24
2023-2024	9/3/23	9/9/23	Cheshire	Berkshire	3257.99998474	147	13	3	0.23076923076923078	5	399.01780420166102	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Chester	Hampden	1228.0000062	57	8	0	0	1-4	651.46579475644307	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Chesterfield	Hampshire	1186.00000858	13	1	0	0	1-4	84.317031430488925	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Chicopee	Hampden	55560.00018311	2423	283	20	0.070671378091872794	123	509.35924958119557	20	35.997120111745275	3/7/24
2023-2024	9/3/23	9/9/23	Chilmark	Dukes	1212.00000572	36	7	0	0	0	577.55775304980989	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Clarksburg	Berkshire	1657.00000191	76	8	0	0	1-4	482.80024084360383	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Clinton	Worcester	15427.99990082	331	47	7	0.14893617021276595	24	304.64091458479948	6	38.890329521463762	3/7/24
2023-2024	9/3/23	9/9/23	Cohasset	Norfolk	8380.99998474	149	20	2	0.10000000000000001	21	238.63500819014081	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Colrain	Franklin	1605.99999523	72	6	1	0.16666666666666666	1-4	373.59900484562098	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Concord	Middlesex	18490.99987793	334	37	4	0.10810810810810811	26	200.0973459751167	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Conway	Franklin	1760.99999619	54	7	1	0.14285714285714285	1-4	397.50142050793892	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Cummington	Hampshire	828.99999809	21	2	0	0	1-4	241.25452407816181	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Dalton	Berkshire	6330.00003052	305	45	9	0.20000000000000001	25	710.90047050605324	7	110.58451763427497	3/7/24
2023-2024	9/3/23	9/9/23	Danvers	Essex	28087.00003052	919	95	13	0.1368421052631579	79	338.23477016687701	13	46.284758022835796	3/7/24
2023-2024	9/3/23	9/9/23	Dartmouth	Bristol	33782.99981689	449	72	10	0.1388888888888889	62	213.12494565388832	9	26.64061820673604	3/7/24
2023-2024	9/3/23	9/9/23	Dedham	Norfolk	25364	677	70	5	0.071428571428571425	52	275.98170635546444	5	19.712979025390315	3/7/24
2023-2024	9/3/23	9/9/23	Deerfield	Franklin	5089.99997711	162	12	1	0.083333333333333329	9	235.75638612897123	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Dennis	Barnstable	14674	776	95	14	0.14736842105263157	48	647.40357094180183	11	74.962518740629676	3/7/24
2023-2024	9/3/23	9/9/23	Dighton	Bristol	8100.99994659	62	7	2	0.2857142857142857	8	86.40908586780759	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Douglas	Worcester	8982.99996567	188	33	3	0.090909090909090912	17	367.36057136941872	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Dover	Norfolk	5923.00000381	94	18	2	0.1111111111111111	6	303.90005045452318	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Dracut	Middlesex	32617	485	63	12	0.19047619047619047	97	193.15081092681731	12	36.790630652727103	3/7/24
2023-2024	9/3/23	9/9/23	Dudley	Worcester	11920.99998474	216	33	4	0.12121212121212122	20	276.82241458135309	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Dunstable	Middlesex	3358.00001621	28	6	0	0	1-4	178.67778353294614	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Duxbury	Plymouth	16090.00001526	387	54	11	0.20370370370370369	35	335.61218116087991	11	68.365444310549606	3/7/24
2023-2024	9/3/23	9/9/23	East Bridgewater	Plymouth	14440.00006866	197	32	4	0.125	20	221.60664714574014	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	East Brookfield	Worcester	2223.99999809	34	3	0	0	8	134.89208644678232	0	0	3/7/24
2023-2024	9/3/23	9/9/23	East Longmeadow	Hampden	16429.99990845	706	95	12	0.12631578947368421	41	578.21059360530603	11	66.950700312193334	3/7/24
2023-2024	9/3/23	9/9/23	Eastham	Barnstable	5751.99997711	297	37	2	0.054054054054054057	27	643.25452272672044	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Easthampton	Hampshire	16211.00016785	474	56	2	0.035714285714285712	17	345.44444772174143	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Easton	Bristol	25057.99996948	269	27	1	0.037037037037037035	33	107.75002008494415	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Edgartown	Dukes	5168.00001526	180	24	1	0.041666666666666664	17	464.39628345845836	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Egremont	Berkshire	1371.99999142	19	3	1	0.33333333333333331	1-4	218.65889349569483	1-4	*	3/7/24
2023-2024	9/3/23	9/9/23	Erving	Franklin	1665.00000286	65	8	0	0	1-4	480.48047965515065	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Essex	Essex	3675.00003433	70	6	0	0	5	163.26530459730668	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Everett	Middlesex	49074.99980164	1495	195	24	0.12307692307692308	129	397.35099498356686	18	36.678553383098482	3/7/24
2023-2024	9/3/23	9/9/23	Fairhaven	Bristol	15924.00003052	290	47	14	0.2978723404255319	46	295.15197130067583	14	87.917608472541744	3/7/24
2023-2024	9/3/23	9/9/23	Fall River	Bristol	94000	1237	178	25	0.1404494382022472	111	189.36170212765958	24	25.531914893617021	3/7/24
2023-2024	9/3/23	9/9/23	Falmouth	Barnstable	32517.00012207	1845	231	35	0.15151515151515152	180	710.3976354916432	27	83.033489862659593	3/7/24
2023-2024	9/3/23	9/9/23	Fitchburg	Worcester	41946.00035095	1032	130	12	0.092307692307692313	82	309.92227843495868	12	28.608210317073109	3/7/24
2023-2024	9/3/23	9/9/23	Florida	Berkshire	693.99999475	22	2	0	0	1-4	288.18444022041541	0	0	3/7/24
2023-2024	9/3/23	9/9/23	Foxborough	Norfolk	18618.00010681	313	41	7	0.17073170731707318	31	220.21699304321749	6	32.226877030714753	3/7/24
2023-2024	9/3/23	9/9/23	Framingham	Middlesex	72361.99969482	1483	195	24	0.12307692307692308	150	269.47845667946484	22	30.402697676657571	3/7/24
2023-2024	9/3/23	9/9/23	Franklin	Norfolk	33260.99995422	748	95	14	0.14736842105263157	79	285.61979534817573	14	42.091338261836427	3/7/24
