Season	Week Start Date	Week End Date	County	Population	Cases during this week	Cumulative confirmed cases	Cumulative tests	Tests during the week	Positive tests the week	Week percent positivity	Weekly case rate	Weekly testing rate	Last updated
2023-2024	10/29/23	11/4/23	Plymouth	530818.9998	127	2482	24249	1815	144	0.079338842975206617	23.925292811269113	341.92446025553892	3/7/24
2023-2024	10/29/23	11/4/23	Statewide (all of MA)	7029916.997	1532	33123	389337	27172	1737	0.063926100397467989	21.792575938717018	386.51949961280599	3/7/24
2023-2024	10/29/23	11/4/23	Suffolk	797935.9991	132	3556	41443	2882	166	0.057598889659958359	16.542680133354569	361.18184957824144	3/7/24
2023-2024	10/29/23	11/4/23	Unknown		5	131	3591	200	5	*	*	*	3/7/24
2023-2024	10/29/23	11/4/23	Worcester	862111.0013	160	3521	43429	3082	174	0.056456846203763789	18.559095030539197	357.49456802576123	3/7/24
2023-2024	11/5/23	11/11/23	Barnstable	228995.9998	91	2078	24768	1469	110	0.07488087134104833	39.738685426591459	641.49592188640497	3/7/24
2023-2024	11/5/23	11/11/23	Berkshire	129026	55	984	16592	801	58	0.072409488139825215	42.62706741276952	620.80510904778885	3/7/24
2023-2024	11/5/23	11/11/23	Bristol	579200	124	2232	21431	1550	129	0.083225806451612899	21.408839779005525	267.61049723756906	3/7/24
2023-2024	11/5/23	11/11/23	Dukes and Nantucket	34855	7	202	2738	162	7	0.043209876543209874	20.083201836178453	464.78267106584428	3/7/24
2023-2024	11/5/23	11/11/23	Essex	809829.0011	227	4029	49623	3612	239	0.066168327796234772	28.030608892946944	446.02008511596637	3/7/24
2023-2024	11/5/23	11/11/23	Franklin	71028.9999	11	358	5669	275	11	0.040000000000000001	15.486632242445527	387.16580606113814	3/7/24
2023-2024	11/5/23	11/11/23	Hampden	465824.9991	197	2886	46477	3039	204	0.067127344521224083	42.290559841274089	652.39092059711663	3/7/24
2023-2024	11/5/23	11/11/23	Hampshire	162308.0003	36	737	10134	649	48	0.073959938366718034	22.180052698240285	399.85706114327621	3/7/24
2023-2024	11/5/23	11/11/23	Middlesex	1632001.997	329	8028	85499	5956	367	0.061618535930154469	20.159289057536615	364.95053381972059	3/7/24
2023-2024	11/5/23	11/11/23	Norfolk	725980.9995	134	3110	33366	2159	169	0.07827698008337193	18.457783343130043	297.39070326729671	3/7/24
2023-2024	11/5/23	11/11/23	Plymouth	530818.9998	114	2596	26147	1898	127	0.066912539515279243	21.47624709043054	357.56067524243127	3/7/24
2023-2024	11/5/23	11/11/23	Statewide (all of MA)	7029916.997	1657	34780	417514	28177	1863	0.066117755616282789	23.570690816223301	400.81554322795654	3/7/24
2023-2024	11/5/23	11/11/23	Suffolk	797935.9991	147	3703	44460	3017	192	0.063639376864434868	18.4225301485085	378.10049971462678	3/7/24
2023-2024	11/5/23	11/11/23	Unknown		4	135	3804	213	4	*	*	*	3/7/24
2023-2024	11/5/23	11/11/23	Worcester	862111.0013	181	3702	46806	3377	198	0.058631921824104233	20.994976253297466	391.71289948831793	3/7/24
2023-2024	11/12/23	11/18/23	Barnstable	228995.9998	82	2160	26412	1644	101	0.061435523114355232	35.808485769016478	717.91647078369624	3/7/24
2023-2024	11/12/23	11/18/23	Berkshire	129026	69	1053	17447	855	69	0.080701754385964913	53.477593663292673	662.65713887123525	3/7/24
2023-2024	11/12/23	11/18/23	Bristol	579200	154	2386	23197	1766	161	0.091166477916194796	26.58839779005525	304.90331491712709	3/7/24
2023-2024	11/12/23	11/18/23	Dukes and Nantucket	34855	6	208	2939	201	6	0.029850746268656716	17.214173002438677	576.67479558169555	3/7/24
2023-2024	11/12/23	11/18/23	Essex	809829.0011	273	4302	53474	3851	298	0.07738249805245391	33.71082038667187	475.53248831162415	3/7/24
2023-2024	11/12/23	11/18/23	Franklin	71028.9999	18	376	5968	299	19	0.06354515050167224	25.341761851274494	420.95482186283743	3/7/24
2023-2024	11/12/23	11/18/23	Hampden	465824.9991	211	3097	49640	3163	220	0.069554220676572867	45.295980337608292	679.01035927893372	3/7/24
2023-2024	11/12/23	11/18/23	Hampshire	162308.0003	28	765	10774	640	29	0.045312499999999999	17.25115209863133	394.31204796871612	3/7/24
2023-2024	11/12/23	11/18/23	Middlesex	1632001.997	409	8437	91760	6261	451	0.072033221530107008	25.061243843563751	383.63923644144904	3/7/24
2023-2024	11/12/23	11/18/23	Norfolk	725980.9995	171	3281	35772	2406	194	0.080631753948462184	23.554335460262966	331.41363226545434	3/7/24
2023-2024	11/12/23	11/18/23	Plymouth	530818.9998	183	2779	28348	2201	198	0.089959109495683781	34.475028224112187	414.64227935120721	3/7/24
2023-2024	11/12/23	11/18/23	Statewide (all of MA)	7029916.997	1970	36750	447863	30349	2174	0.0716333322349995	28.023090469499039	431.71206733950572	3/7/24
