"sample_id","collection_date","bcov_recovery","bcov_recovery_lci","bcov_recovery_uci","city","state","name","site_name","sewershed_pop","state_abbr","Influenza_A_gc_g_dry_weight","Influenza_A_gc_g_dry_weight_lci","Influenza_A_gc_g_dry_weight_uci","MPXV_G2R_G_gc_g_dry_weight","MPXV_G2R_G_gc_g_dry_weight_lci","MPXV_G2R_G_gc_g_dry_weight_uci","RSV_gc_g_dry_weight","RSV_gc_g_dry_weight_lci","RSV_gc_g_dry_weight_uci","N_Gene_gc_g_dry_weight","N_Gene_gc_g_dry_weight_lci","N_Gene_gc_g_dry_weight_uci","S_Gene_gc_g_dry_weight","S_Gene_gc_g_dry_weight_lci","S_Gene_gc_g_dry_weight_uci","PMMoV_gc_g_dry_weight","PMMoV_gc_g_dry_weight_lci","PMMoV_gc_g_dry_weight_uci","HMPV_4_gc_g_dry_weight","HMPV_4_gc_g_dry_weight_lci","HMPV_4_gc_g_dry_weight_uci","Influenza_B_gc_g_dry_weight","Influenza_B_gc_g_dry_weight_lci","Influenza_B_gc_g_dry_weight_uci","MPXV_G2R_WA_gc_g_dry_weight","MPXV_G2R_WA_gc_g_dry_weight_lci","MPXV_G2R_WA_gc_g_dry_weight_uci","Noro_G2_gc_g_dry_weight","Noro_G2_gc_g_dry_weight_lci","Noro_G2_gc_g_dry_weight_uci","C_auris_gc_g_dry_weight","C_auris_gc_g_dry_weight_lci","C_auris_gc_g_dry_weight_uci","EVD68_gc_g_dry_weight","EVD68_gc_g_dry_weight_lci","EVD68_gc_g_dry_weight_uci","HAV_gc_g_dry_weight","HAV_gc_g_dry_weight_lci","HAV_gc_g_dry_weight_uci","Rota_gc_g_dry_weight","Rota_gc_g_dry_weight_lci","Rota_gc_g_dry_weight_uci","HPIV_gc_g_dry_weight","HPIV_gc_g_dry_weight_lci","HPIV_gc_g_dry_weight_uci"
"146-230104","2023-01-04",1.063,0.979,1.147,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",57013.179150957854,51496.48015938697,62911.1469118774,"","","",9475.655938697319,7234.867046743294,12137.909045210728,524605.4696704982,497831.26424521074,550826.3832643678,580294.0865593869,560497.240091954,598610.3627892719,228593474.08429125,207769775.3869732,249692906.66666672,5014.732422988505,3340.489334559387,7172.606914942528,0,0,0,0,0,0,14006883.64137931,13435327.055938696,14654341.774712643,"","","","","","","","","","","","","","",""
"146-230106","2023-01-06",1.302,1.187,1.417,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",24288.91499614815,19324.61349925926,29408.43087644444,"","","",4231.438813392592,2584.423135762963,6101.765101037037,399068.6939496296,366465.0471822222,441415.6087466666,516897.19893333333,495021.43004444445,540380.9498074073,229760199.6325926,214710792.81777778,245742838.51851848,11459.144310518519,9360.622829037035,13850.436740740739,0,0,0,0,0,0,9182921.007407406,8862730.75674074,9588542.388148148,"","","","","","","","","","","","","","",""
"146-230109","2023-01-09",1.408,1.288,1.528,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",31054.95337373737,26571.42407757575,36016.97671111111,"","","",11831.879854545454,9259.603477979796,14842.071919191916,555119.5549090909,535064.882230303,580351.5501898989,524576.9462303029,505083.6736646464,544075.2742141413,433419349.7212121,413621123.3616162,452461085.47878784,5744.47891911111,3132.267672565656,8372.992698181817,0,0,0,0,0,0,12980061.355959594,12567447.91919192,13430365.174949493,"","","","","","","","","","","","","","",""
"146-230111","2023-01-11",1.148,1.041,1.255,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",49846.91121441441,40626.37122882882,57359.69973333333,"","","",29849.5894054054,24034.31754954955,35121.79744144144,528129.9900540541,498787.88850450446,557479.9615135135,507784.3193513513,488607.69873873866,526965.2701981982,268062419.74774778,259957748.25225228,276174871.78378385,4819.203604324323,3097.913286486487,7084.323478918919,0,0,0,0,0,0,13979213.953153152,13540068.756756756,14444846.212612612,"","","","","","","","","","","","","","",""
"146-230113","2023-01-13",1.004,0.924,1.084,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",23234.240213333334,19015.661873777775,27648.726570666662,"","","",19628.300138666666,15966.878464000001,23811.293710222224,274726.42688,260367.48252444444,289087.86346666666,274726.42688,260367.48252444444,289087.86346666666,272488362.5955556,264884141.72444448,280099555.1288889,6148.02466488889,3901.3539420444454,8793.571256888892,0,0,0,0,0,0,13441153.429333333,13161754.56,13772451.171555556,"","","","","","","","","","","","","","",""
"146-230116","2023-01-16",0.882,0.726,1.033,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",20678.204418543046,16958.046170419424,24907.15001501104,"","","",7690.380213686534,5451.526073642383,10974.02719646799,646515.9030816776,613685.3216070641,674544.2439205298,514652.2774746137,494408.3443002208,534537.4438145696,337645595.12582785,319811230.2339956,355003319.8763797,12119.734258719645,9414.028644591612,15300.388633995584,0,0,0,0,0,0,19576626.74083885,18724197.622958057,20229565.485209715,"","","","","","","","","","","","","","",""
"146-230118","2023-01-18",1.593,1.433,1.764,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",11801.649621092281,7949.188827118646,15837.949547269307,"","","",17234.389164595104,13656.994265913372,20680.598170998117,604403.0487382299,503578.0854839926,701236.4161205275,427684.8917212807,363059.7820263654,492534.6877589455,277722673.7175141,260206871.26177028,296287729.1751412,7423.5292926553675,5311.4563284369115,10033.083950282484,0,0,0,0,0,0,14055712.801506592,12641331.21205273,15530481.253483992,"","","","","","","","","","","","","","",""
"146-230120","2023-01-20",1.584,1.107,2.076,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",11668.768059863945,9194.811994557824,14551.281115646256,"","","",5417.4057480272095,3650.1653338775504,7321.733197278911,448625.4218231292,419282.22552380944,471425.8933333332,348521.6413061224,330286.5579863945,364318.82171428564,1110814765.170068,945954075.1020409,1285250750.4761906,0,0,0,0,0,0,0,0,0,13390567.700680269,12672796.756462583,14183847.853061222,"","","","","","","","","","","","","","",""
"146-230123","2023-01-23",1.508,1.35,1.678,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",8453.01246570973,6615.320079106858,10603.554893779905,"","","",2554.299538373206,612.1176472089313,4423.757869218501,376843.10109090904,362368.4483062201,395983.2442488038,336691.0213716108,319641.5513110048,358661.0493141946,212848513.6842105,206356865.07177037,219347210.0031898,2901.210169059011,1779.005478277512,4418.598598022329,0,0,0,0,0,0,14461742.734290272,14036596.950558212,15020978.184370017,"","","","","","","","","","","","","","",""
"146-230125","2023-01-25",1.553,1.4,1.717,"Boston Metropolitan Area","Massachusetts","Boston, MA","Deer Island Treatment Plant",2400000,"MA",8351.048661111112,6376.20728888889,10697.327555555556,"","","",10321.37787777778,7512.523894444445,13120.687672222224,317532.93672222225,289255.8839444445,340046.51177777787,242614.66661111114,229063.98772222223,255563.9213888889,200609503.83333334,194343206.61111113,206881798.6111111,2468.7709905555553,1270.8335288888886,4083.6330088888885,0,0,0,0,0,0,15426556.055555556,13769456.65,16878906.25,"","","","","","","","","","","","","","",""
