Source: https://docs.google.com/spreadsheets/d/1ltqVDZfxZVresIQCoSNFXN4Sr5mlvMwLZVnv0ifdYBI/edit#gid=1728416519	Created with Webplotdigitizer.  Fig 1i (https://journals.asm.org/doi/10.1128/mbio.01969-20)
SARS-CoV-2 RT-PCR Ct	SARS-CoV-2 RA	Severity Index
18.72576177	0.001580619812	1
16.17728532	0.005574883536	1
13.9242844	0.003085013887	1
14.21975993	0.002507008372	1
17.9501385	0.000903596426	1
17.91320406	0.0004066562609	1
17.28531856	0.0003521318364	1
16.95290859	0.0002013396063	1
18.57802401	0.0002685576892	1
19.50138504	0.0003638807802	1
19.57525392	0.000248048393	1
18.02400739	0.00006692876808	1
20.16620499	0.0001190248065	1
20.16620499	0.000104751194	1
21.23730379	0.0001047959934	1
20.86795937	0.00009221512161	1
22.30840259	0.000115382316	1
17.98707295	0.00001668313706	1
20.72022161	0.00001018057644	1
25.18928901	0.000008975707072	1
15.51246537	0.00566311462	2
17.17451524	0.0009326305983	2
24.11819021	0.0000316762077	2
26.48199446	0.00001756122969	2
20.35087719	0.00002529255267	2
20.9787627	0.00002529889309	2
19.24284395	0.00001751055331	3
33.388735	0.000001795039966	4
24.96768236	0.000003912190437	4
14.03508772	0.000605236947	4
26.77746999	0.00001317587665	0
25.74330563	0.0000009006409372	0
17.83933518	0.0002146951066	0
