Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Orlando,MCO,00:12,2024-03-05,['B61952'],['JetBlue'],C,Landed - On-time [+],21:10,"March 04, 2024",21:30,"March 04, 2024",actual,00:12,"March 05, 2024",00:19,"March 05, 2024",actual,Airbus A320
Dallas,DFW,00:15,2024-03-05,['DL315'],['Delta Air Lines'],A,Landed - On-time [+],19:41,"March 04, 2024",19:27,"March 04, 2024",actual,00:15,"March 05, 2024",00:21,"March 05, 2024",actual,Airbus A220-100 Passenger
Orlando,MCO,00:24,2024-03-05,['NK3954'],['Spirit Airlines'],B,Landed - On-time [+],21:18,"March 04, 2024",21:17,"March 04, 2024",actual,00:24,"March 05, 2024",00:18,"March 05, 2024",actual,Airbus A320neo
San Juan,SJU,00:25,2024-03-05,['B6262'],['JetBlue'],C,Landed - On-time [+],21:09,"March 04, 2024",21:05,"March 04, 2024",actual,00:25,"March 05, 2024",23:52,2024-03-04,actual,Airbus A321
Miami,MIA,00:27,2024-03-05,['AA1054'],['American Airlines'],B,Landed - On-time [+],21:08,"March 04, 2024",21:00,"March 04, 2024",actual,00:27,"March 05, 2024",00:16,"March 05, 2024",actual,Boeing 737MAX 8 Passenger
Charlotte,CLT,00:44,2024-03-05,['AA1937'],['American Airlines'],B,Landed - On-time [+],22:35,"March 04, 2024",22:39,"March 04, 2024",actual,00:44,"March 05, 2024",00:43,"March 05, 2024",actual,Boeing 737-800 Passenger
Kissimmee,ISM,00:46,2024-03-05,['1I376'],['NetJets'],,Landed - On-time [+],22:06,"March 04, 2024",22:27,"March 04, 2024",actual,00:46,"March 05, 2024",00:58,"March 05, 2024",actual,Cessna Citation
Atlanta,ATL,00:57,2024-03-05,['DL865'],['Delta Air Lines'],A,Landed - On-time [+],22:25,"March 04, 2024",22:24,"March 04, 2024",actual,00:57,"March 05, 2024",00:59,"March 05, 2024",actual,Airbus A321neo
Los Angeles,LAX,02:05,2024-03-05,['HPJ650'],['Hop-A-Jet Worldwide Jet Charter'],,En Route [+],18:00,"March 04, 2024",18:00,"March 04, 2024",scheduled,02:05,"March 05, 2024",02:05,"March 05, 2024",scheduled,Canadair (Bombardier) CL-600 / 601 / 604 / 605 Challenger
Philadelphia,PHL,04:16,2024-03-05,['5X1018'],['UPS'],,Landed - On-time [+],03:25,"March 05, 2024",03:23,"March 05, 2024",actual,04:16,"March 05, 2024",04:05,"March 05, 2024",actual,Boeing 767-300 Passenger
Louisville,SDF,04:20,2024-03-05,['5X1016'],['UPS'],,Landed - On-time [+],02:35,"March 05, 2024",02:36,"March 05, 2024",actual,04:20,"March 05, 2024",04:21,"March 05, 2024",actual,Boeing 767-300 Passenger
Salt Lake City,SLC,04:50,2024-03-05,['B6648'],['JetBlue'],C,Landed - On-time [+],22:28,"March 04, 2024",22:25,"March 04, 2024",actual,04:50,"March 05, 2024",04:38,"March 05, 2024",actual,Airbus A320
Newark,EWR,04:54,2024-03-05,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,"March 05, 2024",03:55,"March 05, 2024",actual,04:54,"March 05, 2024",04:27,"March 05, 2024",actual,Boeing 757-200 Passenger
San Diego,SAN,05:00,2024-03-05,['B62120'],['JetBlue'],C,Landed - On-time [+],20:39,"March 04, 2024",20:34,"March 04, 2024",actual,05:00,"March 05, 2024",05:06,"March 05, 2024",actual,Airbus A321
San Francisco,SFO,05:00,2024-03-05,['B6334'],['JetBlue'],C,Landed - On-time [+],20:27,"March 04, 2024",20:19,"March 04, 2024",actual,05:00,"March 05, 2024",04:35,"March 05, 2024",actual,Airbus A321
Phoenix,PHX,05:32,2024-03-05,['AA2701'],['American Airlines'],B,Landed - On-time [+],23:01,"March 04, 2024",22:55,"March 04, 2024",actual,05:32,"March 05, 2024",05:46,"March 05, 2024",actual,Airbus A321neo
Denver,DEN,05:36,2024-03-05,['B6394'],['JetBlue'],C,Landed - Delayed [+],23:55,"March 04, 2024",02:39,2024-03-05,actual,05:36,"March 05, 2024",08:30,"March 05, 2024",actual,Airbus A320
Louisville,SDF,05:39,2024-03-05,['5X1014'],['UPS'],,Landed - Delayed [+],03:54,"March 05, 2024",04:18,"March 05, 2024",actual,05:39,"March 05, 2024",06:04,"March 05, 2024",actual,Boeing 767-300 Passenger
Seattle,SEA,05:43,2024-03-05,['AS536'],['Alaska Airlines'],B,Landed - Delayed [+],21:32,"March 04, 2024",21:34,"March 04, 2024",actual,05:43,"March 05, 2024",07:21,"March 05, 2024",actual,Boeing 737MAX 9 Passenger
Tel Aviv-Yafo,TLV,05:45,2024-03-05,['LY15'],['El Al Israel Airlines'],E,Landed - On-time [+],01:05,"March 05, 2024",01:06,"March 05, 2024",actual,05:45,"March 05, 2024",05:12,"March 05, 2024",actual,Boeing 787-8
Las Vegas,LAS,05:50,2024-03-05,['DL484'],['Delta Air Lines'],A,Landed - On-time [+],21:45,"March 04, 2024",21:45,"March 04, 2024",actual,05:50,"March 05, 2024",05:58,"March 05, 2024",actual,Airbus A321neo
Memphis,MEM,05:58,2024-03-05,['FX1406'],['FedEx'],,Landed - Delayed [+],02:36,"March 05, 2024",03:04,"March 05, 2024",actual,05:58,"March 05, 2024",06:21,"March 05, 2024",actual,Boeing 767-300 Passenger
Honolulu,HNL,06:00,2024-03-05,['HA90'],['Hawaiian Airlines'],E,Landed - On-time [+],15:15,"March 04, 2024",15:11,"March 04, 2024",actual,06:00,"March 05, 2024",05:18,"March 05, 2024",actual,Airbus A330-200
Indianapolis,IND,06:01,2024-03-05,['FX1710'],['FedEx'],,Landed - Delayed [+],04:15,"March 05, 2024",04:58,"March 05, 2024",actual,06:01,"March 05, 2024",06:46,"March 05, 2024",actual,Boeing 767-300 Passenger
Phoenix,PHX,06:03,2024-03-05,['DL979'],['Delta Air Lines'],A,Landed - Delayed [+],23:20,"March 04, 2024",09:46,2024-03-05,actual,06:03,"March 05, 2024",16:27,"March 05, 2024",actual,Airbus A321neo
San Juan,SJU,06:03,2024-03-05,['B6562'],['JetBlue'],C,Landed - On-time [+],02:47,"March 05, 2024",02:50,"March 05, 2024",actual,06:03,"March 05, 2024",05:37,"March 05, 2024",actual,Airbus A321
Seattle,SEA,06:18,2024-03-05,['DL2733'],['Delta Air Lines'],A,Landed - Delayed [+],21:50,"March 04, 2024",22:09,"March 04, 2024",actual,06:18,"March 05, 2024",07:47,"March 05, 2024",actual,Airbus A321neo
Los Angeles,LAX,06:20,2024-03-05,['DL568'],['Delta Air Lines'],A,Landed - On-time [+],21:50,"March 04, 2024",21:49,"March 04, 2024",actual,06:20,"March 05, 2024",06:16,"March 05, 2024",actual,Boeing 757-200 Passenger
Los Angeles,LAX,06:24,2024-03-05,['AA2453'],['American Airlines'],B,Landed - Delayed [+],22:12,"March 04, 2024",22:09,"March 04, 2024",actual,06:24,"March 05, 2024",06:42,"March 05, 2024",actual,Airbus A321
Seattle,SEA,06:32,2024-03-05,['B6498'],['JetBlue'],C,Landed - On-time [+],22:20,"March 04, 2024",22:09,"March 04, 2024",actual,06:32,"March 05, 2024",06:38,"March 05, 2024",actual,Airbus A321neo
Memphis,MEM,06:34,2024-03-05,['FX1473'],['FedEx'],,Landed - Delayed [+],03:12,"March 05, 2024",03:47,"March 05, 2024",actual,06:34,"March 05, 2024",07:07,"March 05, 2024",actual,Boeing 767-300 Passenger
Phoenix,PHX,06:35,2024-03-05,['B61302'],['JetBlue'],C,Landed - On-time [+],23:59,"March 04, 2024",23:57,"March 04, 2024",actual,06:35,"March 05, 2024",06:48,"March 05, 2024",actual,Airbus A320
San Diego,SAN,06:38,2024-03-05,['DL486'],['Delta Air Lines'],A,Landed - On-time [+],22:10,"March 04, 2024",22:05,"March 04, 2024",actual,06:38,"March 05, 2024",06:42,"March 05, 2024",actual,Airbus A321neo
