Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Salt Lake City,SLC,00:09,2023-08-06,"['DL702', 'KL5238']","['Delta Air Lines', 'KLM Royal Dutch Airlines']",A,Landed - On-time [+],17:28,2023-08-05,17:27,2023-08-05,actual,00:09,2023-08-06,00:05,2023-08-06,actual,
Dallas,DFW,00:17,2023-08-06,['NK1165'],['Spirit Airlines'],B,Landed - On-time [+],19:21,2023-08-05,19:47,2023-08-05,actual,00:17,2023-08-06,00:20,2023-08-06,actual,
Seattle,SEA,00:29,2023-08-06,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:55,2023-08-05,15:51,2023-08-05,actual,00:29,2023-08-06,00:06,2023-08-06,actual,
Fort Lauderdale,FLL,00:31,2023-08-06,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-08-05,23:51,2023-08-05,actual,00:31,2023-08-06,02:46,2023-08-06,actual,
Miami,MIA,00:31,2023-08-06,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - On-time [+],21:03,2023-08-05,20:59,2023-08-05,actual,00:31,2023-08-06,23:59,2023-08-05,actual,
Denver,DEN,00:35,2023-08-06,['WN3065'],['Southwest Airlines'],B,Landed - On-time [+],18:35,2023-08-05,18:29,2023-08-05,actual,00:35,2023-08-06,00:13,2023-08-06,actual,
Charlotte,CLT,00:38,2023-08-06,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:27,2023-08-05,22:27,2023-08-05,actual,00:38,2023-08-06,00:19,2023-08-06,actual,
Minneapolis,MSP,00:41,2023-08-06,"['DL1246', 'AM3900', 'KE3993', 'KL5798', 'VS4242', 'WS7864']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],20:45,2023-08-05,20:39,2023-08-05,actual,00:41,2023-08-06,00:16,2023-08-06,actual,
Chicago,ORD,00:59,2023-08-06,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:26,2023-08-05,21:29,2023-08-05,actual,00:59,2023-08-06,00:57,2023-08-06,actual,
San Francisco,SFO,01:04,2023-08-06,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],16:15,2023-08-05,17:34,2023-08-05,actual,01:04,2023-08-06,01:52,2023-08-06,actual,
Atlanta,ATL,01:22,2023-08-06,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'LA5051', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:41,2023-08-05,22:37,2023-08-05,actual,01:22,2023-08-06,01:08,2023-08-06,actual,
Cincinnati,CVG,04:31,2023-08-06,['CSB325'],['21 Air'],,Landed - Delayed [+],02:40,2023-08-06,06:11,2023-08-06,actual,04:31,2023-08-06,07:46,2023-08-06,actual,
San Diego,SAN,04:39,2023-08-06,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - On-time [+],20:10,2023-08-05,20:02,2023-08-05,actual,04:39,2023-08-06,04:26,2023-08-06,actual,
Vancouver,YVR,04:48,2023-08-06,"['AC532', 'UA8609']","['Air Canada', 'United Airlines']",B,Landed - On-time [+],20:25,2023-08-05,20:27,2023-08-05,actual,04:48,2023-08-06,04:45,2023-08-06,actual,
Salt Lake City,SLC,05:00,2023-08-06,['B6348'],['JetBlue Airways'],C,Landed - On-time [+],22:31,2023-08-05,22:25,2023-08-05,actual,05:00,2023-08-06,04:44,2023-08-06,actual,
San Francisco,SFO,05:02,2023-08-06,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:20,2023-08-05,20:16,2023-08-05,actual,05:02,2023-08-06,04:27,2023-08-06,actual,
Phoenix,PHX,05:13,2023-08-06,['AA2701'],['American Airlines'],4,Landed - Delayed [+],21:07,2023-08-05,21:53,2023-08-05,actual,05:13,2023-08-06,06:03,2023-08-06,actual,
Seattle,SEA,05:23,2023-08-06,"['B6498', 'AA9217', 'HA2114']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],21:10,2023-08-05,21:03,2023-08-05,actual,05:23,2023-08-06,05:07,2023-08-06,actual,
Denver,DEN,05:35,2023-08-06,['B6594'],['JetBlue Airways'],C,Landed - Delayed [+],23:45,2023-08-05,23:56,2023-08-05,actual,05:35,2023-08-06,05:53,2023-08-06,actual,
Los Angeles,LAX,05:35,2023-08-06,"['B6388', 'AA9123', 'FI7866', 'HA2182']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines']",C,Landed - On-time [+],20:59,2023-08-05,20:58,2023-08-05,actual,05:35,2023-08-06,05:08,2023-08-06,actual,
Sacramento,SMF,05:43,2023-08-06,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:20,2023-08-05,21:48,2023-08-05,actual,05:43,2023-08-06,06:18,2023-08-06,actual,
Seattle,SEA,05:45,2023-08-06,['AS536'],['Alaska Airlines'],B,Landed - On-time [+],21:30,2023-08-05,21:26,2023-08-05,actual,05:45,2023-08-06,05:44,2023-08-06,actual,
San Francisco,SFO,05:45,2023-08-06,"['AS546', 'AA7499', 'FJ5860', 'JL5448', 'QF3670', 'SQ1386']","['Alaska Airlines', 'American Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Singapore Airlines']",B,Landed - On-time [+],21:00,2023-08-05,20:48,2023-08-05,actual,05:45,2023-08-06,05:03,2023-08-06,actual,
Tel Aviv-Yafo,TLV,05:45,2023-08-06,"['LY15', 'B66465']","['El Al Israel Airlines', 'JetBlue Airways']",E,Landed - On-time [+],01:05,2023-08-06,01:20,2023-08-06,actual,05:45,2023-08-06,05:07,2023-08-06,actual,
Denver,DEN,06:00,2023-08-06,['UA541'],['United Airlines'],B,Landed - On-time [+],23:59,2023-08-05,23:51,2023-08-05,actual,06:00,2023-08-06,05:46,2023-08-06,actual,
San Diego,SAN,06:00,2023-08-06,['DL428'],['Delta Air Lines'],A,Landed - On-time [+],21:14,2023-08-05,21:20,2023-08-05,actual,06:00,2023-08-06,06:00,2023-08-06,actual,
Vancouver,YVR,06:12,2023-08-06,['B650'],['JetBlue Airways'],C,Landed - Delayed [+],21:55,2023-08-05,22:29,2023-08-05,actual,06:12,2023-08-06,06:49,2023-08-06,actual,
Phoenix,PHX,06:17,2023-08-06,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - On-time [+],22:22,2023-08-05,22:25,2023-08-05,actual,06:17,2023-08-06,06:05,2023-08-06,actual,
Las Vegas,LAS,06:22,2023-08-06,"['B6778', 'EI5165', 'HA2178', 'TP4318']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],22:20,2023-08-05,22:03,2023-08-05,actual,06:22,2023-08-06,06:00,2023-08-06,actual,
