Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Fort Lauderdale,FLL,00:04,2023-12-11,['NK616'],['Spirit Airlines'],B,Landed - Delayed [+],20:45,2023-12-10,21:20,2023-12-10,actual,00:04,2023-12-11,00:36,2023-12-11,actual,Airbus A320neo
Minneapolis,MSP,00:19,2023-12-11,"['DL1246', 'KE3993', 'KL5670', 'VS4242', 'WS7864']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],20:24,2023-12-10,20:31,2023-12-10,actual,00:19,2023-12-11,00:26,2023-12-11,actual,Airbus A321
Miami,MIA,00:23,2023-12-11,"['AA1054', 'G36162']",['American Airlines'],B,Landed - On-time [+],21:00,2023-12-10,20:59,2023-12-10,actual,00:23,2023-12-11,00:14,2023-12-11,actual,Boeing 737MAX 8 Passenger
Salt Lake City,SLC,00:24,2023-12-11,"['DL893', 'KL5758', 'VS4266']","['Delta Air Lines', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],17:50,2023-12-10,17:47,2023-12-10,actual,00:24,2023-12-11,00:05,2023-12-11,actual,Boeing 737-900 Passenger
Fort Lauderdale,FLL,00:45,2023-12-11,"['B6170', 'AD7411', 'HA2426', 'JL5863']","['JetBlue Airways', 'Hawaiian Airlines', 'JAL']",C,Landed - Delayed [+],21:40,2023-12-10,22:53,2023-12-10,actual,00:45,2023-12-11,01:44,2023-12-11,actual,Airbus A220-300 Passenger
Chicago,ORD,00:47,2023-12-11,"['UA1524', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:30,2023-12-10,21:31,2023-12-10,actual,00:47,2023-12-11,01:00,2023-12-11,actual,Boeing 737-900 Passenger
New York,JFK,00:49,2023-12-11,"['B61618', 'EI5014', 'HA2078', 'LO5703', 'LY8533', 'QR3855']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'El Al Israel Airlines', 'Qatar Airways']",C,Landed - Delayed [+],23:35,2023-12-10,23:56,2023-12-10,actual,00:49,2023-12-11,01:07,2023-12-11,actual,Embraer 190
Charlotte,CLT,00:53,2023-12-11,['AA1937'],['American Airlines'],B,Landed - On-time [+],22:45,2023-12-10,22:52,2023-12-10,actual,00:53,2023-12-11,00:53,2023-12-11,actual,Airbus A321
Atlanta,ATL,00:59,2023-12-11,"['DL865', 'AM4188', 'KE3682', 'KL6648', 'LA6261', 'VS4256', 'WS6383']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],22:25,2023-12-10,22:26,2023-12-10,actual,00:59,2023-12-11,00:52,2023-12-11,actual,Airbus A321
Tampa,TPA,01:36,2023-12-11,['NK3583'],['Spirit Airlines'],B,Landed - Delayed [+],22:31,2023-12-10,00:22,2023-12-11,actual,01:36,2023-12-11,02:58,2023-12-11,actual,Airbus A320neo
