,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Chicago,MDW,00:05,2023-05-26,['WN951'],['Southwest Airlines'],B,Landed - On-time [+],20:55,2023-05-25,20:59,2023-05-25,00:05,2023-05-26,00:05,2023-05-26,
1,Fort Myers,RSW,00:08,2023-05-26,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-25,00:40,2023-05-27,00:08,2023-05-26,03:26,2023-05-27,
2,San Francisco,SFO,00:09,2023-05-26,"['B61734', 'AA9249', 'HA2224']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - Delayed [+],15:27,2023-05-25,15:20,2023-05-25,00:09,2023-05-26,00:29,2023-05-26,
3,Orlando,MCO,00:17,2023-05-26,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-25,21:45,2023-05-26,00:17,2023-05-26,00:45,2023-05-27,
4,Miami,MIA,00:24,2023-05-26,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:01,2023-05-25,21:27,2023-05-25,00:24,2023-05-26,00:35,2023-05-26,
5,Charlotte,CLT,00:44,2023-05-26,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:33,2023-05-25,22:40,2023-05-25,00:44,2023-05-26,00:32,2023-05-26,
6,Atlanta,ATL,00:51,2023-05-26,"['DL865', 'AM3020', 'KE3682', 'KL5056', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:17,2023-05-25,22:15,2023-05-25,00:51,2023-05-26,00:29,2023-05-26,
7,Chicago,ORD,01:00,2023-05-26,"['UA1503', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:36,2023-05-25,21:29,2023-05-25,01:00,2023-05-26,00:45,2023-05-26,
8,Denver,DEN,01:40,2023-05-26,['WN3442'],['Southwest Airlines'],B,Landed - Delayed [+],19:50,2023-05-25,21:20,2023-05-25,01:40,2023-05-26,03:38,2023-05-26,
9,Colorado Springs,COS,02:35,2023-05-26,['1I225'],['NetJets Aviation'],,Landed - On-time [+],20:45,2023-05-25,20:52,2023-05-25,02:35,2023-05-26,02:25,2023-05-26,
10,Louisville,SDF,04:22,2023-05-26,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-05-26,02:43,2023-05-26,04:22,2023-05-26,04:27,2023-05-26,
11,Las Vegas,LAS,04:29,2023-05-26,['NK1165'],['Spirit Airlines'],B,Landed - On-time [+],20:30,2023-05-25,20:27,2023-05-25,04:29,2023-05-26,04:30,2023-05-26,
12,Philadelphia,PHL,04:29,2023-05-26,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-05-26,03:48,2023-05-26,04:29,2023-05-26,04:35,2023-05-26,
13,Newark,EWR,04:55,2023-05-26,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-05-26,04:11,2023-05-26,04:55,2023-05-26,04:43,2023-05-26,
14,San Francisco,SFO,04:59,2023-05-26,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:15,2023-05-25,20:11,2023-05-25,04:59,2023-05-26,04:55,2023-05-26,
15,San Diego,SAN,05:01,2023-05-26,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-05-25,20:25,2023-05-26,05:01,2023-05-26,05:19,2023-05-27,
16,Los Angeles,LAX,05:18,2023-05-26,"['AA2453', 'B64139', 'BA4746', 'FJ5005', 'JL7525', 'QF3013', 'TN1244']","['American Airlines', 'JetBlue Airways', 'British Airways', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Air Tahiti Nui']",B,Landed - On-time [+],20:45,2023-05-25,20:40,2023-05-25,05:18,2023-05-26,05:20,2023-05-26,
17,Sacramento,SMF,05:38,2023-05-26,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:16,2023-05-25,21:34,2023-05-26,05:38,2023-05-26,06:22,2023-05-27,
18,Denver,DEN,05:40,2023-05-26,['B6294'],['JetBlue Airways'],C,Landed - Delayed [+],23:53,2023-05-25,23:47,2023-05-26,05:40,2023-05-26,05:41,2023-05-27,
19,Phoenix,PHX,05:40,2023-05-26,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:45,2023-05-25,21:46,2023-05-25,05:40,2023-05-26,05:29,2023-05-26,
20,Louisville,SDF,05:41,2023-05-26,['5X1014'],['UPS'],,Landed - Delayed [+],03:54,2023-05-26,04:17,2023-05-26,05:41,2023-05-26,06:01,2023-05-26,
21,San Francisco,SFO,05:55,2023-05-26,"['AS546', 'AA7543', 'FJ5860', 'JL5448', 'QF3670', 'SQ1386']","['Alaska Airlines', 'American Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Singapore Airlines']",B,Landed - On-time [+],21:05,2023-05-25,20:58,2023-05-25,05:55,2023-05-26,06:08,2023-05-26,
22,Denver,DEN,05:58,2023-05-26,['UA541'],['United Airlines'],B,Landed - On-time [+],23:59,2023-05-25,23:58,2023-05-25,05:58,2023-05-26,06:03,2023-05-26,
23,Seattle,SEA,06:00,2023-05-26,"['AS536', 'JL6356']","['Alaska Airlines', 'JAL Japan Airlines']",B,Landed - Delayed [+],21:40,2023-05-25,21:41,2023-05-25,06:00,2023-05-26,06:36,2023-05-26,
24,Memphis,MEM,06:05,2023-05-26,['FX1406'],['FedEx'],,Landed - On-time [+],02:36,2023-05-26,02:45,2023-05-26,06:05,2023-05-26,06:03,2023-05-26,
25,Indianapolis,IND,06:07,2023-05-26,['FX1710'],['FedEx'],,Landed - Delayed [+],04:15,2023-05-26,05:05,2023-05-26,06:07,2023-05-26,06:53,2023-05-26,
26,Phoenix,PHX,06:07,2023-05-26,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:18,2023-05-25,22:15,2023-05-26,06:07,2023-05-26,06:17,2023-05-27,
27,San Jose,SJC,06:13,2023-05-26,"['B6972', 'EI5275', 'HA2192', 'TP4430']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],21:39,2023-05-25,22:16,2023-05-26,06:13,2023-05-26,07:21,2023-05-27,
28,Salt Lake City,SLC,06:22,2023-05-26,"['DL999', 'KE3999', 'VS4266']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],23:45,2023-05-25,23:41,2023-05-25,06:22,2023-05-26,06:32,2023-05-26,
29,Las Vegas,LAS,06:23,2023-05-26,"['B6778', 'EI5165', 'HA2178', 'TP4318']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:23,2023-05-25,22:16,2023-05-26,06:23,2023-05-26,06:20,2023-05-27,
30,Seattle,SEA,06:23,2023-05-26,"['B6498', 'AA9217', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:10,2023-05-25,22:15,2023-05-26,06:23,2023-05-26,07:08,2023-05-27,
31,Los Angeles,LAX,06:24,2023-05-26,"['DL675', 'KE7395', 'LA6326', 'VS3062']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],21:45,2023-05-25,21:46,2023-05-25,06:24,2023-05-26,06:34,2023-05-26,
32,Los Angeles,LAX,06:30,2023-05-26,"['B6622', 'AA9136', 'FI7866', 'HA2184', 'TP4418']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:05,2023-05-25,22:45,2023-05-26,06:30,2023-05-26,07:37,2023-05-27,
