,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
511,Newark,EWR,20:19,2023-05-22,"['UA1779', 'SK6778', 'TP8516']","['United Airlines', 'SAS Scandinavian Airlines', 'TAP Air Portugal']",B,Landed - Delayed [+],18:57,2023-05-22,19:39,2023-05-22,20:19,2023-05-22,20:49,2023-05-22,
512,Fort Myers,RSW,20:21,2023-05-22,"['B6166', 'FI7952', 'HA2494', 'QR3957']","['JetBlue Airways', 'Icelandair', 'Hawaiian Airlines', 'Qatar Airways']",C,Landed - On-time [+],17:05,2023-05-22,16:59,2023-05-22,20:21,2023-05-22,20:11,2023-05-22,
513,Teterboro,TEB,20:26,2023-05-22,['1I516'],['NetJets Aviation'],,Landed - Delayed [+],19:30,2023-05-22,20:28,2023-05-22,20:26,2023-05-22,21:10,2023-05-22,
514,Orlando,MCO,20:28,2023-05-22,"['B61152', 'AD7641', 'FI7816', 'HA2154', 'QR3939']","['JetBlue Airways', 'Azul', 'Icelandair', 'Hawaiian Airlines', 'Qatar Airways']",C,Landed - Delayed [+],17:18,2023-05-22,21:13,2023-05-22,20:28,2023-05-22,23:48,2023-05-22,
515,New York,LGA,20:29,2023-05-22,"['DL5830', 'VS3669']","['Delta Air Lines', 'Virgin Atlantic']",A,Landed - On-time [+],18:59,2023-05-22,18:58,2023-05-22,20:29,2023-05-22,20:16,2023-05-22,
516,Chicago,ORD,20:30,2023-05-22,"['AA1033', 'B64294', 'BA5129', 'QR2760']","['American Airlines', 'JetBlue Airways', 'British Airways', 'Qatar Airways']",B,Landed - On-time [+],17:15,2023-05-22,17:08,2023-05-22,20:30,2023-05-22,20:19,2023-05-22,
517,Charleston,CHS,20:32,2023-05-22,"['B668', 'HA2328', 'QR3955']","['JetBlue Airways', 'Hawaiian Airlines', 'Qatar Airways']",C,Landed - On-time [+],18:10,2023-05-22,18:13,2023-05-22,20:32,2023-05-22,20:19,2023-05-22,
518,Paris,CDG,20:35,2023-05-22,"['AF322', 'DL8514', 'KL2424', 'VS6751']","['Air France', 'Delta Air Lines', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",E,Landed - On-time [+],19:00,2023-05-22,19:02,2023-05-22,20:35,2023-05-22,20:25,2023-05-22,
519,New York,LGA,20:36,2023-05-22,"['B61332', 'AA9536', 'HA2438', 'QR3947']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines', 'Qatar Airways']",C,Landed - On-time [+],19:15,2023-05-22,19:07,2023-05-22,20:36,2023-05-22,20:13,2023-05-22,
520,London,LHR,20:40,2023-05-22,"['UA25', 'AC5479', 'LH7666', 'LX3116', 'OS7901', 'SN9052']","['United Airlines', 'Air Canada', 'Lufthansa', 'SWISS', 'Austrian', 'Brussels Airlines']",E,Landed - On-time [+],18:00,2023-05-22,17:53,2023-05-22,20:40,2023-05-22,20:32,2023-05-22,
521,Milwaukee,MKE,20:40,2023-05-22,"['B62230', 'QR3949']","['JetBlue Airways', 'Qatar Airways']",C,Landed - On-time [+],17:24,2023-05-22,17:15,2023-05-22,20:40,2023-05-22,20:26,2023-05-22,
522,Jacksonville,JAX,20:41,2023-05-22,"['DL2092', 'KE3312', 'VS2378']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],18:00,2023-05-22,18:20,2023-05-22,20:41,2023-05-22,20:47,2023-05-22,
523,Washington,DCA,20:42,2023-05-22,"['DL5740', 'VS3406']","['Delta Air Lines', 'Virgin Atlantic']",A,Landed - On-time [+],18:58,2023-05-22,18:46,2023-05-22,20:42,2023-05-22,20:18,2023-05-22,
524,Raleigh/Durham,RDU,20:49,2023-05-22,"['B61484', 'AA9540', 'FI7818', 'HA2474', 'QR4147', 'TK8932']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'Qatar Airways', 'Turkish Airlines']",C,Landed - On-time [+],18:50,2023-05-22,19:15,2023-05-22,20:49,2023-05-22,20:52,2023-05-22,
525,San Diego,SAN,20:50,2023-05-22,"['B6620', 'FI7892']","['JetBlue Airways', 'Icelandair']",C,Landed - Delayed [+],12:15,2023-05-22,12:26,2023-05-22,20:50,2023-05-22,21:18,2023-05-22,
526,Detroit,DTW,20:56,2023-05-22,"['B61136', 'AA9445', 'FI7842', 'HA2420', 'TK8910']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'Turkish Airlines']",C,Landed - On-time [+],18:59,2023-05-22,18:41,2023-05-22,20:56,2023-05-22,20:31,2023-05-22,
527,Miami,MIA,20:56,2023-05-22,"['AA1074', 'B64007', 'IB4898', 'QR9244']","['American Airlines', 'JetBlue Airways', 'Iberia', 'Qatar Airways']",B,Landed - On-time [+],17:35,2023-05-22,17:30,2023-05-22,20:56,2023-05-22,20:39,2023-05-22,
528,Tampa,TPA,20:57,2023-05-22,"['B6592', 'FI7850', 'HA2228']","['JetBlue Airways', 'Icelandair', 'Hawaiian Airlines']",C,Landed - On-time [+],17:40,2023-05-22,18:04,2023-05-22,20:57,2023-05-22,21:05,2023-05-22,
529,Charlotte,CLT,21:00,2023-05-22,['DL5635'],['Delta Air Lines'],A,Landed - On-time [+],18:25,2023-05-22,18:17,2023-05-22,21:00,2023-05-22,20:17,2023-05-22,
530,Charlotte,CLT,21:00,2023-05-22,"['AA1978', 'MH9462', 'QR9324']","['American Airlines', 'Malaysia Airlines', 'Qatar Airways']",B,Landed - On-time [+],18:47,2023-05-22,18:45,2023-05-22,21:00,2023-05-22,20:54,2023-05-22,
531,Washington,DCA,21:05,2023-05-22,"['B62354', 'AA9416', 'FI7924']","['JetBlue Airways', 'American Airlines', 'Icelandair']",C,Landed - On-time [+],19:30,2023-05-22,19:26,2023-05-22,21:05,2023-05-22,21:09,2023-05-22,
532,Toronto,YTZ,21:05,2023-05-22,['PD2949'],['Porter Airlines Canada'],E,Landed - On-time [+],19:30,2023-05-22,19:30,2023-05-22,21:05,2023-05-22,21:05,2023-05-22,
533,Savannah,SAV,21:10,2023-05-22,"['B61148', 'HA2478']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - On-time [+],18:42,2023-05-22,19:14,2023-05-22,21:10,2023-05-22,21:21,2023-05-22,
534,Atlanta,ATL,21:11,2023-05-22,"['DL360', 'AF6856', 'AM3041', 'AZ3502', 'KL5046', 'LA6152', 'VS4252', 'WS6379']","['Delta Air Lines', 'Air France', 'Aeromexico', 'ITA Airways', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],18:30,2023-05-22,18:36,2023-05-22,21:11,2023-05-22,21:01,2023-05-22,
535,Los Angeles,LAX,21:12,2023-05-22,"['DL737', 'AF2609', 'KE7525', 'VS2203']","['Delta Air Lines', 'Air France', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],12:35,2023-05-22,12:32,2023-05-22,21:12,2023-05-22,21:10,2023-05-22,
536,New York,LGA,21:14,2023-05-22,"['DL2807', 'AF2460', 'VS3280', 'WS7909']","['Delta Air Lines', 'Air France', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],20:00,2023-05-22,19:59,2023-05-22,21:14,2023-05-22,21:05,2023-05-22,
537,Montreal,YUL,21:16,2023-05-22,"['AC8612', 'UA8424']","['Air Canada', 'United Airlines']",B,Landed - On-time [+],19:50,2023-05-22,19:45,2023-05-22,21:16,2023-05-22,21:21,2023-05-22,
538,New York,JFK,21:19,2023-05-22,"['AA4743', 'B64797', 'BA4651', 'JL7454', 'MH9498', 'QF4137', 'QR9132']","['American Airlines', 'JetBlue Airways', 'British Airways', 'JAL Japan Airlines', 'Malaysia Airlines', 'Qantas', 'Qatar Airways']",B,Landed - On-time [+],19:29,2023-05-22,19:18,2023-05-22,21:19,2023-05-22,20:32,2023-05-22,
539,Las Vegas,LAS,21:24,2023-05-22,"['DL882', 'LA6303', 'VS3008']","['Delta Air Lines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],13:15,2023-05-22,13:07,2023-05-22,21:24,2023-05-22,21:42,2023-05-22,
