Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Chicago,MDW,00:05,2023-06-01,['WN951'],['Southwest Airlines'],B,Landed - On-time [+],20:55,2023-05-31,21:04,2023-05-31,00:05,2023-06-01,00:18,2023-06-01,
Fort Myers,RSW,00:08,2023-06-01,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-31,23:24,2023-05-31,00:08,2023-06-01,02:18,2023-06-01,
San Francisco,SFO,00:09,2023-06-01,"['B61734', 'AA9249', 'HA2224']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],15:27,2023-05-31,15:18,2023-05-31,00:09,2023-06-01,00:03,2023-06-01,
Orlando,MCO,00:17,2023-06-01,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-31,21:12,2023-06-01,00:17,2023-06-01,00:04,2023-06-02,
Miami,MIA,00:24,2023-06-01,"['AA1054', 'B64059', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Iberia']",B,Landed - On-time [+],21:01,2023-05-31,20:56,2023-05-31,00:24,2023-06-01,00:16,2023-06-01,
Charlotte,CLT,00:44,2023-06-01,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:33,2023-05-31,22:29,2023-05-31,00:44,2023-06-01,00:27,2023-06-01,
Atlanta,ATL,00:51,2023-06-01,"['DL865', 'AM3020', 'KE3682', 'KL5056', 'LA6102', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:17,2023-05-31,22:16,2023-05-31,00:51,2023-06-01,00:36,2023-06-01,
Philadelphia,PHL,01:00,2023-06-01,['ECJ25'],['East Coast Jets'],,Landed - Delayed [+],00:05,2023-06-01,00:51,2023-06-01,01:00,2023-06-01,01:37,2023-06-01,
Denver,DEN,01:40,2023-06-01,['WN3442'],['Southwest Airlines'],B,Landed - Delayed [+],19:50,2023-05-31,20:50,2023-05-31,01:40,2023-06-01,02:47,2023-06-01,
Louisville,SDF,04:26,2023-06-01,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-06-01,02:39,2023-06-01,04:26,2023-06-01,04:30,2023-06-01,
Las Vegas,LAS,04:29,2023-06-01,['NK1165'],['Spirit Airlines'],B,Landed - On-time [+],20:30,2023-05-31,20:24,2023-05-31,04:29,2023-06-01,04:29,2023-06-01,
Philadelphia,PHL,04:29,2023-06-01,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-06-01,03:30,2023-06-01,04:29,2023-06-01,04:19,2023-06-01,
Newark,EWR,04:55,2023-06-01,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-06-01,04:08,2023-06-01,04:55,2023-06-01,04:47,2023-06-01,
San Francisco,SFO,04:59,2023-06-01,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],20:15,2023-05-31,21:29,2023-05-31,04:59,2023-06-01,06:10,2023-06-01,
San Diego,SAN,05:01,2023-06-01,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-05-31,20:23,2023-06-01,05:01,2023-06-01,05:08,2023-06-02,
Los Angeles,LAX,05:18,2023-06-01,"['AA2453', 'B64139', 'BA4746', 'FJ5005', 'JL7525', 'QF3013', 'TN1244']","['American Airlines', 'JetBlue Airways', 'British Airways', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Air Tahiti Nui']",B,Landed - On-time [+],20:45,2023-05-31,20:41,2023-05-31,05:18,2023-06-01,05:09,2023-06-01,
Sacramento,SMF,05:38,2023-06-01,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:16,2023-05-31,21:14,2023-06-01,05:38,2023-06-01,06:14,2023-06-02,
Denver,DEN,05:40,2023-06-01,['B6294'],['JetBlue Airways'],C,Landed - Delayed [+],23:53,2023-05-31,23:50,2023-06-01,05:40,2023-06-01,05:44,2023-06-02,
Phoenix,PHX,05:40,2023-06-01,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:45,2023-05-31,21:41,2023-05-31,05:40,2023-06-01,05:38,2023-06-01,
Louisville,SDF,05:45,2023-06-01,['5X1014'],['UPS'],,Landed - Delayed [+],03:54,2023-06-01,04:27,2023-06-01,05:45,2023-06-01,06:14,2023-06-01,
Tel Aviv-Yafo,TLV,05:45,2023-06-01,['LY15'],['El Al Israel Airlines'],E,Landed - On-time [+],01:05,2023-06-01,01:14,2023-06-01,05:45,2023-06-01,05:23,2023-06-01,
San Francisco,SFO,05:55,2023-06-01,"['AS546', 'AA7543', 'FJ5860', 'JL5448', 'QF3670', 'SQ1386']","['Alaska Airlines', 'American Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Singapore Airlines']",B,Landed - On-time [+],21:05,2023-05-31,21:00,2023-05-31,05:55,2023-06-01,06:01,2023-06-01,
Denver,DEN,05:58,2023-06-01,['UA541'],['United Airlines'],B,Landed - On-time [+],23:59,2023-05-31,23:57,2023-05-31,05:58,2023-06-01,05:43,2023-06-01,
Bangor,BGR,06:02,2023-06-01,['NGF1263'],['Angel Flight America'],,Landed - On-time [+],04:45,2023-06-01,04:57,2023-06-01,06:02,2023-06-01,06:01,2023-06-01,
