,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Chicago,MDW,00:05,2023-05-24,['WN951'],['Southwest Airlines'],B,Landed - On-time [+],20:55,2023-05-23,20:54,2023-05-23,00:05,2023-05-24,00:11,2023-05-24,
1,Fort Myers,RSW,00:08,2023-05-24,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-23,21:08,2023-05-24,00:08,2023-05-24,00:00,2023-05-25,
2,San Francisco,SFO,00:09,2023-05-24,"['B61734', 'AA9249', 'HA2224']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],15:27,2023-05-23,15:21,2023-05-23,00:09,2023-05-24,00:19,2023-05-24,
3,Orlando,MCO,00:17,2023-05-24,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-23,00:18,2023-05-25,00:17,2023-05-24,02:55,2023-05-25,
4,Miami,MIA,00:24,2023-05-24,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:01,2023-05-23,20:54,2023-05-23,00:24,2023-05-24,23:51,2023-05-23,
5,New York,LGA,00:34,2023-05-24,['B68352'],['JetBlue Airways'],,Landed - Delayed [+],23:54,2023-05-23,00:14,2023-05-24,00:34,2023-05-24,01:15,2023-05-24,
6,Atlanta,ATL,00:51,2023-05-24,"['DL865', 'AM3020', 'KE3682', 'KL5056', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:17,2023-05-23,22:22,2023-05-23,00:51,2023-05-24,00:46,2023-05-24,
7,Denver,DEN,01:40,2023-05-24,['WN3442'],['Southwest Airlines'],B,Landed - Delayed [+],19:50,2023-05-23,20:37,2023-05-23,01:40,2023-05-24,02:32,2023-05-24,
8,Louisville,SDF,04:26,2023-05-24,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-05-24,02:40,2023-05-24,04:26,2023-05-24,04:26,2023-05-24,
9,Las Vegas,LAS,04:29,2023-05-24,['NK1165'],['Spirit Airlines'],B,Landed - Delayed [+],20:30,2023-05-23,20:39,2023-05-23,04:29,2023-05-24,04:49,2023-05-24,
10,Philadelphia,PHL,04:29,2023-05-24,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-05-24,03:43,2023-05-24,04:29,2023-05-24,04:31,2023-05-24,
11,Newark,EWR,04:55,2023-05-24,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-05-24,03:52,2023-05-24,04:55,2023-05-24,04:24,2023-05-24,
12,San Francisco,SFO,04:59,2023-05-24,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],20:15,2023-05-23,22:05,2023-05-23,04:59,2023-05-24,06:56,2023-05-24,
13,San Diego,SAN,05:01,2023-05-24,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-05-23,20:26,2023-05-24,05:01,2023-05-24,05:14,2023-05-25,
14,Sacramento,SMF,05:38,2023-05-24,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:16,2023-05-23,21:14,2023-05-24,05:38,2023-05-24,05:43,2023-05-25,
15,Worcester,ORH,05:39,2023-05-24,['TWY33'],['Solairus Aviation'],,Landed - Delayed [+],05:15,2023-05-24,06:27,2023-05-24,05:39,2023-05-24,06:41,2023-05-24,
16,Denver,DEN,05:40,2023-05-24,['B6294'],['JetBlue Airways'],C,Landed - Delayed [+],23:53,2023-05-23,23:49,2023-05-24,05:40,2023-05-24,05:35,2023-05-25,
17,Phoenix,PHX,05:40,2023-05-24,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:45,2023-05-23,21:43,2023-05-23,05:40,2023-05-24,05:31,2023-05-24,
18,Louisville,SDF,05:45,2023-05-24,['5X1014'],['UPS'],,Landed - Delayed [+],03:54,2023-05-24,04:14,2023-05-24,05:45,2023-05-24,06:05,2023-05-24,
19,San Francisco,SFO,05:55,2023-05-24,"['AS546', 'AA7543', 'FJ5860', 'JL5448', 'QF3670', 'SQ1386']","['Alaska Airlines', 'American Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Singapore Airlines']",B,Landed - On-time [+],21:05,2023-05-23,21:00,2023-05-23,05:55,2023-05-24,05:46,2023-05-24,
20,Denver,DEN,05:58,2023-05-24,['UA541'],['United Airlines'],B,Landed - On-time [+],23:59,2023-05-23,23:55,2023-05-23,05:58,2023-05-24,05:47,2023-05-24,
21,Memphis,MEM,06:05,2023-05-24,['FX1406'],['FedEx'],,Landed - On-time [+],02:36,2023-05-24,02:54,2023-05-24,06:05,2023-05-24,06:12,2023-05-24,
22,Indianapolis,IND,06:07,2023-05-24,['FX1710'],['FedEx'],,Landed - Delayed [+],04:15,2023-05-24,04:53,2023-05-24,06:07,2023-05-24,06:36,2023-05-24,
23,Phoenix,PHX,06:07,2023-05-24,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:18,2023-05-23,22:16,2023-05-24,06:07,2023-05-24,06:19,2023-05-25,
24,San Jose,SJC,06:13,2023-05-24,"['B6972', 'EI5275', 'HA2192', 'TP4430']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],21:39,2023-05-23,21:27,2023-05-24,06:13,2023-05-24,06:15,2023-05-25,
25,Salt Lake City,SLC,06:22,2023-05-24,"['DL999', 'KE3999', 'VS4266']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],23:45,2023-05-23,23:57,2023-05-23,06:22,2023-05-24,06:24,2023-05-24,
26,Las Vegas,LAS,06:23,2023-05-24,"['B6778', 'EI5165', 'HA2178', 'TP4318']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:23,2023-05-23,22:11,2023-05-24,06:23,2023-05-24,06:10,2023-05-25,
27,Seattle,SEA,06:23,2023-05-24,"['B6498', 'AA9217', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:10,2023-05-23,22:03,2023-05-24,06:23,2023-05-24,06:22,2023-05-25,
28,Delhi,DEL,06:30,2023-05-24,"['UA83', 'AC5872']","['United Airlines', 'Air Canada']",B,Landed - DIVERTED [+],23:35,2023-05-23,23:38,2023-05-23,06:30,2023-05-24,05:29,2023-05-24,
29,Los Angeles,LAX,06:30,2023-05-24,"['B6622', 'AA9114', 'FI7866', 'HA2184', 'TP4324']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:05,2023-05-23,22:02,2023-05-24,06:30,2023-05-24,06:31,2023-05-25,
30,Buffalo,BUF,06:40,2023-05-24,"['DL1211', 'KE6735']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],05:08,2023-05-24,05:05,2023-05-24,06:40,2023-05-24,06:22,2023-05-24,
31,Rochester,ROC,06:40,2023-05-24,['DL5836'],['Delta Air Lines'],A,Landed - On-time [+],05:08,2023-05-24,04:57,2023-05-24,06:40,2023-05-24,06:14,2023-05-24,
32,Memphis,MEM,06:41,2023-05-24,['FX1473'],['FedEx'],,Landed - Delayed [+],03:12,2023-05-24,03:43,2023-05-24,06:41,2023-05-24,07:00,2023-05-24,
33,San Francisco,SFO,06:44,2023-05-24,"['DL926', 'LA6535', 'VS2372', 'WS7424']","['Delta Air Lines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],21:55,2023-05-23,22:16,2023-05-23,06:44,2023-05-24,06:56,2023-05-24,
34,San Diego,SAN,06:45,2023-05-24,['DL316'],['Delta Air Lines'],A,Landed - On-time [+],22:00,2023-05-23,21:58,2023-05-23,06:45,2023-05-24,06:35,2023-05-24,
35,Portland,PDX,06:57,2023-05-24,"['B696', 'EI5195', 'TP4432']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:38,2023-05-23,23:20,2023-05-24,06:57,2023-05-24,07:54,2023-05-25,
36,New York,LGA,07:10,2023-05-24,['DL1632'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2023-05-24,05:58,2023-05-24,07:10,2023-05-24,07:16,2023-05-24,
37,Newark,EWR,07:12,2023-05-24,"['B62180', 'AA9143', 'FI7994', 'HA2084', 'JL5479', 'TP4286']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-05-24,05:51,2023-05-24,07:12,2023-05-24,07:01,2023-05-24,
38,New York,JFK,07:12,2023-05-24,['B68358'],['JetBlue Airways'],,Landed - Delayed [+],06:30,2023-05-24,07:56,2023-05-24,07:12,2023-05-24,08:50,2023-05-24,
39,San Francisco,SFO,07:14,2023-05-24,"['UA1665', 'NZ9018', 'VA8306']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],22:35,2023-05-23,22:58,2023-05-23,07:14,2023-05-24,07:53,2023-05-24,
40,Provincetown,PVC,07:15,2023-05-24,"['9K2001', 'B65175']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],06:45,2023-05-24,07:13,2023-05-24,07:15,2023-05-24,07:45,2023-05-24,Cessna (Light aircraft)
41,Rochester,ROC,07:18,2023-05-24,"['B6712', 'TP4275']","['JetBlue Airways', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-05-24,05:52,2023-05-24,07:18,2023-05-24,07:04,2023-05-24,
42,New York,JFK,07:20,2023-05-24,"['DL5853', 'KE3954', 'KL6729', 'VS4302']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],06:00,2023-05-24,05:52,2023-05-24,07:20,2023-05-24,07:06,2023-05-24,
43,Cincinnati,CVG,07:23,2023-05-24,['M6588'],['Amerijet International'],,Landed - Delayed [+],05:25,2023-05-24,06:08,2023-05-24,07:23,2023-05-24,07:52,2023-05-24,
44,Bar Harbor,BHB,07:25,2023-05-24,"['9K1830', 'B65156']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:00,2023-05-24,06:00,2023-05-24,07:25,2023-05-24,07:25,2023-05-24,Cessna (Light aircraft)
45,Philadelphia,PHL,07:25,2023-05-24,"['DL5620', 'KE3318']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],06:03,2023-05-24,05:57,2023-05-24,07:25,2023-05-24,07:16,2023-05-24,
46,Los Angeles,LAX,07:26,2023-05-24,"['UA2424', 'NZ9441', 'OZ6282', 'VA8301']","['United Airlines', 'Air New Zealand', 'Asiana Airlines', 'Virgin Australia']",B,Landed - On-time [+],22:51,2023-05-23,22:41,2023-05-23,07:26,2023-05-24,07:09,2023-05-24,
47,Pittsburgh,PIT,07:32,2023-05-24,"['B61486', 'AA9365', 'EI5223', 'FI7836', 'HA2468', 'TP4356']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-05-24,05:47,2023-05-24,07:32,2023-05-24,07:26,2023-05-24,
48,Nantucket,ACK,07:33,2023-05-24,"['9K5001', 'B65900']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],06:45,2023-05-24,07:09,2023-05-24,07:33,2023-05-24,08:02,2023-05-24,Cessna (Light aircraft)
49,Washington,DCA,07:37,2023-05-24,['DL5837'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2023-05-24,05:53,2023-05-24,07:37,2023-05-24,07:17,2023-05-24,
