Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Chicago,MDW,00:05,2023-11-01,['WN2357'],['Southwest Airlines'],B,Landed - On-time [+],20:55,2023-10-31,20:51,2023-10-31,actual,00:05,2023-11-01,00:04,2023-11-01,actual,Boeing 737MAX 8 Passenger
Fort Myers,RSW,00:06,2023-11-01,"['B6166', 'HA2494']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - On-time [+],20:59,2023-10-31,20:58,2023-10-31,actual,00:06,2023-11-01,23:54,2023-10-31,actual,Embraer 190
Miami,MIA,00:20,2023-11-01,"['AA1054', 'G36162']","['American Airlines', 'Gol']",B,Landed - On-time [+],21:00,2023-10-31,20:58,2023-10-31,actual,00:20,2023-11-01,23:51,2023-10-31,actual,Boeing 737MAX 8 Passenger
Denver,DEN,00:25,2023-11-01,['WN2036'],['Southwest Airlines'],B,Landed - On-time [+],18:35,2023-10-31,18:34,2023-10-31,actual,00:25,2023-11-01,00:10,2023-11-01,actual,Boeing 737MAX 8 Passenger
Dallas,DFW,00:39,2023-11-01,['DL1347'],['Delta Air Lines'],A,Landed - Delayed [+],19:56,2023-10-31,21:29,2023-10-31,actual,00:39,2023-11-01,01:37,2023-11-01,actual,Airbus A220-300 Passenger
Fort Lauderdale,FLL,00:44,2023-11-01,"['B6170', 'AD7411', 'FI7986', 'HA2426']","['JetBlue Airways', 'Azul', 'Icelandair', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:39,2023-10-31,22:06,2023-10-31,actual,00:44,2023-11-01,01:09,2023-11-01,actual,Airbus A220-300 Passenger
Orlando,MCO,00:47,2023-11-01,"['B61952', 'AD7669', 'HA2442']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - On-time [+],21:55,2023-10-31,21:47,2023-10-31,actual,00:47,2023-11-01,00:12,2023-11-01,actual,Airbus A320
New York,JFK,00:54,2023-11-01,"['B61618', 'AT9512', 'EI5014', 'QR3899']","['JetBlue Airways', 'Royal Air Maroc', 'Aer Lingus', 'Qatar Airways']",C,Landed - On-time [+],23:40,2023-10-31,23:35,2023-10-31,actual,00:54,2023-11-01,00:32,2023-11-01,actual,Airbus A220-300 Passenger
Atlanta,ATL,01:06,2023-11-01,"['DL865', 'AM4188', 'KE3682', 'KL6648', 'LA8474', 'VS4220', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:35,2023-10-31,23:08,2023-10-31,actual,01:06,2023-11-01,01:08,2023-11-01,actual,Airbus A319
Las Vegas,LAS,01:07,2023-11-01,"['B6178', 'HA2332']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - On-time [+],17:00,2023-10-31,17:07,2023-10-31,actual,01:07,2023-11-01,00:40,2023-11-01,actual,Airbus A220-300 Passenger
New York,JFK,04:11,2023-11-01,['B68518'],['JetBlue Airways'],,Landed - Delayed [+],03:30,2023-11-01,04:59,2023-11-01,actual,04:11,2023-11-01,06:05,2023-11-01,actual,Airbus A321neo
Philadelphia,PHL,04:16,2023-11-01,['5X1018'],['UPS'],,Landed - On-time [+],03:25,2023-11-01,03:30,2023-11-01,actual,04:16,2023-11-01,04:09,2023-11-01,actual,Boeing 767-300 Passenger
San Diego,SAN,04:18,2023-11-01,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL']",C,Landed - On-time [+],20:03,2023-10-31,19:54,2023-10-31,actual,04:18,2023-11-01,04:26,2023-11-01,actual,Airbus A321
Louisville,SDF,04:20,2023-11-01,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-11-01,02:32,2023-11-01,actual,04:20,2023-11-01,04:05,2023-11-01,actual,Boeing 767-300 Passenger
Newark,EWR,04:56,2023-11-01,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-11-01,04:00,2023-11-01,actual,04:56,2023-11-01,04:31,2023-11-01,actual,Boeing 757-200 Passenger
Teterboro,TEB,05:08,2023-11-01,['1I586'],['NetJets Aviation'],,Landed - Delayed [+],04:30,2023-11-01,05:07,2023-11-01,actual,05:08,2023-11-01,05:30,2023-11-01,actual,CESSNA 680A Citation Latitude
Las Vegas,LAS,05:20,2023-11-01,"['B6778', 'HA2178']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - On-time [+],21:15,2023-10-31,20:55,2023-10-31,actual,05:20,2023-11-01,04:29,2023-11-01,actual,Airbus A321
Los Angeles,VNY,05:32,2023-11-01,['WWI50'],['Worldwide Jet Charter'],,Landed - Delayed [+],21:30,2023-10-31,23:21,2023-10-31,actual,05:32,2023-11-01,07:12,2023-11-01,actual,Canadair (Bombardier) CL-600 / 601 / 604 / 605 Challenger
Louisville,SDF,05:39,2023-11-01,['5X1014'],['UPS'],,Landed - Delayed [+],03:54,2023-11-01,04:23,2023-11-01,actual,05:39,2023-11-01,05:59,2023-11-01,actual,Boeing 767-300 Passenger
Phoenix,PHX,05:42,2023-11-01,['B61302'],['JetBlue Airways'],C,Landed - On-time [+],22:06,2023-10-31,22:09,2023-10-31,actual,05:42,2023-11-01,05:28,2023-11-01,actual,Airbus A320
Seattle,SEA,05:45,2023-11-01,['AS536'],['Alaska Airlines'],B,Landed - On-time [+],21:27,2023-10-31,21:22,2023-10-31,actual,05:45,2023-11-01,05:20,2023-11-01,actual,Boeing 737-900 Passenger
