,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Fort Myers,RSW,00:08,2023-05-28,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-27,20:54,2023-05-28,00:08,2023-05-28,00:01,2023-05-29,
1,Orlando,MCO,00:17,2023-05-28,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-27,21:10,2023-05-28,00:17,2023-05-28,00:00,2023-05-29,
2,Atlanta,ATL,00:24,2023-05-28,['DL9977'],['Delta Air Lines'],,Landed - On-time [+],22:06,2023-05-27,22:14,2023-05-27,00:24,2023-05-28,00:25,2023-05-28,
3,Miami,MIA,00:24,2023-05-28,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:01,2023-05-27,21:02,2023-05-27,00:24,2023-05-28,00:15,2023-05-28,
4,Denver,DEN,00:35,2023-05-28,['WN3442'],['Southwest Airlines'],B,Landed - Delayed [+],18:45,2023-05-27,19:26,2023-05-27,00:35,2023-05-28,01:21,2023-05-28,
5,Atlanta,ATL,00:51,2023-05-28,"['DL865', 'AM3209', 'KE3682', 'KL5056', 'LA8493', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],22:17,2023-05-27,22:44,2023-05-27,00:51,2023-05-28,01:09,2023-05-28,
6,Cincinnati,CVG,04:07,2023-05-28,['CSB325'],['21 Air'],,Landed - On-time [+],02:10,2023-05-28,02:18,2023-05-28,04:07,2023-05-28,04:00,2023-05-28,
7,Las Vegas,LAS,04:29,2023-05-28,['NK1165'],['Spirit Airlines'],B,Landed - DIVERTED [+],20:30,2023-05-27,21:26,2023-05-27,04:29,2023-05-28,05:26,2023-05-28,
8,San Francisco,SFO,04:59,2023-05-28,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:15,2023-05-27,20:10,2023-05-27,04:59,2023-05-28,04:47,2023-05-28,
9,San Diego,SAN,05:01,2023-05-28,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-05-27,20:31,2023-05-28,05:01,2023-05-28,05:03,2023-05-29,
