,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Chicago,MDW,00:05,2023-04-27,['WN951'],['Southwest Airlines'],B,Landed - On-time [+],20:55,2023-04-26,21:00,2023-04-26,00:05,2023-04-27,00:09,2023-04-27,
1,Tampa,TPA,00:08,2023-04-27,['DL1439'],['Delta Air Lines'],A,Landed - On-time [+],21:04,2023-04-26,21:01,2023-04-26,00:08,2023-04-27,00:06,2023-04-27,
2,Seattle,SEA,00:10,2023-04-27,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:50,2023-04-26,15:44,2023-04-26,00:10,2023-04-27,23:35,2023-04-26,
3,New York,JFK,00:19,2023-04-27,"['B61318', 'AA9347', 'AT9510', 'EI5018', 'HA2000', 'QR3825']","['JetBlue Airways', 'American Airlines', 'Royal Air Maroc', 'Aer Lingus', 'Hawaiian Airlines', 'Qatar Airways']",C,Landed - Delayed [+],22:55,2023-04-26,23:48,2023-04-27,00:19,2023-04-27,00:52,2023-04-28,
4,Miami,MIA,00:21,2023-04-27,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - Delayed [+],21:00,2023-04-26,21:19,2023-04-26,00:21,2023-04-27,01:20,2023-04-27,
5,Orlando,MCO,00:27,2023-04-27,"['B61952', 'AD7669', 'HA2442']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:30,2023-04-26,21:59,2023-04-27,00:27,2023-04-27,01:24,2023-04-28,
6,Fort Myers,RSW,00:29,2023-04-27,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-04-26,21:28,2023-04-27,00:29,2023-04-27,01:10,2023-04-28,
7,Fort Lauderdale,FLL,00:32,2023-04-27,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-04-26,00:52,2023-04-28,00:32,2023-04-27,03:45,2023-04-28,
8,Charlotte,CLT,00:34,2023-04-27,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:28,2023-04-26,22:23,2023-04-26,00:34,2023-04-27,00:23,2023-04-27,
9,Fort Lauderdale,FLL,00:56,2023-04-27,['NK616'],['Spirit Airlines'],B,Landed - Delayed [+],21:41,2023-04-26,23:08,2023-04-26,00:56,2023-04-27,02:16,2023-04-27,
10,Atlanta,ATL,00:59,2023-04-27,"['DL865', 'AM3183', 'KE3682', 'KL5056', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:25,2023-04-26,22:26,2023-04-26,00:59,2023-04-27,00:54,2023-04-27,
11,Denver,DEN,01:40,2023-04-27,['WN3442'],['Southwest Airlines'],B,Landed - On-time [+],19:50,2023-04-26,20:08,2023-04-26,01:40,2023-04-27,01:44,2023-04-27,
12,Bedford/Hanscom,BED,03:31,2023-04-27,['PEG11'],['Pegasus Elite Aviation'],,Landed - On-time [+],03:10,2023-04-27,03:15,2023-04-27,03:31,2023-04-27,03:26,2023-04-27,
13,Louisville,SDF,04:26,2023-04-27,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-04-27,02:39,2023-04-27,04:26,2023-04-27,04:19,2023-04-27,
14,Philadelphia,PHL,04:29,2023-04-27,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-04-27,03:41,2023-04-27,04:29,2023-04-27,04:34,2023-04-27,
15,San Diego,SAN,04:47,2023-04-27,['B62120'],['JetBlue Airways'],C,Landed - Delayed [+],20:15,2023-04-26,20:16,2023-04-27,04:47,2023-04-27,04:49,2023-04-28,
16,Newark,EWR,04:55,2023-04-27,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-04-27,04:13,2023-04-27,04:55,2023-04-27,05:00,2023-04-27,
17,San Francisco,SFO,04:57,2023-04-27,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],20:15,2023-04-26,21:38,2023-04-26,04:57,2023-04-27,06:06,2023-04-27,
18,Salt Lake City,SLC,05:01,2023-04-27,['B6648'],['JetBlue Airways'],C,Landed - Delayed [+],22:30,2023-04-26,22:19,2023-04-27,05:01,2023-04-27,04:50,2023-04-28,
19,Denver,DEN,05:10,2023-04-27,['B6394'],['JetBlue Airways'],C,Landed - Delayed [+],23:23,2023-04-26,23:25,2023-04-27,05:10,2023-04-27,05:05,2023-04-28,
20,San Juan,SJU,05:30,2023-04-27,"['B61072', 'JL5481']","['JetBlue Airways', 'JAL Japan Airlines']",C,Landed - On-time [+],01:20,2023-04-27,01:18,2023-04-27,05:30,2023-04-27,05:44,2023-04-27,
21,Phoenix,PHX,05:36,2023-04-27,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:45,2023-04-26,21:45,2023-04-26,05:36,2023-04-27,05:39,2023-04-27,
22,Denver,DEN,05:37,2023-04-27,['UA289'],['United Airlines'],B,Landed - On-time [+],23:40,2023-04-26,23:37,2023-04-26,05:37,2023-04-27,05:27,2023-04-27,
23,Louisville,SDF,05:45,2023-04-27,['5X1014'],['UPS'],,Landed - On-time [+],03:54,2023-04-27,04:12,2023-04-27,05:45,2023-04-27,05:50,2023-04-27,
24,Tel Aviv-Yafo,TLV,05:45,2023-04-27,['LY15'],['El Al Israel Airlines'],E,Landed - On-time [+],01:05,2023-04-27,00:55,2023-04-27,05:45,2023-04-27,05:19,2023-04-27,
25,Phoenix,PHX,05:59,2023-04-27,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:10,2023-04-26,22:03,2023-04-27,05:59,2023-04-27,05:52,2023-04-28,
26,Salt Lake City,SLC,06:00,2023-04-27,"['DL999', 'KL5565', 'LA6608', 'VS4266']","['Delta Air Lines', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],23:30,2023-04-26,23:24,2023-04-26,06:00,2023-04-27,05:39,2023-04-27,
27,Memphis,MEM,06:05,2023-04-27,['FX1406'],['FedEx'],,Landed - On-time [+],02:36,2023-04-27,02:53,2023-04-27,06:05,2023-04-27,06:03,2023-04-27,
28,Indianapolis,IND,06:07,2023-04-27,['FX1710'],['FedEx'],,Landed - Delayed [+],04:15,2023-04-27,05:09,2023-04-27,06:07,2023-04-27,06:51,2023-04-27,
29,Los Angeles,LAX,06:27,2023-04-27,"['DL675', 'AF8576', 'KE7395', 'LA6321', 'VS3062']","['Delta Air Lines', 'Air France', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],21:50,2023-04-26,21:56,2023-04-26,06:27,2023-04-27,06:23,2023-04-27,
30,Las Vegas,LAS,06:33,2023-04-27,"['B6778', 'EI5165', 'HA2178', 'TP4318']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:33,2023-04-26,22:41,2023-04-27,06:33,2023-04-27,06:49,2023-04-28,
31,Bogota,BOG,06:35,2023-04-27,['AV228'],['Avianca'],E,Landed - On-time [+],23:10,2023-04-26,23:20,2023-04-26,06:35,2023-04-27,06:42,2023-04-27,
32,Buffalo,BUF,06:40,2023-04-27,['DL1211'],['Delta Air Lines'],A,Landed - On-time [+],05:03,2023-04-27,05:01,2023-04-27,06:40,2023-04-27,06:22,2023-04-27,
33,Honolulu,HNL,06:40,2023-04-27,"['HA90', 'B65816']","['Hawaiian Airlines', 'JetBlue Airways']",E,Landed - Delayed [+],15:00,2023-04-26,15:14,2023-04-26,06:40,2023-04-27,06:56,2023-04-27,
34,Rochester,ROC,06:40,2023-04-27,['DL5836'],['Delta Air Lines'],A,Landed - On-time [+],05:07,2023-04-27,04:57,2023-04-27,06:40,2023-04-27,06:48,2023-04-27,
35,Memphis,MEM,06:41,2023-04-27,['FX1473'],['FedEx'],,Landed - On-time [+],03:12,2023-04-27,03:39,2023-04-27,06:41,2023-04-27,06:53,2023-04-27,
36,San Diego,SAN,06:45,2023-04-27,['DL801'],['Delta Air Lines'],A,Landed - On-time [+],22:05,2023-04-26,22:00,2023-04-26,06:45,2023-04-27,06:33,2023-04-27,
37,Los Angeles,LAX,06:52,2023-04-27,"['AA2453', 'B64139', 'FJ5005', 'JL7525', 'QF3013', 'TN1244']","['American Airlines', 'JetBlue Airways', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Air Tahiti Nui']",B,Landed - On-time [+],22:25,2023-04-26,22:18,2023-04-26,06:52,2023-04-27,06:47,2023-04-27,
38,Santiago,STI,07:10,2023-04-27,['B61924'],['JetBlue Airways'],E,Landed - Delayed [+],03:17,2023-04-27,03:17,2023-04-27,07:10,2023-04-27,07:34,2023-04-27,
39,New York,JFK,07:15,2023-04-27,"['DL5853', 'KE3954', 'KL6679', 'LA6307', 'VS4302']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],06:00,2023-04-27,05:57,2023-04-27,07:15,2023-04-27,06:57,2023-04-27,
40,New York,LGA,07:15,2023-04-27,"['DL5680', 'LA6295']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-04-27,05:57,2023-04-27,07:15,2023-04-27,07:10,2023-04-27,
41,Provincetown,PVC,07:15,2023-04-27,"['9K2001', 'B65175']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:45,2023-04-27,06:55,2023-04-27,07:15,2023-04-27,07:25,2023-04-27,Cessna (Light aircraft)
42,Philadelphia,PHL,07:16,2023-04-27,"['B61008', 'EI5203', 'HA2208', 'TP4259']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-04-27,05:48,2023-04-27,07:16,2023-04-27,07:09,2023-04-27,
43,Baltimore,BWI,07:20,2023-04-27,"['B6726', 'AA9136', 'EI5113', 'FI7857', 'HA2394', 'JL5499', 'TP4262']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-04-27,05:44,2023-04-27,07:20,2023-04-27,07:02,2023-04-27,
44,Cincinnati,CVG,07:20,2023-04-27,['M6588'],['Amerijet International'],,Landed - On-time [+],05:25,2023-04-27,05:49,2023-04-27,07:20,2023-04-27,07:25,2023-04-27,
45,Bar Harbor,BHB,07:25,2023-04-27,"['9K1830', 'B65156']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],06:00,2023-04-27,13:50,2023-04-27,07:25,2023-04-27,15:30,2023-04-27,Cessna (Light aircraft)
46,Sao Paulo,GRU,07:25,2023-04-27,['JJ8164'],['LATAM Airlines Brasil'],,Landed - Delayed [+],23:09,2023-04-26,23:44,2023-04-26,07:25,2023-04-27,08:05,2023-04-27,
47,Philadelphia,PHL,07:26,2023-04-27,"['DL5620', 'LA8633']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-04-27,05:57,2023-04-27,07:26,2023-04-27,07:15,2023-04-27,
48,Los Angeles,LAX,07:27,2023-04-27,"['UA2424', 'NZ9441', 'OZ6282', 'VA8301']","['United Airlines', 'Air New Zealand', 'Asiana Airlines', 'Virgin Australia']",B,Landed - On-time [+],22:55,2023-04-26,22:51,2023-04-26,07:27,2023-04-27,07:11,2023-04-27,
49,New York,LGA,07:27,2023-04-27,"['B6232', 'AA9544', 'HA2136']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],06:15,2023-04-27,06:08,2023-04-27,07:27,2023-04-27,07:16,2023-04-27,
50,Sao Paulo,GRU,07:30,2023-04-27,"['LA8164', 'DL6054', 'JL5561']","['LATAM Airlines', 'Delta Air Lines', 'JAL Japan Airlines']",E,Landed - Delayed [+],22:50,2023-04-26,23:44,2023-04-26,07:30,2023-04-27,08:15,2023-04-27,Boeing 787-9
51,San Francisco,SFO,07:31,2023-04-27,"['DL314', 'LA7001', 'VS1787']","['Delta Air Lines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],22:50,2023-04-26,22:48,2023-04-26,07:31,2023-04-27,07:30,2023-04-27,
52,Washington,DCA,07:32,2023-04-27,"['DL5837', 'LA8958']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-04-27,05:54,2023-04-27,07:32,2023-04-27,07:18,2023-04-27,
53,Pittsburgh,PIT,07:32,2023-04-27,"['B61486', 'AA9365', 'EI5223', 'HA2468', 'TP4356']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-04-27,05:49,2023-04-27,07:32,2023-04-27,07:16,2023-04-27,
54,Nantucket,ACK,07:33,2023-04-27,"['9K5001', 'B65900']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:45,2023-04-27,06:35,2023-04-27,07:33,2023-04-27,07:20,2023-04-27,Cessna (Light aircraft)
55,Washington,DCA,07:37,2023-04-27,"['AA2153', 'B64297']","['American Airlines', 'JetBlue Airways']",B,Landed - On-time [+],06:00,2023-04-27,05:53,2023-04-27,07:37,2023-04-27,07:17,2023-04-27,
56,San Francisco,SFO,07:38,2023-04-27,"['AS546', 'AA7517', 'FJ5860', 'JL5448', 'QF3670', 'SQ1386']","['Alaska Airlines', 'American Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Singapore Airlines']",B,Landed - On-time [+],22:55,2023-04-26,22:47,2023-04-26,07:38,2023-04-27,07:43,2023-04-27,
57,Baltimore,BWI,07:45,2023-04-27,['WN1655'],['Southwest Airlines'],B,Landed - On-time [+],06:20,2023-04-27,06:16,2023-04-27,07:45,2023-04-27,07:35,2023-04-27,
58,Newark,EWR,07:45,2023-04-27,['UA1367'],['United Airlines'],B,Landed - On-time [+],06:30,2023-04-27,06:30,2023-04-27,07:45,2023-04-27,07:44,2023-04-27,
59,Pittsburgh,PIT,07:45,2023-04-27,"['DL5753', 'LA6500']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-04-27,05:52,2023-04-27,07:45,2023-04-27,07:24,2023-04-27,
60,Seattle,SEA,07:50,2023-04-27,"['B6498', 'AA9217', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],23:39,2023-04-26,23:44,2023-04-27,07:50,2023-04-27,08:01,2023-04-28,
61,Seattle,SEA,07:50,2023-04-27,"['DL810', 'LA6540', 'VS3753']","['Delta Air Lines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],23:33,2023-04-26,00:18,2023-04-27,07:50,2023-04-27,08:22,2023-04-27,
62,San Francisco,SFO,07:51,2023-04-27,"['B634', 'AA9324', 'HA2358', 'JL5892', 'SQ1544', 'TP4394']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines', 'JAL Japan Airlines', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],23:00,2023-04-26,22:51,2023-04-27,07:51,2023-04-27,07:52,2023-04-28,
63,Lebanon,LEB,07:55,2023-04-27,"['9K1870', 'B65167']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],07:00,2023-04-27,07:14,2023-04-27,07:55,2023-04-27,08:19,2023-04-27,Tecnam P2012 Traveler
64,Richmond,RIC,07:55,2023-04-27,"['DL5751', 'AZ3413']","['Delta Air Lines', 'ITA Airways']",A,Landed - On-time [+],06:10,2023-04-27,05:57,2023-04-27,07:55,2023-04-27,07:43,2023-04-27,
65,Washington,DCA,07:58,2023-04-27,"['B6254', 'AA9467', 'HA2146']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],06:30,2023-04-27,06:24,2023-04-27,07:58,2023-04-27,07:44,2023-04-27,
66,Richmond,RIC,07:58,2023-04-27,"['B61282', 'AA9342', 'EI5241', 'JL5879', 'TP4366']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:20,2023-04-27,06:21,2023-04-27,07:58,2023-04-27,07:47,2023-04-27,
67,San Francisco,SFO,07:59,2023-04-27,"['UA1665', 'NZ9018', 'VA8306']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],23:15,2023-04-26,23:25,2023-04-26,07:59,2023-04-27,07:55,2023-04-27,
68,Cleveland,CLE,08:00,2023-04-27,"['DL5682', 'LA6253']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:08,2023-04-27,06:02,2023-04-27,08:00,2023-04-27,07:53,2023-04-27,
69,New York,JFK,08:00,2023-04-27,"['B6518', 'AA9370', 'HA2002', 'QR3952', 'SQ1452', 'TP4302']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines', 'Qatar Airways', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:50,2023-04-27,06:45,2023-04-27,08:00,2023-04-27,07:47,2023-04-27,
70,Phoenix,PHX,08:00,2023-04-27,['DL667'],['Delta Air Lines'],A,Landed - On-time [+],23:59,2023-04-26,23:58,2023-04-26,08:00,2023-04-27,07:50,2023-04-27,
71,Santo Domingo,SDQ,08:00,2023-04-27,['B61830'],['JetBlue Airways'],E,Landed - Delayed [+],03:49,2023-04-27,04:15,2023-04-27,08:00,2023-04-27,08:35,2023-04-27,
72,Raleigh/Durham,RDU,08:02,2023-04-27,"['DL2999', 'LA6276']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-04-27,06:07,2023-04-27,08:02,2023-04-27,07:53,2023-04-27,
73,Columbus,CMH,08:06,2023-04-27,"['DL5693', 'LA5054']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-04-27,05:49,2023-04-27,08:06,2023-04-27,07:41,2023-04-27,
