Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Minneapolis,MSP,00:11,2024-01-21,['DL802'],['Delta Air Lines'],A,Landed - On-time [+],20:21,2024-01-20,20:35,2024-01-20,actual,00:11,2024-01-21,00:17,2024-01-21,actual,Airbus A220-100 Passenger
Dallas,DFW,00:15,2024-01-21,['DL315'],['Delta Air Lines'],A,Landed - On-time [+],19:41,2024-01-20,19:35,2024-01-20,actual,00:15,2024-01-21,00:10,2024-01-21,actual,Airbus A220-100 Passenger
Miami,MIA,00:20,2024-01-21,['AA1054'],['American Airlines'],B,Landed - On-time [+],21:00,2024-01-20,21:10,2024-01-20,actual,00:20,2024-01-21,00:03,2024-01-21,actual,Boeing 737-800 Passenger
Minneapolis,MSP,00:27,2024-01-21,['B6836'],['JetBlue Airways'],C,Landed - Delayed [+],20:40,2024-01-20,22:23,2024-01-20,actual,00:27,2024-01-21,02:02,2024-01-21,estimated,Airbus A220-300 Passenger
Fort Lauderdale,FLL,00:35,2024-01-21,['B6170'],['JetBlue Airways'],C,Landed - On-time [+],21:26,2024-01-20,21:27,2024-01-20,actual,00:35,2024-01-21,00:30,2024-01-21,actual,Airbus A321
Charlotte,CLT,00:55,2024-01-21,['AA1937'],['American Airlines'],B,Landed - On-time [+],22:47,2024-01-20,22:53,2024-01-20,actual,00:55,2024-01-21,00:54,2024-01-21,actual,Airbus A321
Atlanta,ATL,00:58,2024-01-21,['DL865'],['Delta Air Lines'],A,Landed - On-time [+],22:25,2024-01-20,22:21,2024-01-20,actual,00:58,2024-01-21,00:53,2024-01-21,actual,Airbus A321
New York,JFK,01:09,2024-01-21,['B68356'],['JetBlue Airways'],,Landed - Delayed [+],00:25,2024-01-21,00:10,2024-01-21,actual,01:09,2024-01-21,01:28,2024-01-21,actual,Airbus A220-300 Passenger
Tampa,TPA,01:12,2024-01-21,['NK3583'],['Spirit Airlines'],B,Landed - On-time [+],22:17,2024-01-20,22:14,2024-01-20,actual,01:12,2024-01-21,01:01,2024-01-21,actual,Airbus A320
Syracuse,SYR,03:34,2024-01-21,['STY90'],['Altius Aviation'],,Landed - On-time [+],02:40,2024-01-21,02:44,2024-01-21,actual,03:34,2024-01-21,03:26,2024-01-21,actual,Learjet
San Diego,SAN,04:49,2024-01-21,['B62120'],['JetBlue Airways'],C,Landed - On-time [+],20:25,2024-01-20,20:41,2024-01-20,actual,04:49,2024-01-21,05:00,2024-01-21,actual,Airbus A321
