Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Austin,AUS,00:09,2024-01-25,['B61238'],['JetBlue Airways'],C,Landed - On-time [+],19:15,2024-01-24,19:22,2024-01-24,actual,00:09,2024-01-25,00:09,2024-01-25,actual,Airbus A220-300 Passenger
Dallas,DFW,00:15,2024-01-25,['DL315'],['Delta Air Lines'],A,Landed - On-time [+],19:41,2024-01-24,19:51,2024-01-24,actual,00:15,2024-01-25,00:12,2024-01-25,actual,Airbus A220-100 Passenger
Miami,MIA,00:20,2024-01-25,['AA1054'],['American Airlines'],B,Landed - On-time [+],21:00,2024-01-24,21:03,2024-01-24,actual,00:20,2024-01-25,00:11,2024-01-25,actual,Boeing 737-800 Passenger
Canouan Island,CIW,00:33,2024-01-25,['ABP941'],['ABS Jets'],,Landed - On-time [+],19:58,2024-01-24,20:04,2024-01-24,actual,00:33,2024-01-25,23:54,2024-01-24,actual,Gulfstream Aerospace G650
Fort Lauderdale,FLL,00:35,2024-01-25,['B6170'],['JetBlue Airways'],C,Landed - On-time [+],21:26,2024-01-24,21:44,2024-01-24,actual,00:35,2024-01-25,00:34,2024-01-25,actual,Airbus A320
Charlotte,CLT,00:55,2024-01-25,['AA1937'],['American Airlines'],B,Landed - Delayed [+],22:47,2024-01-24,23:40,2024-01-24,actual,00:55,2024-01-25,01:24,2024-01-25,actual,Airbus A321
Atlanta,ATL,00:58,2024-01-25,['DL865'],['Delta Air Lines'],A,Landed - Delayed [+],22:25,2024-01-24,23:20,2024-01-24,actual,00:58,2024-01-25,01:44,2024-01-25,actual,Airbus A321neo
Canouan Island,CIW,03:08,2024-01-25,['ABP941'],['ABS Jets'],,En Route [+],19:58,2024-01-24,20:04,2024-01-24,actual,00:33,2024-01-25,23:54,2024-01-24,actual,Gulfstream Aerospace G650
Philadelphia,PHL,04:16,2024-01-25,['5X1018'],['UPS'],,Landed - On-time [+],03:25,2024-01-25,03:38,2024-01-25,actual,04:16,2024-01-25,04:17,2024-01-25,actual,Boeing 767-300 Passenger
Louisville,SDF,04:20,2024-01-25,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2024-01-25,02:49,2024-01-25,actual,04:20,2024-01-25,04:28,2024-01-25,actual,Boeing 767-300 Passenger
Newark,EWR,04:54,2024-01-25,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2024-01-25,04:01,2024-01-25,actual,04:54,2024-01-25,04:32,2024-01-25,actual,Boeing 757-200 Passenger
Phoenix,PHX,05:00,2024-01-25,['B61302'],['JetBlue Airways'],C,Landed - On-time [+],22:25,2024-01-24,22:17,2024-01-24,actual,05:00,2024-01-25,04:43,2024-01-25,actual,Airbus A320
San Juan,SJU,05:03,2024-01-25,['B6562'],['JetBlue Airways'],C,Landed - On-time [+],01:49,2024-01-25,01:33,2024-01-25,actual,05:03,2024-01-25,04:31,2024-01-25,actual,Airbus A320
Louisville,SDF,05:39,2024-01-25,['5X1014'],['UPS'],,Landed - Delayed [+],03:54,2024-01-25,04:33,2024-01-25,actual,05:39,2024-01-25,06:04,2024-01-25,actual,Boeing 767-300 Passenger
Tel Aviv-Yafo,TLV,05:45,2024-01-25,['LY15'],['El Al Israel Airlines'],E,Landed - On-time [+],01:05,2024-01-25,00:58,2024-01-25,actual,05:45,2024-01-25,05:50,2024-01-25,actual,Boeing 787-8
Phoenix,PHX,05:48,2024-01-25,['AA2701'],['American Airlines'],B,Landed - On-time [+],23:01,2024-01-24,22:50,2024-01-24,actual,05:48,2024-01-25,05:26,2024-01-25,actual,Airbus A321neo
Las Vegas,LAS,05:51,2024-01-25,['DL484'],['Delta Air Lines'],A,Landed - Delayed [+],21:45,2024-01-24,21:56,2024-01-24,actual,05:51,2024-01-25,06:19,2024-01-25,actual,Airbus A321neo
Phoenix,PHX,05:52,2024-01-25,['DL979'],['Delta Air Lines'],A,Landed - On-time [+],23:08,2024-01-24,23:03,2024-01-24,actual,05:52,2024-01-25,05:32,2024-01-25,actual,Airbus A321neo
Memphis,MEM,05:58,2024-01-25,['FX1406'],['FedEx'],,Landed - On-time [+],02:36,2024-01-25,03:03,2024-01-25,actual,05:58,2024-01-25,06:09,2024-01-25,actual,Boeing 767-300 Passenger
Honolulu,HNL,06:00,2024-01-25,['HA90'],['Hawaiian Airlines'],E,Landed - On-time [+],15:15,2024-01-24,15:14,2024-01-24,actual,06:00,2024-01-25,05:26,2024-01-25,actual,Airbus A330-200
Indianapolis,IND,06:01,2024-01-25,['FX1710'],['FedEx'],,Landed - On-time [+],04:15,2024-01-25,04:34,2024-01-25,actual,06:01,2024-01-25,06:06,2024-01-25,actual,Boeing 767-300 Passenger
Seattle,SEA,06:10,2024-01-25,['B6498'],['JetBlue Airways'],C,Landed - On-time [+],21:58,2024-01-24,21:56,2024-01-24,actual,06:10,2024-01-25,05:53,2024-01-25,actual,Airbus A321
Los Angeles,LAX,06:20,2024-01-25,['DL568'],['Delta Air Lines'],A,Landed - On-time [+],21:45,2024-01-24,21:40,2024-01-24,actual,06:20,2024-01-25,05:52,2024-01-25,actual,Boeing 757-200 Passenger
Seattle,SEA,06:29,2024-01-25,['DL2733'],['Delta Air Lines'],A,Landed - On-time [+],22:00,2024-01-24,21:54,2024-01-24,actual,06:29,2024-01-25,06:32,2024-01-25,actual,Airbus A321neo
Memphis,MEM,06:34,2024-01-25,['FX1473'],['FedEx'],,Landed - Delayed [+],03:12,2024-01-25,04:00,2024-01-25,actual,06:34,2024-01-25,07:01,2024-01-25,actual,Boeing 767-300 Passenger
San Diego,SAN,06:39,2024-01-25,['DL486'],['Delta Air Lines'],A,Landed - On-time [+],22:10,2024-01-24,22:03,2024-01-24,actual,06:39,2024-01-25,06:47,2024-01-25,actual,Airbus A321neo
Newark,EWR,06:59,2024-01-25,['DL5832'],['Delta Air Lines'],A,Landed - On-time [+],05:38,2024-01-25,05:31,2024-01-25,actual,06:59,2024-01-25,06:44,2024-01-25,actual,Embraer 175
San Francisco,SFO,06:59,2024-01-25,['DL475'],['Delta Air Lines'],A,Landed - Delayed [+],22:15,2024-01-24,22:11,2024-01-24,actual,06:59,2024-01-25,07:19,2024-01-25,actual,Airbus A321neo
Syracuse,SYR,07:00,2024-01-25,['B6374'],['JetBlue Airways'],C,Landed - On-time [+],05:45,2024-01-25,05:30,2024-01-25,actual,07:00,2024-01-25,06:28,2024-01-25,actual,Embraer 190
New York,LGA,07:10,2024-01-25,['DL5605'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2024-01-25,05:50,2024-01-25,actual,07:10,2024-01-25,07:01,2024-01-25,actual,Embraer 175
Los Angeles,LAX,07:15,2024-01-25,['UA2106'],['United Airlines'],B,Landed - On-time [+],22:45,2024-01-24,22:36,2024-01-24,actual,07:15,2024-01-25,06:39,2024-01-25,actual,Boeing 757-200 Passenger
Middletown,MDT,07:15,2024-01-25,['AA5937'],['American Airlines'],B,Landed - On-time [+],05:44,2024-01-25,05:30,2024-01-25,actual,07:15,2024-01-25,06:46,2024-01-25,actual,
New York,JFK,07:16,2024-01-25,['DL5653'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2024-01-25,05:55,2024-01-25,actual,07:16,2024-01-25,07:15,2024-01-25,actual,Embraer 175
Los Angeles,LAX,07:20,2024-01-25,['B6988'],['JetBlue Airways'],C,Landed - On-time [+],22:49,2024-01-24,23:15,2024-01-24,actual,07:20,2024-01-25,07:29,2024-01-25,actual,Airbus A321
Philadelphia,PHL,07:20,2024-01-25,['B6560'],['JetBlue Airways'],C,Landed - On-time [+],06:00,2024-01-25,05:51,2024-01-25,actual,07:20,2024-01-25,07:03,2024-01-25,actual,Embraer 190
Bar Harbor,BHB,07:25,2024-01-25,['9K1830'],['Cape Air'],C,Landed - On-time [+],06:00,2024-01-25,06:00,2024-01-25,actual,07:25,2024-01-25,07:30,2024-01-25,actual,Cessna (Light aircraft)
Philadelphia,PHL,07:29,2024-01-25,['DL5801'],['Delta Air Lines'],A,Landed - On-time [+],06:05,2024-01-25,05:56,2024-01-25,actual,07:29,2024-01-25,07:41,2024-01-25,actual,Embraer 175
New York,LGA,07:31,2024-01-25,['B62832'],['JetBlue Airways'],C,Landed - On-time [+],06:15,2024-01-25,06:14,2024-01-25,actual,07:31,2024-01-25,07:20,2024-01-25,actual,Embraer 190
Santo Domingo,SDQ,07:34,2024-01-25,['B61830'],['JetBlue Airways'],E,Landed - On-time [+],04:19,2024-01-25,04:08,2024-01-25,actual,07:34,2024-01-25,07:03,2024-01-25,actual,Airbus A320
Cincinnati,CVG,07:46,2024-01-25,['GB588'],['ABX Air'],,Landed - On-time [+],05:55,2024-01-25,06:25,2024-01-25,actual,07:46,2024-01-25,07:53,2024-01-25,actual,Boeing 767-200 Passenger
Nantucket,ACK,07:48,2024-01-25,['9K5001'],['Cape Air'],C,Landed - Delayed [+],07:00,2024-01-25,07:10,2024-01-25,actual,07:48,2024-01-25,08:10,2024-01-25,actual,Cessna (Light aircraft)
Las Vegas,LAS,07:53,2024-01-25,['B6178'],['JetBlue Airways'],C,Landed - On-time [+],23:55,2024-01-24,23:56,2024-01-24,actual,07:53,2024-01-25,07:55,2024-01-25,actual,Airbus A321
Buffalo,BUF,07:55,2024-01-25,['B6716'],['JetBlue Airways'],C,Landed - On-time [+],06:29,2024-01-25,06:18,2024-01-25,actual,07:55,2024-01-25,07:30,2024-01-25,actual,Embraer 190
Lebanon,LEB,07:55,2024-01-25,['9K1870'],['Cape Air'],C,Landed - Delayed [+],07:00,2024-01-25,07:18,2024-01-25,actual,07:55,2024-01-25,08:11,2024-01-25,actual,Tecnam P2012 Traveler
Pittsburgh,PIT,07:55,2024-01-25,['B61486'],['JetBlue Airways'],C,Landed - On-time [+],06:00,2024-01-25,06:06,2024-01-25,actual,07:55,2024-01-25,07:31,2024-01-25,actual,Embraer 190
New York,JFK,07:58,2024-01-25,['B6518'],['JetBlue Airways'],C,Landed - On-time [+],06:46,2024-01-25,06:37,2024-01-25,actual,07:58,2024-01-25,07:42,2024-01-25,actual,Embraer 190
Cleveland,CLE,08:00,2024-01-25,['DL5743'],['Delta Air Lines'],A,Landed - Delayed [+],06:05,2024-01-25,06:45,2024-01-25,actual,08:00,2024-01-25,08:16,2024-01-25,actual,Embraer 175
Pittsburgh,PIT,08:00,2024-01-25,['DL5800'],['Delta Air Lines'],A,Landed - On-time [+],06:12,2024-01-25,06:09,2024-01-25,actual,08:00,2024-01-25,07:41,2024-01-25,actual,Embraer 175
Richmond,RIC,08:00,2024-01-25,['DL5758'],['Delta Air Lines'],A,Landed - On-time [+],06:25,2024-01-25,06:23,2024-01-25,actual,08:00,2024-01-25,07:53,2024-01-25,actual,Embraer 175
Provincetown,PVC,08:05,2024-01-25,['9K4201'],['Cape Air'],C,Landed - On-time [+],07:35,2024-01-25,07:35,2024-01-25,actual,08:05,2024-01-25,08:10,2024-01-25,actual,Cessna (Light aircraft)
San Francisco,SFO,08:05,2024-01-25,['UA1665'],['United Airlines'],B,Landed - On-time [+],23:25,2024-01-24,23:14,2024-01-24,actual,08:05,2024-01-25,07:39,2024-01-25,actual,Boeing 757-200 Passenger
Columbus,CMH,08:07,2024-01-25,['DL5691'],['Delta Air Lines'],A,Landed - On-time [+],06:10,2024-01-25,06:06,2024-01-25,actual,08:07,2024-01-25,07:55,2024-01-25,actual,Embraer 175
Washington,DCA,08:09,2024-01-25,['DL5751'],['Delta Air Lines'],A,Landed - On-time [+],06:30,2024-01-25,06:20,2024-01-25,actual,08:09,2024-01-25,07:45,2024-01-25,actual,Embraer 175
Raleigh/Durham,RDU,08:09,2024-01-25,['DL2388'],['Delta Air Lines'],A,Landed - On-time [+],06:08,2024-01-25,05:59,2024-01-25,actual,08:09,2024-01-25,07:49,2024-01-25,actual,Airbus A320
Cincinnati,CVG,08:13,2024-01-25,['AA4409'],['American Airlines'],B,Landed - On-time [+],06:00,2024-01-25,05:50,2024-01-25,actual,08:13,2024-01-25,08:15,2024-01-25,actual,Embraer 175 (Enhanced Winglets)
New York,LGA,08:15,2024-01-25,['DL5775'],['Delta Air Lines'],A,Landed - On-time [+],07:00,2024-01-25,06:57,2024-01-25,actual,08:15,2024-01-25,08:02,2024-01-25,actual,Embraer 175
Charlotte,CLT,08:19,2024-01-25,['DL5784'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2024-01-25,05:53,2024-01-25,actual,08:19,2024-01-25,08:00,2024-01-25,actual,Embraer 175
San Francisco,SFO,08:20,2024-01-25,['B634'],['JetBlue Airways'],C,Landed - Delayed [+],23:41,2024-01-24,01:10,2024-01-25,actual,08:20,2024-01-25,09:18,2024-01-25,actual,Airbus A321
Augusta,AUG,08:27,2024-01-25,['9K1000'],['Cape Air'],C,Canceled [+],07:10,2024-01-25,07:10,2024-01-25,scheduled,08:27,2024-01-25,08:27,2024-01-25,scheduled,Tecnam P2012 Traveler
