Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Houston,IAH,00:14,2024-02-18,['B6932'],['JetBlue Airways'],C,Landed - On-time [+],19:35,"February 17, 2024",19:27,"February 17, 2024",actual,00:14,"February 18, 2024",23:44,2024-02-17,actual,Airbus A220-300 Passenger
San Antonio,SAT,00:14,2024-02-18,['B61566'],['JetBlue Airways'],C,Landed - Delayed [+],19:21,"February 17, 2024",22:50,"February 17, 2024",actual,00:14,"February 18, 2024",03:38,"February 18, 2024",actual,Airbus A220-300 Passenger
Orlando,MCO,00:24,2024-02-18,['NK3954'],['Spirit Airlines'],B,Landed - Delayed [+],21:18,"February 17, 2024",23:41,"February 17, 2024",actual,00:24,"February 18, 2024",02:20,"February 18, 2024",actual,Airbus A320neo
Miami,MIA,00:27,2024-02-18,['AA1054'],['American Airlines'],B,Landed - On-time [+],21:08,"February 17, 2024",21:06,"February 17, 2024",actual,00:27,"February 18, 2024",00:08,"February 18, 2024",actual,Boeing 737MAX 8 Passenger
Charlotte,CLT,00:28,2024-02-18,['AA1937'],['American Airlines'],B,Landed - On-time [+],22:20,"February 17, 2024",22:14,"February 17, 2024",actual,00:28,"February 18, 2024",00:03,"February 18, 2024",actual,Airbus A319
Orlando,MCO,00:36,2024-02-18,['B6652'],['JetBlue Airways'],C,Landed - Delayed [+],21:35,"February 17, 2024",23:11,"February 17, 2024",actual,00:36,"February 18, 2024",01:37,"February 18, 2024",actual,Airbus A321
Atlanta,ATL,00:57,2024-02-18,['DL865'],['Delta Air Lines'],A,Landed - On-time [+],22:25,"February 17, 2024",22:44,"February 17, 2024",actual,00:57,"February 18, 2024",00:51,"February 18, 2024",actual,Airbus A321
Salt Lake City,SLC,04:50,2024-02-18,['B6648'],['JetBlue Airways'],C,Landed - On-time [+],22:28,"February 17, 2024",22:20,"February 17, 2024",actual,04:50,"February 18, 2024",04:41,"February 18, 2024",actual,Airbus A320
San Diego,SAN,05:00,2024-02-18,['B62120'],['JetBlue Airways'],C,Landed - On-time [+],20:39,"February 17, 2024",20:29,"February 17, 2024",actual,05:00,"February 18, 2024",04:42,"February 18, 2024",actual,Airbus A321
Denver,DEN,05:02,2024-02-18,['B6394'],['JetBlue Airways'],C,Landed - On-time [+],23:19,"February 17, 2024",23:18,"February 17, 2024",actual,05:02,"February 18, 2024",04:55,"February 18, 2024",actual,Airbus A321
San Juan,SJU,05:10,2024-02-18,['B6562'],['JetBlue Airways'],C,Landed - On-time [+],01:55,"February 18, 2024",02:15,"February 18, 2024",actual,05:10,"February 18, 2024",05:11,"February 18, 2024",actual,Airbus A321
Phoenix,PHX,05:32,2024-02-18,['AA2701'],['American Airlines'],B,Landed - On-time [+],23:01,"February 17, 2024",22:56,"February 17, 2024",actual,05:32,"February 18, 2024",05:43,"February 18, 2024",actual,Airbus A321neo
Seattle,SEA,05:43,2024-02-18,['AS536'],['Alaska Airlines'],B,Landed - On-time [+],21:32,"February 17, 2024",21:27,"February 17, 2024",actual,05:43,"February 18, 2024",05:27,"February 18, 2024",actual,Boeing 737-900 Passenger
Tel Aviv-Yafo,TLV,05:45,2024-02-18,['LY15'],['El Al Israel Airlines'],E,Landed - On-time [+],01:05,"February 18, 2024",00:59,"February 18, 2024",actual,05:45,"February 18, 2024",05:34,"February 18, 2024",actual,Boeing 787-8
Las Vegas,LAS,05:50,2024-02-18,['DL484'],['Delta Air Lines'],A,Landed - On-time [+],21:45,"February 17, 2024",21:40,"February 17, 2024",actual,05:50,"February 18, 2024",05:47,"February 18, 2024",actual,Airbus A321neo
