Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Phoenix,PHX,00:02,2023-06-02,['AA1548'],['American Airlines'],B,Landed - On-time [+],16:03,2023-06-01,16:04,2023-06-01,00:02,2023-06-02,00:03,2023-06-02,
Chicago,MDW,00:05,2023-06-02,['WN951'],['Southwest Airlines'],B,Landed - On-time [+],20:55,2023-06-01,20:59,2023-06-01,00:05,2023-06-02,00:13,2023-06-02,
Fort Myers,RSW,00:08,2023-06-02,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-06-01,20:58,2023-06-02,00:08,2023-06-02,00:26,2023-06-03,
San Francisco,SFO,00:09,2023-06-02,"['B61734', 'AA9249', 'HA2224']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - Delayed [+],15:27,2023-06-01,15:30,2023-06-01,00:09,2023-06-02,00:30,2023-06-02,
Orlando,MCO,00:17,2023-06-02,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-06-01,21:13,2023-06-02,00:17,2023-06-02,00:15,2023-06-03,
Miami,MIA,00:25,2023-06-02,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - On-time [+],21:03,2023-06-01,21:03,2023-06-01,00:25,2023-06-02,00:26,2023-06-02,
Charlotte,CLT,00:38,2023-06-02,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:27,2023-06-01,22:23,2023-06-01,00:38,2023-06-02,00:21,2023-06-02,
Atlanta,ATL,00:51,2023-06-02,"['DL865', 'AM3020', 'KE3682', 'KL5056', 'LA8493', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:17,2023-06-01,22:16,2023-06-01,00:51,2023-06-02,00:36,2023-06-02,
Toronto,YYZ,00:56,2023-06-02,['WWI74'],['Worldwide Jet Charter'],,Landed - On-time [+],23:36,2023-06-01,23:38,2023-06-01,00:56,2023-06-02,00:45,2023-06-02,
Chicago,ORD,01:00,2023-06-02,"['UA1503', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:36,2023-06-01,21:33,2023-06-01,01:00,2023-06-02,01:07,2023-06-02,
Denver,DEN,01:40,2023-06-02,['WN3442'],['Southwest Airlines'],B,Landed - Delayed [+],19:50,2023-06-01,21:51,2023-06-01,01:40,2023-06-02,03:48,2023-06-02,
Louisville,SDF,04:26,2023-06-02,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-06-02,02:39,2023-06-02,04:26,2023-06-02,04:27,2023-06-02,
Las Vegas,LAS,04:29,2023-06-02,['NK1165'],['Spirit Airlines'],B,Landed - Delayed [+],20:30,2023-06-01,21:20,2023-06-01,04:29,2023-06-02,05:36,2023-06-02,
Philadelphia,PHL,04:29,2023-06-02,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-06-02,03:44,2023-06-02,04:29,2023-06-02,04:32,2023-06-02,
Newark,EWR,04:55,2023-06-02,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-06-02,04:02,2023-06-02,04:55,2023-06-02,04:43,2023-06-02,
San Francisco,SFO,04:59,2023-06-02,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],20:15,2023-06-01,20:58,2023-06-01,04:59,2023-06-02,05:43,2023-06-02,
San Diego,SAN,05:01,2023-06-02,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-06-01,21:00,2023-06-02,05:01,2023-06-02,05:49,2023-06-03,
Phoenix,PHX,05:09,2023-06-02,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:10,2023-06-01,21:08,2023-06-01,05:09,2023-06-02,05:04,2023-06-02,
Salt Lake City,SLC,05:26,2023-06-02,['B68448'],['JetBlue Airways'],,En Route [+],23:00,2023-06-01,,,05:26,2023-06-02,,,
New York,JFK,05:27,2023-06-02,['B68398'],['JetBlue Airways'],,Landed - Delayed [+],04:45,2023-06-02,04:56,2023-06-02,05:27,2023-06-02,05:54,2023-06-02,
Sacramento,SMF,05:38,2023-06-02,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:16,2023-06-01,22:05,2023-06-02,05:38,2023-06-02,07:03,2023-06-03,
Denver,DEN,05:40,2023-06-02,['B6294'],['JetBlue Airways'],C,Landed - Delayed [+],23:53,2023-06-01,01:56,2023-06-03,05:40,2023-06-02,07:44,2023-06-03,
Louisville,SDF,05:45,2023-06-02,['5X1014'],['UPS'],,Landed - Delayed [+],03:54,2023-06-02,04:25,2023-06-02,05:45,2023-06-02,06:16,2023-06-02,
San Francisco,SFO,05:55,2023-06-02,"['AS546', 'AA7543', 'FJ5860', 'JL5448', 'QF3670', 'SQ1386']","['Alaska Airlines', 'American Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Singapore Airlines']",B,Landed - On-time [+],21:05,2023-06-01,21:04,2023-06-01,05:55,2023-06-02,05:59,2023-06-02,
Denver,DEN,05:58,2023-06-02,['UA541'],['United Airlines'],B,Landed - On-time [+],23:59,2023-06-01,23:53,2023-06-01,05:58,2023-06-02,05:50,2023-06-02,
Seattle,SEA,06:00,2023-06-02,"['AS536', 'JL6356']","['Alaska Airlines', 'JAL Japan Airlines']",B,Landed - Delayed [+],21:40,2023-06-01,21:37,2023-06-01,06:00,2023-06-02,06:30,2023-06-02,
Memphis,MEM,06:05,2023-06-02,['FX1406'],['FedEx'],,Landed - Delayed [+],02:36,2023-06-02,03:02,2023-06-02,06:05,2023-06-02,06:29,2023-06-02,
Indianapolis,IND,06:06,2023-06-02,['FX1710'],['FedEx'],,Landed - Delayed [+],04:15,2023-06-02,04:51,2023-06-02,06:06,2023-06-02,06:37,2023-06-02,
Phoenix,PHX,06:07,2023-06-02,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:18,2023-06-01,00:37,2023-06-03,06:07,2023-06-02,08:39,2023-06-03,
San Jose,SJC,06:13,2023-06-02,"['B6972', 'EI5275', 'HA2192', 'TP4430']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],21:39,2023-06-01,22:15,2023-06-02,06:13,2023-06-02,07:04,2023-06-03,
Salt Lake City,SLC,06:22,2023-06-02,"['DL999', 'KE3999', 'VS4266']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - Delayed [+],23:45,2023-06-01,23:55,2023-06-01,06:22,2023-06-02,06:37,2023-06-02,
Las Vegas,LAS,06:23,2023-06-02,"['B6778', 'EI5165', 'HA2178', 'TP4318']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:23,2023-06-01,22:12,2023-06-02,06:23,2023-06-02,06:30,2023-06-03,
Seattle,SEA,06:23,2023-06-02,"['B6498', 'AA9217', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:10,2023-06-01,22:17,2023-06-02,06:23,2023-06-02,06:45,2023-06-03,
Los Angeles,LAX,06:24,2023-06-02,"['DL675', 'AZ5895', 'KE7395', 'LA6326', 'VS3062']","['Delta Air Lines', 'ITA Airways', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],21:45,2023-06-01,22:02,2023-06-01,06:24,2023-06-02,06:44,2023-06-02,
Los Angeles,LAX,06:30,2023-06-02,"['B6622', 'AA9136', 'FI7866', 'HA2184', 'TP4418']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:05,2023-06-01,22:45,2023-06-02,06:30,2023-06-02,07:29,2023-06-03,
Buffalo,BUF,06:40,2023-06-02,"['DL1211', 'KE6735']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],05:08,2023-06-02,05:01,2023-06-02,06:40,2023-06-02,06:24,2023-06-02,
Rochester,ROC,06:40,2023-06-02,['DL5836'],['Delta Air Lines'],A,Landed - On-time [+],05:08,2023-06-02,05:02,2023-06-02,06:40,2023-06-02,06:33,2023-06-02,
Memphis,MEM,06:41,2023-06-02,['FX1473'],['FedEx'],,Landed - Delayed [+],03:12,2023-06-02,03:36,2023-06-02,06:41,2023-06-02,07:06,2023-06-02,
San Francisco,SFO,06:44,2023-06-02,"['DL926', 'LA6535', 'VS2372', 'WS7424']","['Delta Air Lines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],21:55,2023-06-01,21:51,2023-06-01,06:44,2023-06-02,06:50,2023-06-02,
San Diego,SAN,06:45,2023-06-02,['DL316'],['Delta Air Lines'],A,Landed - On-time [+],22:00,2023-06-01,21:50,2023-06-01,06:45,2023-06-02,06:46,2023-06-02,
Portland,PDX,06:57,2023-06-02,"['B696', 'EI5195', 'TP4432']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:38,2023-06-01,00:42,2023-06-02,06:57,2023-06-02,09:35,2023-06-02,
Los Angeles,LAX,06:58,2023-06-02,"['AA2453', 'B64139', 'FJ5005', 'QF3013', 'TN1244']","['American Airlines', 'JetBlue Airways', 'Fiji Airways', 'Qantas', 'Air Tahiti Nui']",B,Landed - Delayed [+],22:25,2023-06-01,22:28,2023-06-01,06:58,2023-06-02,07:19,2023-06-02,
Newark,EWR,07:07,2023-06-02,"['UA1044', 'TP8512']","['United Airlines', 'TAP Air Portugal']",B,Landed - On-time [+],06:00,2023-06-02,05:56,2023-06-02,07:07,2023-06-02,06:59,2023-06-02,
New York,LGA,07:10,2023-06-02,['DL1632'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2023-06-02,05:53,2023-06-02,07:10,2023-06-02,06:58,2023-06-02,
Newark,EWR,07:12,2023-06-02,"['B62180', 'AA9152', 'FI7992', 'HA2084', 'JL5479']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines']",C,Landed - On-time [+],06:00,2023-06-02,06:17,2023-06-02,07:12,2023-06-02,07:16,2023-06-02,
Provincetown,PVC,07:15,2023-06-02,"['9K2001', 'B65175']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:45,2023-06-02,06:40,2023-06-02,07:15,2023-06-02,07:15,2023-06-02,Cessna (Light aircraft)
Rochester,ROC,07:18,2023-06-02,"['B6712', 'TP4275']","['JetBlue Airways', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-02,05:51,2023-06-02,07:18,2023-06-02,07:24,2023-06-02,
New York,JFK,07:20,2023-06-02,"['DL5853', 'KE3954', 'KL6729', 'VS4302']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],06:00,2023-06-02,05:56,2023-06-02,07:20,2023-06-02,07:17,2023-06-02,
Philadelphia,PHL,07:22,2023-06-02,"['B6960', 'EI5203', 'HA2208', 'TP4352']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:05,2023-06-02,05:52,2023-06-02,07:22,2023-06-02,07:08,2023-06-02,
Bar Harbor,BHB,07:25,2023-06-02,"['9K1830', 'B65156']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:00,2023-06-02,06:00,2023-06-02,07:25,2023-06-02,07:20,2023-06-02,Cessna (Light aircraft)
Philadelphia,PHL,07:25,2023-06-02,"['DL5620', 'KE3318']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],06:03,2023-06-02,06:02,2023-06-02,07:25,2023-06-02,07:31,2023-06-02,
Los Angeles,LAX,07:26,2023-06-02,"['UA2424', 'NZ9441', 'OZ6282', 'VA8301']","['United Airlines', 'Air New Zealand', 'Asiana Airlines', 'Virgin Australia']",B,Landed - On-time [+],22:51,2023-06-01,22:38,2023-06-01,07:26,2023-06-02,07:28,2023-06-02,
Pittsburgh,PIT,07:32,2023-06-02,"['B61486', 'AA9365', 'EI5223', 'FI7836', 'HA2468', 'TP4356']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-02,05:48,2023-06-02,07:32,2023-06-02,07:22,2023-06-02,
Washington,DCA,07:37,2023-06-02,['DL5837'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2023-06-02,05:54,2023-06-02,07:37,2023-06-02,07:36,2023-06-02,
Richmond,RIC,07:37,2023-06-02,"['B6382', 'AA9191', 'EI5239', 'FI7882', 'JL5879', 'TP4366']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-02,05:50,2023-06-02,07:37,2023-06-02,07:22,2023-06-02,
New York,JFK,07:41,2023-06-02,"['B6518', 'AA9370', 'EI5014', 'HA2002', 'SQ1450', 'TP4304']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:30,2023-06-02,06:22,2023-06-02,07:41,2023-06-02,07:27,2023-06-02,
Baltimore,BWI,07:45,2023-06-02,['WN1655'],['Southwest Airlines'],B,Landed - On-time [+],06:20,2023-06-02,06:20,2023-06-02,07:45,2023-06-02,07:45,2023-06-02,
Phoenix,PHX,07:45,2023-06-02,['DL667'],['Delta Air Lines'],A,Landed - On-time [+],23:39,2023-06-01,23:37,2023-06-01,07:45,2023-06-02,07:43,2023-06-02,
Pittsburgh,PIT,07:48,2023-06-02,"['DL5753', 'KE3310']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],06:00,2023-06-02,05:53,2023-06-02,07:48,2023-06-02,07:41,2023-06-02,
