,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Chicago,MDW,00:05,2023-04-20,['WN951'],['Southwest Airlines'],B,Landed - Delayed [+],20:55,2023-04-19,22:35,2023-04-19,00:05,2023-04-20,01:39,2023-04-20,
1,Tampa,TPA,00:08,2023-04-20,['DL1439'],['Delta Air Lines'],A,Landed - On-time [+],21:04,2023-04-19,21:11,2023-04-19,00:08,2023-04-20,00:01,2023-04-20,
2,Seattle,SEA,00:10,2023-04-20,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:50,2023-04-19,15:49,2023-04-19,00:10,2023-04-20,00:05,2023-04-20,
3,New York,JFK,00:19,2023-04-20,"['B61318', 'AA9347', 'AT9510', 'EI5018', 'HA2000', 'QR3825']","['JetBlue Airways', 'American Airlines', 'Royal Air Maroc', 'Aer Lingus', 'Hawaiian Airlines', 'Qatar Airways']",C,Landed - Delayed [+],22:55,2023-04-19,22:47,2023-04-20,00:19,2023-04-20,00:28,2023-04-21,
4,Miami,MIA,00:21,2023-04-20,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:00,2023-04-19,20:58,2023-04-19,00:21,2023-04-20,23:59,2023-04-19,
5,Orlando,MCO,00:27,2023-04-20,"['B61952', 'AD7669', 'HA2442']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:30,2023-04-19,23:42,2023-04-20,00:27,2023-04-20,02:19,2023-04-21,
6,Fort Myers,RSW,00:29,2023-04-20,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-04-19,21:05,2023-04-20,00:29,2023-04-20,00:04,2023-04-21,
7,Fort Lauderdale,FLL,00:32,2023-04-20,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - On-time [+],21:15,2023-04-19,00:16,2023-04-21,00:32,2023-04-20,00:16,2023-04-20,
8,Charlotte,CLT,00:34,2023-04-20,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:28,2023-04-19,22:27,2023-04-19,00:34,2023-04-20,00:21,2023-04-20,
9,Fort Lauderdale,FLL,00:56,2023-04-20,['NK616'],['Spirit Airlines'],B,Landed - Delayed [+],21:41,2023-04-19,22:46,2023-04-19,00:56,2023-04-20,01:43,2023-04-20,
10,Atlanta,ATL,00:59,2023-04-20,"['DL865', 'AM3183', 'KE3682', 'KL5056', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],22:25,2023-04-19,23:13,2023-04-19,00:59,2023-04-20,01:33,2023-04-20,
11,Denver,DEN,01:40,2023-04-20,['WN3442'],['Southwest Airlines'],B,Landed - Delayed [+],19:50,2023-04-19,21:15,2023-04-19,01:40,2023-04-20,03:52,2023-04-20,
12,Chattanooga,CHA,03:42,2023-04-20,['PEG11'],['Pegasus Elite Aviation'],,Landed - Delayed [+],01:30,2023-04-20,03:12,2023-04-20,03:42,2023-04-20,05:07,2023-04-20,
13,Miami,MIA,03:59,2023-04-20,['AHO8207'],['Air Hamburg'],,Landed - On-time [+],01:00,2023-04-20,01:14,2023-04-20,03:59,2023-04-20,03:59,2023-04-20,
14,Louisville,SDF,04:26,2023-04-20,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-04-20,02:44,2023-04-20,04:26,2023-04-20,04:30,2023-04-20,
15,Philadelphia,PHL,04:29,2023-04-20,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-04-20,03:50,2023-04-20,04:29,2023-04-20,04:37,2023-04-20,
16,San Diego,SAN,04:47,2023-04-20,['B62120'],['JetBlue Airways'],C,Landed - Delayed [+],20:15,2023-04-19,20:03,2023-04-20,04:47,2023-04-20,04:24,2023-04-21,
17,Newark,EWR,04:55,2023-04-20,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-04-20,03:53,2023-04-20,04:55,2023-04-20,03:34,2023-04-20,
18,San Francisco,SFO,04:57,2023-04-20,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:15,2023-04-19,20:09,2023-04-19,04:57,2023-04-20,04:39,2023-04-20,
19,Salt Lake City,SLC,05:01,2023-04-20,['B6648'],['JetBlue Airways'],C,Landed - Delayed [+],22:30,2023-04-19,23:20,2023-04-20,05:01,2023-04-20,05:36,2023-04-21,
20,Denver,DEN,05:10,2023-04-20,['B6394'],['JetBlue Airways'],C,Landed - Delayed [+],23:23,2023-04-19,23:35,2023-04-20,05:10,2023-04-20,05:12,2023-04-21,
21,San Juan,SJU,05:30,2023-04-20,"['B61072', 'JL5481']","['JetBlue Airways', 'JAL Japan Airlines']",C,Landed - Delayed [+],01:20,2023-04-20,01:58,2023-04-20,05:30,2023-04-20,05:50,2023-04-20,
