Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Austin,AUS,00:09,2024-02-03,['B61238'],['JetBlue Airways'],C,Landed - On-time [+],19:15,2024-02-02,19:11,2024-02-02,actual,00:09,2024-02-03,00:01,2024-02-03,actual,Airbus A220-300 Passenger
Dallas,DFW,00:15,2024-02-03,['DL315'],['Delta Air Lines'],A,Landed - Delayed [+],19:41,2024-02-02,19:36,2024-02-02,actual,00:15,2024-02-03,00:40,2024-02-03,actual,Airbus A220-100 Passenger
Miami,MIA,00:20,2024-02-03,['AA1054'],['American Airlines'],B,Landed - On-time [+],21:00,2024-02-02,20:53,2024-02-02,actual,00:20,2024-02-03,00:11,2024-02-03,actual,Boeing 737-800 Passenger
Fort Lauderdale,FLL,00:35,2024-02-03,['B6170'],['JetBlue Airways'],C,Landed - On-time [+],21:26,2024-02-02,21:12,2024-02-02,actual,00:35,2024-02-03,00:22,2024-02-03,actual,Airbus A321
Charlotte,CLT,00:52,2024-02-03,['AA1937'],['American Airlines'],B,Landed - On-time [+],22:45,2024-02-02,22:40,2024-02-02,actual,00:52,2024-02-03,00:48,2024-02-03,actual,Boeing 737-800 Passenger
Atlanta,ATL,00:58,2024-02-03,['DL865'],['Delta Air Lines'],A,Landed - On-time [+],22:25,2024-02-02,22:22,2024-02-02,actual,00:58,2024-02-03,01:02,2024-02-03,actual,Airbus A321neo
Tampa,TPA,01:12,2024-02-03,['NK3583'],['Spirit Airlines'],B,Landed - On-time [+],22:17,2024-02-02,22:21,2024-02-02,actual,01:12,2024-02-03,01:15,2024-02-03,actual,Airbus A320
Los Angeles,LAX,05:00,2024-02-03,['B6988'],['JetBlue Airways'],C,Landed - On-time [+],20:30,2024-02-02,20:17,2024-02-02,actual,05:00,2024-02-03,04:52,2024-02-03,actual,Airbus A321
Phoenix,PHX,05:00,2024-02-03,['B61302'],['JetBlue Airways'],C,Landed - On-time [+],22:25,2024-02-02,22:13,2024-02-02,actual,05:00,2024-02-03,05:10,2024-02-03,actual,Airbus A320
Salt Lake City,SLC,05:02,2024-02-03,['B6648'],['JetBlue Airways'],C,Landed - On-time [+],22:40,2024-02-02,22:25,2024-02-02,actual,05:02,2024-02-03,05:08,2024-02-03,actual,Airbus A320
Phoenix,PHX,05:48,2024-02-03,['AA2701'],['American Airlines'],B,Landed - On-time [+],23:01,2024-02-02,22:55,2024-02-02,actual,05:48,2024-02-03,05:59,2024-02-03,actual,Airbus A321neo
Las Vegas,LAS,05:51,2024-02-03,['DL484'],['Delta Air Lines'],A,Landed - Delayed [+],21:45,2024-02-02,21:48,2024-02-02,actual,05:51,2024-02-03,06:15,2024-02-03,actual,Airbus A321neo
Honolulu,HNL,06:00,2024-02-03,['HA90'],['Hawaiian Airlines'],E,Landed - On-time [+],15:20,2024-02-02,15:13,2024-02-02,actual,06:00,2024-02-03,05:22,2024-02-03,actual,Airbus A330-200
Phoenix,PHX,06:05,2024-02-03,['DL979'],['Delta Air Lines'],A,Landed - On-time [+],23:20,2024-02-02,23:05,2024-02-02,actual,06:05,2024-02-03,06:05,2024-02-03,actual,Airbus A321neo
Louisville,SDF,06:05,2024-02-03,['5X1014'],['UPS'],,Landed - Delayed [+],04:20,2024-02-03,04:57,2024-02-03,actual,06:05,2024-02-03,06:48,2024-02-03,actual,Boeing 767-300 Passenger
Seattle,SEA,06:10,2024-02-03,['B6498'],['JetBlue Airways'],C,Landed - Delayed [+],21:58,2024-02-02,21:52,2024-02-02,actual,06:10,2024-02-03,06:31,2024-02-03,actual,Airbus A321
Los Angeles,LAX,06:20,2024-02-03,['DL568'],['Delta Air Lines'],A,Landed - On-time [+],21:45,2024-02-02,21:40,2024-02-02,actual,06:20,2024-02-03,06:21,2024-02-03,actual,Boeing 757-200 Passenger
Seattle,SEA,06:24,2024-02-03,['DL2733'],['Delta Air Lines'],A,Landed - Delayed [+],21:55,2024-02-02,21:47,2024-02-02,actual,06:24,2024-02-03,06:40,2024-02-03,actual,Airbus A321neo
Los Angeles,LAX,06:25,2024-02-03,['AA2453'],['American Airlines'],B,Landed - Delayed [+],22:00,2024-02-02,22:36,2024-02-02,actual,06:25,2024-02-03,07:14,2024-02-03,actual,Airbus A321
San Diego,SAN,06:39,2024-02-03,['DL486'],['Delta Air Lines'],A,Landed - On-time [+],22:10,2024-02-02,22:01,2024-02-02,actual,06:39,2024-02-03,06:41,2024-02-03,actual,Airbus A321neo
Memphis,MEM,06:40,2024-02-03,['FX1406'],['FedEx'],,Landed - Delayed [+],03:18,2024-02-03,03:35,2024-02-03,actual,06:40,2024-02-03,07:03,2024-02-03,actual,Boeing 767-300 Passenger
New York,JFK,06:42,2024-02-03,['B62718'],['JetBlue Airways'],C,Landed - On-time [+],05:30,2024-02-03,05:25,2024-02-03,actual,06:42,2024-02-03,06:19,2024-02-03,actual,Airbus A320
San Francisco,SFO,06:59,2024-02-03,['DL475'],['Delta Air Lines'],A,Landed - On-time [+],22:15,2024-02-02,22:13,2024-02-02,actual,06:59,2024-02-03,07:06,2024-02-03,actual,Airbus A321neo
Syracuse,SYR,07:00,2024-02-03,['B6374'],['JetBlue Airways'],C,Landed - On-time [+],05:45,2024-02-03,05:33,2024-02-03,actual,07:00,2024-02-03,06:32,2024-02-03,actual,Embraer 190
Los Angeles,LAX,07:15,2024-02-03,['UA2106'],['United Airlines'],B,Landed - On-time [+],22:45,2024-02-02,22:38,2024-02-02,actual,07:15,2024-02-03,07:16,2024-02-03,actual,Boeing 757-200 Passenger
New York,JFK,07:16,2024-02-03,['DL5653'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2024-02-03,05:52,2024-02-03,actual,07:16,2024-02-03,07:14,2024-02-03,actual,Embraer 175
Philadelphia,PHL,07:20,2024-02-03,['B6560'],['JetBlue Airways'],C,Landed - On-time [+],06:00,2024-02-03,05:48,2024-02-03,actual,07:20,2024-02-03,06:56,2024-02-03,actual,Embraer 190
Bar Harbor,BHB,07:25,2024-02-03,['9K1830'],['Cape Air'],C,Landed - On-time [+],06:00,2024-02-03,05:55,2024-02-03,actual,07:25,2024-02-03,07:25,2024-02-03,actual,Cessna (Light aircraft)
New York,LGA,07:31,2024-02-03,['B62832'],['JetBlue Airways'],C,Landed - On-time [+],06:15,2024-02-03,06:13,2024-02-03,actual,07:31,2024-02-03,07:08,2024-02-03,actual,Embraer 190
Santo Domingo,SDQ,07:34,2024-02-03,['B61830'],['JetBlue Airways'],E,Landed - Delayed [+],04:19,2024-02-03,05:30,2024-02-03,actual,07:34,2024-02-03,08:36,2024-02-03,actual,Airbus A321
Nantucket,ACK,07:48,2024-02-03,['9K5001'],['Cape Air'],C,Landed - On-time [+],07:00,2024-02-03,07:05,2024-02-03,actual,07:48,2024-02-03,07:51,2024-02-03,actual,Cessna (Light aircraft)
Las Vegas,LAS,07:53,2024-02-03,['B6178'],['JetBlue Airways'],C,Landed - On-time [+],23:55,2024-02-02,23:35,2024-02-02,actual,07:53,2024-02-03,07:38,2024-02-03,actual,Airbus A321
Buffalo,BUF,07:55,2024-02-03,['B6716'],['JetBlue Airways'],C,Landed - On-time [+],06:29,2024-02-03,06:19,2024-02-03,actual,07:55,2024-02-03,07:36,2024-02-03,actual,Embraer 190
Pittsburgh,PIT,07:55,2024-02-03,['B61486'],['JetBlue Airways'],C,Landed - Delayed [+],06:00,2024-02-03,06:35,2024-02-03,actual,07:55,2024-02-03,08:17,2024-02-03,actual,Embraer 190
New York,JFK,07:58,2024-02-03,['B6518'],['JetBlue Airways'],C,Landed - On-time [+],06:46,2024-02-03,06:39,2024-02-03,actual,07:58,2024-02-03,07:38,2024-02-03,actual,Embraer 190
Provincetown,PVC,08:05,2024-02-03,['9K4201'],['Cape Air'],C,Landed - On-time [+],07:35,2024-02-03,07:25,2024-02-03,actual,08:05,2024-02-03,08:00,2024-02-03,actual,Cessna (Light aircraft)
San Francisco,SFO,08:05,2024-02-03,['UA1665'],['United Airlines'],B,Landed - On-time [+],23:25,2024-02-02,23:18,2024-02-02,actual,08:05,2024-02-03,08:08,2024-02-03,actual,Boeing 757-200 Passenger
Washington,DCA,08:09,2024-02-03,['DL5751'],['Delta Air Lines'],A,Landed - On-time [+],06:30,2024-02-03,06:28,2024-02-03,actual,08:09,2024-02-03,07:59,2024-02-03,actual,Embraer 175
Charlotte,CLT,08:15,2024-02-03,['AA9790'],['American Airlines'],B,Canceled [+],06:00,2024-02-03,06:00,2024-02-03,scheduled,08:15,2024-02-03,08:15,2024-02-03,scheduled,Airbus A319
Lebanon,LEB,08:15,2024-02-03,['9K1870'],['Cape Air'],C,Landed - On-time [+],07:20,2024-02-03,07:10,2024-02-03,actual,08:15,2024-02-03,08:10,2024-02-03,actual,Tecnam P2012 Traveler
San Francisco,SFO,08:20,2024-02-03,['B634'],['JetBlue Airways'],C,Landed - On-time [+],23:41,2024-02-02,23:29,2024-02-02,actual,08:20,2024-02-03,08:18,2024-02-03,actual,Airbus A321
