,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Chicago,MDW,00:05,2023-05-04,['WN951'],['Southwest Airlines'],B,Landed - Delayed [+],20:55,2023-05-03,21:29,2023-05-03,00:05,2023-05-04,00:46,2023-05-04,
1,Tampa,TPA,00:08,2023-05-04,['DL1439'],['Delta Air Lines'],A,Landed - On-time [+],21:04,2023-05-03,20:58,2023-05-03,00:08,2023-05-04,23:51,2023-05-03,
2,Seattle,SEA,00:10,2023-05-04,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:50,2023-05-03,15:43,2023-05-03,00:10,2023-05-04,00:21,2023-05-04,
3,New York,JFK,00:19,2023-05-04,"['B61318', 'AA9347', 'AT9510', 'EI5018', 'HA2000', 'QR3825']","['JetBlue Airways', 'American Airlines', 'Royal Air Maroc', 'Aer Lingus', 'Hawaiian Airlines', 'Qatar Airways']",C,Landed - Delayed [+],22:55,2023-05-03,22:47,2023-05-03,00:19,2023-05-04,23:51,2023-05-04,
4,Miami,MIA,00:21,2023-05-04,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:00,2023-05-03,20:59,2023-05-03,00:21,2023-05-04,00:11,2023-05-04,
5,Orlando,MCO,00:27,2023-05-04,"['B61952', 'AD7669', 'HA2442']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:30,2023-05-03,21:48,2023-05-04,00:27,2023-05-04,00:46,2023-05-05,
6,Fort Myers,RSW,00:29,2023-05-04,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-03,21:09,2023-05-04,00:29,2023-05-04,00:19,2023-05-05,
7,Fort Lauderdale,FLL,00:32,2023-05-04,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-05-03,21:42,2023-05-04,00:32,2023-05-04,00:54,2023-05-05,
8,Charlotte,CLT,00:34,2023-05-04,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:28,2023-05-03,22:30,2023-05-03,00:34,2023-05-04,00:30,2023-05-04,
9,Fort Worth,FTW,00:50,2023-05-04,['1I818'],['NetJets Aviation'],,Landed - Delayed [+],20:30,2023-05-03,21:40,2023-05-03,00:50,2023-05-04,01:45,2023-05-04,
10,Fort Lauderdale,FLL,00:56,2023-05-04,['NK616'],['Spirit Airlines'],B,Landed - Delayed [+],21:41,2023-05-03,23:53,2023-05-03,00:56,2023-05-04,02:49,2023-05-04,
11,Teterboro,TEB,00:57,2023-05-04,['LBQ420'],['Quest Diagnostics'],,En Route [+],00:10,2023-05-04,,,00:57,2023-05-04,,,
12,Atlanta,ATL,00:59,2023-05-04,"['DL865', 'AM3183', 'KE3682', 'KL5056', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:25,2023-05-03,22:23,2023-05-03,00:59,2023-05-04,00:48,2023-05-04,
13,Teterboro,TEB,01:20,2023-05-04,['LBQ799'],['Quest Diagnostics'],,Landed - On-time [+],00:24,2023-05-04,00:21,2023-05-04,01:20,2023-05-04,01:09,2023-05-04,
14,Denver,DEN,01:40,2023-05-04,['WN3442'],['Southwest Airlines'],B,Landed - Delayed [+],19:50,2023-05-03,20:16,2023-05-03,01:40,2023-05-04,01:58,2023-05-04,
15,Louisville,SDF,04:26,2023-05-04,['5X1016'],['UPS'],,Landed - Delayed [+],02:35,2023-05-04,03:10,2023-05-04,04:26,2023-05-04,05:03,2023-05-04,
16,Philadelphia,PHL,04:29,2023-05-04,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-05-04,03:38,2023-05-04,04:29,2023-05-04,04:27,2023-05-04,
17,San Diego,SAN,04:47,2023-05-04,"['B62120', 'JL5887']","['JetBlue Airways', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:15,2023-05-03,20:09,2023-05-04,04:47,2023-05-04,04:46,2023-05-05,
18,Newark,EWR,04:55,2023-05-04,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-05-04,03:57,2023-05-04,04:55,2023-05-04,04:36,2023-05-04,
19,San Francisco,SFO,04:57,2023-05-04,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:15,2023-05-03,20:21,2023-05-03,04:57,2023-05-04,05:07,2023-05-04,
20,Salt Lake City,SLC,05:01,2023-05-04,['B6648'],['JetBlue Airways'],C,Landed - Delayed [+],22:30,2023-05-03,22:51,2023-05-04,05:01,2023-05-04,05:13,2023-05-05,
21,Denver,DEN,05:10,2023-05-04,['B6394'],['JetBlue Airways'],C,Landed - Delayed [+],23:23,2023-05-03,23:35,2023-05-04,05:10,2023-05-04,05:22,2023-05-05,
22,Toronto,YYZ,05:29,2023-05-04,['ASP827'],['AirSprint'],,Landed - On-time [+],04:10,2023-05-04,04:22,2023-05-04,05:29,2023-05-04,05:25,2023-05-04,
23,San Juan,SJU,05:30,2023-05-04,"['B61072', 'JL5481']","['JetBlue Airways', 'JAL Japan Airlines']",C,Landed - On-time [+],01:20,2023-05-04,01:40,2023-05-04,05:30,2023-05-04,05:41,2023-05-04,
24,Phoenix,PHX,05:36,2023-05-04,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:45,2023-05-03,21:44,2023-05-03,05:36,2023-05-04,05:30,2023-05-04,
25,Denver,DEN,05:37,2023-05-04,['UA289'],['United Airlines'],B,Landed - On-time [+],23:40,2023-05-03,23:35,2023-05-03,05:37,2023-05-04,05:22,2023-05-04,
