Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Seattle,SEA,00:29,2023-07-11,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:55,2023-07-10,16:06,2023-07-10,actual,00:29,2023-07-11,00:31,2023-07-11,actual,
Fort Lauderdale,FLL,00:31,2023-07-11,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-07-10,22:32,2023-07-10,actual,00:31,2023-07-11,01:32,2023-07-11,actual,
Charlotte,CLT,00:38,2023-07-11,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - Delayed [+],22:27,2023-07-10,23:08,2023-07-10,actual,00:38,2023-07-11,01:03,2023-07-11,actual,
Minneapolis,MSP,00:41,2023-07-11,"['DL1246', 'AM3900', 'KE3993', 'KL5800', 'WS7864']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'WestJet']",A,Landed - Delayed [+],20:45,2023-07-10,21:35,2023-07-10,actual,00:41,2023-07-11,01:23,2023-07-11,actual,
Miami,MIA,00:42,2023-07-11,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - On-time [+],21:10,2023-07-10,21:33,2023-07-10,actual,00:42,2023-07-11,00:33,2023-07-11,actual,
Detroit,DTW,00:59,2023-07-11,"['DL1279', 'AM3429', 'CZ1051', 'MU4540', 'VS3112', 'WS7211']","['Delta Air Lines', 'Aeromexico', 'China Southern Airlines', 'China Eastern Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],23:01,2023-07-10,23:26,2023-07-10,actual,00:59,2023-07-11,01:37,2023-07-11,actual,
Chicago,ORD,00:59,2023-07-11,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - Delayed [+],21:26,2023-07-10,22:27,2023-07-10,actual,00:59,2023-07-11,01:40,2023-07-11,actual,
San Francisco,SFO,01:04,2023-07-11,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-07-10,16:15,2023-07-10,actual,01:04,2023-07-11,00:39,2023-07-11,actual,
Atlanta,ATL,01:22,2023-07-11,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'LA5737', 'VS2377', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:41,2023-07-10,22:44,2023-07-10,actual,01:22,2023-07-11,01:04,2023-07-11,actual,
Tampa,TPA,02:27,2023-07-11,['DL9881'],['Delta Air Lines'],A,Landed - Delayed [+],23:32,2023-07-10,00:51,2023-07-11,actual,02:27,2023-07-11,03:29,2023-07-11,actual,
Louisville,SDF,04:26,2023-07-11,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-07-11,02:40,2023-07-11,actual,04:26,2023-07-11,04:23,2023-07-11,actual,
Philadelphia,PHL,04:29,2023-07-11,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-07-11,03:48,2023-07-11,actual,04:29,2023-07-11,04:35,2023-07-11,actual,
San Diego,SAN,04:39,2023-07-11,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - On-time [+],20:10,2023-07-10,20:05,2023-07-10,actual,04:39,2023-07-11,04:46,2023-07-11,actual,
Vancouver,YVR,04:48,2023-07-11,"['AC532', 'UA8609']","['Air Canada', 'United Airlines']",B,Landed - On-time [+],20:25,2023-07-10,20:29,2023-07-10,actual,04:48,2023-07-11,04:36,2023-07-11,actual,
Newark,EWR,04:55,2023-07-11,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-07-11,04:14,2023-07-11,actual,04:55,2023-07-11,04:47,2023-07-11,actual,
Denver,DEN,05:00,2023-07-11,['B6594'],['JetBlue Airways'],C,Landed - Delayed [+],23:10,2023-07-10,23:41,2023-07-10,actual,05:00,2023-07-11,05:21,2023-07-11,actual,
