Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Fort Lauderdale,FLL,00:04,2024-01-08,['NK616'],['Spirit Airlines'],B,Landed - Delayed [+],20:45,2024-01-07,22:14,2024-01-07,actual,00:04,2024-01-08,01:59,2024-01-08,actual,Airbus A320neo
Teterboro,TEB,00:17,2024-01-08,['1I782'],['NetJets Aviation'],,En Route [+],23:27,2024-01-07,23:27,2024-01-07,scheduled,00:17,2024-01-08,00:17,2024-01-08,scheduled,BOMBARDIER BD-100 Challenger 350
New York,JFK,00:25,2024-01-08,['B6318B'],['JetBlue Airways'],,Landed - Delayed [+],23:43,2024-01-07,00:25,2024-01-08,actual,00:25,2024-01-08,01:04,2024-01-08,actual,Airbus A220-300 Passenger
Salt Lake City,SLC,00:26,2024-01-08,"['DL702', 'KL5758', 'VS4254']","['Delta Air Lines', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],17:50,2024-01-07,18:17,2024-01-07,actual,00:26,2024-01-08,00:54,2024-01-08,actual,Airbus A321neo
Miami,MIA,00:27,2024-01-08,"['AA1054', 'G36162']",['American Airlines'],B,Landed - Delayed [+],21:07,2024-01-07,21:51,2024-01-07,actual,00:27,2024-01-08,01:31,2024-01-08,actual,Airbus A321
Austin,AUS,00:34,2024-01-08,"['B61238', 'HA2006', 'JL5853']","['JetBlue Airways', 'Hawaiian Airlines', 'JAL']",C,Landed - Delayed [+],19:44,2024-01-07,23:26,2024-01-07,actual,00:34,2024-01-08,04:01,2024-01-08,actual,Airbus A220-300 Passenger
Charlotte,CLT,00:34,2024-01-08,['AA1937'],['American Airlines'],B,Landed - Delayed [+],22:28,2024-01-07,22:33,2024-01-07,actual,00:34,2024-01-08,01:45,2024-01-08,actual,Boeing 737-800 Passenger
Fort Lauderdale,FLL,00:35,2024-01-08,"['B6170', 'AD7411', 'HA2426', 'JL5863']","['JetBlue Airways', 'Hawaiian Airlines', 'JAL']",C,Landed - Delayed [+],21:26,2024-01-07,00:55,2024-01-08,actual,00:35,2024-01-08,04:09,2024-01-08,actual,Airbus A321
Chicago,ORD,00:44,2024-01-08,"['UA1564', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:25,2024-01-07,21:24,2024-01-07,actual,00:44,2024-01-08,00:49,2024-01-08,actual,Boeing 737-800 Passenger
Atlanta,ATL,01:03,2024-01-08,"['DL865', 'AM4188', 'KE3682', 'KL6648', 'LA6261', 'VS4256', 'WS6383']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],22:30,2024-01-07,22:42,2024-01-07,actual,01:03,2024-01-08,01:47,2024-01-08,actual,Airbus A321neo
Tampa,TPA,01:36,2024-01-08,['NK3583'],['Spirit Airlines'],B,Landed - Delayed [+],22:31,2024-01-07,23:11,2024-01-07,actual,01:36,2024-01-08,02:59,2024-01-08,actual,Airbus A320neo
Tampa,TPA,01:47,2024-01-08,['DL9974'],['Delta Air Lines'],,En Route [+],23:00,2024-01-07,23:00,2024-01-07,scheduled,01:47,2024-01-08,01:47,2024-01-08,scheduled,Boeing 737-800 Passenger
Cincinnati,CVG,04:27,2024-01-08,['M6588'],['Amerijet International'],,Landed - On-time [+],02:35,2024-01-08,02:54,2024-01-08,actual,04:27,2024-01-08,04:26,2024-01-08,actual,Boeing 767-200 Passenger
Bedford/Hanscom,BED,04:42,2024-01-08,['LXJ394'],['Flexjet'],,Landed - Delayed [+],04:30,2024-01-08,05:21,2024-01-08,actual,04:42,2024-01-08,05:41,2024-01-08,actual,Embraer EMB-505 Phenom 300
Phoenix,PHX,05:00,2024-01-08,['B61302'],['JetBlue Airways'],C,Landed - Delayed [+],22:25,2024-01-07,23:10,2024-01-07,actual,05:00,2024-01-08,05:43,2024-01-08,actual,Airbus A320
Salt Lake City,SLC,05:02,2024-01-08,['B6648'],['JetBlue Airways'],C,Landed - Delayed [+],22:40,2024-01-07,00:32,2024-01-08,actual,05:02,2024-01-08,06:40,2024-01-08,actual,Airbus A320
Phoenix,PHX,05:23,2024-01-08,['AA2701'],['American Airlines'],B,Landed - On-time [+],22:40,2024-01-07,22:35,2024-01-07,actual,05:23,2024-01-08,05:10,2024-01-08,actual,Boeing 737MAX 8 Passenger
Philadelphia,PNE,05:26,2024-01-08,['1I176'],['NetJets Aviation'],,Landed - On-time [+],04:30,2024-01-08,04:31,2024-01-08,actual,05:26,2024-01-08,05:18,2024-01-08,actual,BOMBARDIER BD-700 Global 7000
Denver,DEN,05:50,2024-01-08,['UA1532'],['United Airlines'],B,Landed - On-time [+],23:59,2024-01-07,23:56,2024-01-07,actual,05:50,2024-01-08,05:27,2024-01-08,actual,Boeing 737-800 Passenger
