,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Chicago,MDW,00:05,2023-05-25,['WN951'],['Southwest Airlines'],B,Landed - Delayed [+],20:55,2023-05-24,00:40,2023-05-25,00:05,2023-05-25,03:38,2023-05-25,
1,Fort Myers,RSW,00:08,2023-05-25,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-24,21:46,2023-05-25,00:08,2023-05-25,00:48,2023-05-26,
2,San Francisco,SFO,00:09,2023-05-25,"['B61734', 'AA9249', 'HA2224']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],15:27,2023-05-24,15:19,2023-05-24,00:09,2023-05-25,23:58,2023-05-24,
3,Laconia,LCI,00:15,2023-05-25,['JNY899'],['Journey Aviation'],,Landed - On-time [+],23:45,2023-05-24,00:05,2023-05-25,00:15,2023-05-25,00:29,2023-05-25,
4,Orlando,MCO,00:17,2023-05-25,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-24,22:13,2023-05-25,00:17,2023-05-25,00:49,2023-05-26,
5,Miami,MIA,00:24,2023-05-25,"['AA1054', 'B64059', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Iberia']",B,Landed - Delayed [+],21:01,2023-05-24,22:49,2023-05-24,00:24,2023-05-25,02:01,2023-05-25,
6,Charlotte,CLT,00:44,2023-05-25,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - Delayed [+],22:33,2023-05-24,23:20,2023-05-24,00:44,2023-05-25,01:13,2023-05-25,
7,Atlanta,ATL,00:51,2023-05-25,"['DL865', 'AM3020', 'KE3682', 'KL5056', 'LA6102', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:17,2023-05-24,22:12,2023-05-24,00:51,2023-05-25,00:35,2023-05-25,
8,Denver,DEN,01:40,2023-05-25,['WN3442'],['Southwest Airlines'],B,Landed - On-time [+],19:50,2023-05-24,19:50,2023-05-24,01:40,2023-05-25,01:42,2023-05-25,
9,Louisville,SDF,04:26,2023-05-25,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-05-25,02:44,2023-05-25,04:26,2023-05-25,04:30,2023-05-25,
10,Las Vegas,LAS,04:29,2023-05-25,['NK1165'],['Spirit Airlines'],B,Landed - On-time [+],20:30,2023-05-24,20:33,2023-05-24,04:29,2023-05-25,04:38,2023-05-25,
11,Philadelphia,PHL,04:29,2023-05-25,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-05-25,03:35,2023-05-25,04:29,2023-05-25,04:23,2023-05-25,
12,Newark,EWR,04:55,2023-05-25,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-05-25,04:03,2023-05-25,04:55,2023-05-25,04:36,2023-05-25,
