Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Salt Lake City,SLC,00:03,2023-07-07,"['DL702', 'KL5238']","['Delta Air Lines', 'KLM Royal Dutch Airlines']",A,Landed - On-time [+],17:24,2023-07-06,17:18,2023-07-06,actual,00:03,2023-07-07,23:27,2023-07-06,actual,
Indianapolis,IND,00:06,2023-07-07,['FX1685'],['FedEx'],,Landed - On-time [+],22:00,2023-07-06,22:23,2023-07-06,actual,00:06,2023-07-07,00:00,2023-07-07,actual,
Dallas,DFW,00:17,2023-07-07,['NK1165'],['Spirit Airlines'],B,Landed - On-time [+],19:21,2023-07-06,19:31,2023-07-06,actual,00:17,2023-07-07,00:04,2023-07-07,actual,
Seattle,SEA,00:20,2023-07-07,"['DL770', 'KE3009', 'MU4546', 'VS1732']","['Delta Air Lines', 'Korean Air', 'China Eastern Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],15:55,2023-07-06,16:17,2023-07-06,actual,00:20,2023-07-07,00:24,2023-07-07,actual,
Chicago,MDW,00:25,2023-07-07,['WN1905'],['Southwest Airlines'],B,Landed - On-time [+],21:10,2023-07-06,21:23,2023-07-06,actual,00:25,2023-07-07,00:26,2023-07-07,actual,
Minneapolis,MSP,00:26,2023-07-07,"['DL1246', 'AM3621', 'KE3993', 'KL5798', 'VS4242', 'WS7864']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],20:35,2023-07-06,20:30,2023-07-06,actual,00:26,2023-07-07,00:05,2023-07-07,actual,
Fort Lauderdale,FLL,00:31,2023-07-07,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-07-06,21:58,2023-07-06,actual,00:31,2023-07-07,01:01,2023-07-07,actual,
Charlotte,CLT,00:38,2023-07-07,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:27,2023-07-06,22:28,2023-07-06,actual,00:38,2023-07-07,00:33,2023-07-07,actual,
Miami,MIA,00:42,2023-07-07,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - On-time [+],21:10,2023-07-06,21:05,2023-07-06,actual,00:42,2023-07-07,00:18,2023-07-07,actual,
Chicago,ORD,00:59,2023-07-07,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - Delayed [+],21:26,2023-07-06,22:56,2023-07-06,actual,00:59,2023-07-07,02:04,2023-07-07,actual,
San Francisco,SFO,01:04,2023-07-07,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-07-06,16:09,2023-07-06,actual,01:04,2023-07-07,00:33,2023-07-07,actual,
Atlanta,ATL,01:13,2023-07-07,"['DL865', 'AM4188', 'KE3682', 'KL5111', 'LA8954', 'VS2377', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:31,2023-07-06,22:24,2023-07-06,actual,01:13,2023-07-07,01:00,2023-07-07,actual,
Louisville,SDF,04:26,2023-07-07,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-07-07,02:38,2023-07-07,actual,04:26,2023-07-07,04:21,2023-07-07,actual,
Philadelphia,PHL,04:29,2023-07-07,['5X1018'],['UPS'],,Landed - Delayed [+],03:36,2023-07-07,04:15,2023-07-07,actual,04:29,2023-07-07,05:08,2023-07-07,actual,
