Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Dallas,DFW,00:17,2023-07-28,['NK1165'],['Spirit Airlines'],B,Landed - On-time [+],19:21,2023-07-27,19:57,2023-07-27,actual,00:17,2023-07-28,00:31,2023-07-28,actual,
Seattle,SEA,00:29,2023-07-28,"['DL770', 'KE3009', 'MU4546', 'VS1732']","['Delta Air Lines', 'Korean Air', 'China Eastern Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],15:55,2023-07-27,16:03,2023-07-27,actual,00:29,2023-07-28,00:08,2023-07-28,actual,
Denver,DEN,00:30,2023-07-28,['WN3065'],['Southwest Airlines'],B,Landed - Delayed [+],18:35,2023-07-27,21:09,2023-07-27,actual,00:30,2023-07-28,02:58,2023-07-28,actual,
Fort Lauderdale,FLL,00:31,2023-07-28,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-07-27,23:26,2023-07-27,actual,00:31,2023-07-28,02:35,2023-07-28,actual,
Charlotte,CLT,00:38,2023-07-28,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:27,2023-07-27,22:42,2023-07-27,actual,00:38,2023-07-28,00:43,2023-07-28,actual,
Minneapolis,MSP,00:41,2023-07-28,"['DL1246', 'AM3900', 'KE3993', 'KL5798', 'WS7864']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'WestJet']",A,Landed - On-time [+],20:45,2023-07-27,21:13,2023-07-27,actual,00:41,2023-07-28,00:53,2023-07-28,actual,
Miami,MIA,00:42,2023-07-28,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - Delayed [+],21:10,2023-07-27,21:39,2023-07-27,actual,00:42,2023-07-28,01:14,2023-07-28,actual,
Detroit,DTW,00:59,2023-07-28,"['DL1279', 'AM3429', 'VS3112', 'WS7211']","['Delta Air Lines', 'Aeromexico', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],23:01,2023-07-27,23:01,2023-07-27,actual,00:59,2023-07-28,00:36,2023-07-28,actual,
Chicago,ORD,00:59,2023-07-28,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:26,2023-07-27,21:41,2023-07-27,actual,00:59,2023-07-28,00:49,2023-07-28,actual,
San Francisco,SFO,01:04,2023-07-28,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-07-27,16:14,2023-07-27,actual,01:04,2023-07-28,01:00,2023-07-28,actual,
San Jose Cabo,SJD,01:16,2023-07-28,['B68426'],['JetBlue Airways'],,Landed - On-time [+],16:46,2023-07-27,16:54,2023-07-27,actual,01:16,2023-07-28,01:11,2023-07-28,actual,
Atlanta,ATL,01:22,2023-07-28,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'LA5740', 'VS2377', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:41,2023-07-27,22:42,2023-07-27,actual,01:22,2023-07-28,01:06,2023-07-28,actual,
Miami,MIA,01:28,2023-07-28,['STY90'],['Altius Aviation'],,Landed - On-time [+],22:30,2023-07-27,22:37,2023-07-27,actual,01:28,2023-07-28,01:16,2023-07-28,actual,
Chicago,MDW,01:50,2023-07-28,['WN5889'],['Southwest Airlines'],B,Landed - Delayed [+],22:40,2023-07-27,23:20,2023-07-27,actual,01:50,2023-07-28,02:34,2023-07-28,actual,
Louisville,SDF,04:26,2023-07-28,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-07-28,02:38,2023-07-28,actual,04:26,2023-07-28,04:26,2023-07-28,actual,
Philadelphia,PHL,04:29,2023-07-28,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-07-28,03:49,2023-07-28,actual,04:29,2023-07-28,04:41,2023-07-28,actual,
San Diego,SAN,04:39,2023-07-28,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - On-time [+],20:10,2023-07-27,20:00,2023-07-27,actual,04:39,2023-07-28,04:19,2023-07-28,actual,
Vancouver,YVR,04:48,2023-07-28,"['AC532', 'UA8609']","['Air Canada', 'United Airlines']",B,Landed - On-time [+],20:25,2023-07-27,20:17,2023-07-27,actual,04:48,2023-07-28,04:23,2023-07-28,actual,
Newark,EWR,04:55,2023-07-28,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-07-28,04:06,2023-07-28,actual,04:55,2023-07-28,04:49,2023-07-28,actual,
