Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Indianapolis,IND,09:10,2023-06-04,"['DL5813', 'AZ4285', 'KE3316']","['Delta Air Lines', 'ITA Airways', 'Korean Air']",A,Landed - On-time [+],06:44,2023-06-04,06:41,2023-06-04,09:10,2023-06-04,09:04,2023-06-04,
Toronto,YYZ,09:11,2023-06-04,"['AC766', 'UA8528']","['Air Canada', 'United Airlines']",B,Landed - On-time [+],07:40,2023-06-04,07:38,2023-06-04,09:11,2023-06-04,09:16,2023-06-04,
Fort Lauderdale,FLL,09:14,2023-06-04,"['B670', 'AD7410', 'EI5143', 'FI7932', 'HA2168', 'JL5863', 'TP4288']","['JetBlue Airways', 'Azul', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-06-04,05:56,2023-06-04,09:14,2023-06-04,09:20,2023-06-04,
San Juan,SJU,09:20,2023-06-04,"['B6562', 'EI5287', 'FI7988', 'HA2290', 'JL5481', 'TP4396']","['JetBlue Airways', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],05:01,2023-06-04,04:56,2023-06-04,09:20,2023-06-04,08:47,2023-06-04,
Chicago,ORD,09:22,2023-06-04,"['UA677', 'NZ2085']","['United Airlines', 'Air New Zealand']",B,Landed - On-time [+],06:00,2023-06-04,05:56,2023-06-04,09:22,2023-06-04,09:29,2023-06-04,
New York,LGA,09:28,2023-06-04,"['DL5832', 'KE3989']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],08:00,2023-06-04,07:57,2023-06-04,09:28,2023-06-04,09:11,2023-06-04,
Cincinnati,CVG,09:31,2023-06-04,"['DL2833', 'KE3985', 'VS4246']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],07:15,2023-06-04,07:11,2023-06-04,09:31,2023-06-04,09:33,2023-06-04,
Nantucket,ACK,09:33,2023-06-04,"['9K5081', 'B65119']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],08:45,2023-06-04,08:55,2023-06-04,09:33,2023-06-04,09:50,2023-06-04,Cessna (Light aircraft)
Boston,BOS,09:35,2023-06-04,"['9K1831', 'B65157']","['Cape Air', 'JetBlue Airways']",,Landed - DIVERTED [+],08:15,2023-06-04,08:35,2023-06-04,09:35,2023-06-04,08:40,2023-06-04,Cessna (Light aircraft)
Miami,MIA,09:38,2023-06-04,['NK3121'],['Spirit Airlines'],B,Landed - On-time [+],06:10,2023-06-04,06:10,2023-06-04,09:38,2023-06-04,09:14,2023-06-04,
Montreal,YUL,09:38,2023-06-04,"['AC8604', 'UA8416']","['Air Canada', 'United Airlines']",B,Landed - On-time [+],08:15,2023-06-04,08:13,2023-06-04,09:38,2023-06-04,09:36,2023-06-04,
Memphis,MEM,09:39,2023-06-04,"['AA4522', 'B64628']","['American Airlines', 'JetBlue Airways']",B,Landed - On-time [+],05:40,2023-06-04,05:35,2023-06-04,09:39,2023-06-04,09:42,2023-06-04,
Nashville,BNA,09:42,2023-06-04,"['B6948', 'AA9402']","['JetBlue Airways', 'American Airlines']",C,Landed - Delayed [+],06:15,2023-06-04,07:53,2023-06-04,09:42,2023-06-04,11:25,2023-06-04,
Santo Domingo,SDQ,09:42,2023-06-04,['B61830'],['JetBlue Airways'],E,Landed - On-time [+],05:30,2023-06-04,05:31,2023-06-04,09:42,2023-06-04,09:24,2023-06-04,
Nantucket,ACK,09:43,2023-06-04,"['9K5041', 'B65151']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],08:55,2023-06-04,09:33,2023-06-04,09:43,2023-06-04,10:26,2023-06-04,Cessna (Light aircraft)
Atlanta,ATL,09:43,2023-06-04,"['DL327', 'AR7036', 'KE6839', 'KL5636', 'WS7335']","['Delta Air Lines', 'Aerolineas Argentinas', 'Korean Air', 'KLM Royal Dutch Airlines', 'WestJet']",A,Landed - On-time [+],07:05,2023-06-04,07:04,2023-06-04,09:43,2023-06-04,09:32,2023-06-04,
