Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Washington,DCA,00:06,2024-01-23,['B68384'],['JetBlue Airways'],,Landed - Delayed [+],22:55,2024-01-22,23:06,2024-01-22,actual,00:06,2024-01-23,00:24,2024-01-23,actual,Embraer 190
Austin,AUS,00:09,2024-01-23,['B61238'],['JetBlue Airways'],C,Landed - Delayed [+],19:15,2024-01-22,21:49,2024-01-22,actual,00:09,2024-01-23,02:33,2024-01-23,actual,Airbus A220-300 Passenger
Dallas,DFW,00:15,2024-01-23,['DL315'],['Delta Air Lines'],A,Landed - Delayed [+],19:41,2024-01-22,20:01,2024-01-22,actual,00:15,2024-01-23,00:36,2024-01-23,actual,Airbus A220-100 Passenger
Miami,MIA,00:20,2024-01-23,['AA1054'],['American Airlines'],B,Landed - On-time [+],21:00,2024-01-22,21:20,2024-01-22,actual,00:20,2024-01-23,00:31,2024-01-23,actual,Boeing 737-800 Passenger
Fort Lauderdale,FLL,00:35,2024-01-23,['B6170'],['JetBlue Airways'],C,Landed - On-time [+],21:26,2024-01-22,21:20,2024-01-22,actual,00:35,2024-01-23,00:25,2024-01-23,actual,Airbus A320
Charlotte,CLT,00:52,2024-01-23,['AA1937'],['American Airlines'],B,Landed - Delayed [+],22:45,2024-01-22,00:25,2024-01-23,actual,00:52,2024-01-23,02:12,2024-01-23,actual,Boeing 737-800 Passenger
Atlanta,ATL,00:58,2024-01-23,['DL865'],['Delta Air Lines'],A,Landed - On-time [+],22:25,2024-01-22,22:25,2024-01-22,actual,00:58,2024-01-23,00:39,2024-01-23,actual,Airbus A321
Tampa,TPA,01:12,2024-01-23,['NK3583'],['Spirit Airlines'],B,Landed - On-time [+],22:17,2024-01-22,22:09,2024-01-22,actual,01:12,2024-01-23,01:05,2024-01-23,actual,Airbus A320
Philadelphia,PHL,04:16,2024-01-23,['5X1018'],['UPS'],,Landed - On-time [+],03:25,2024-01-23,03:33,2024-01-23,actual,04:16,2024-01-23,04:13,2024-01-23,actual,Boeing 767-300 Passenger
Louisville,SDF,04:20,2024-01-23,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2024-01-23,02:28,2024-01-23,actual,04:20,2024-01-23,04:02,2024-01-23,actual,Boeing 767-300 Passenger
Newark,EWR,04:54,2024-01-23,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2024-01-23,04:08,2024-01-23,actual,04:54,2024-01-23,04:40,2024-01-23,actual,Boeing 757-200 Passenger
Phoenix,PHX,05:00,2024-01-23,['B61302'],['JetBlue Airways'],C,Landed - On-time [+],22:25,2024-01-22,22:19,2024-01-22,actual,05:00,2024-01-23,05:01,2024-01-23,actual,Airbus A320
Louisville,SDF,05:39,2024-01-23,['5X1014'],['UPS'],,Landed - On-time [+],03:54,2024-01-23,04:20,2024-01-23,actual,05:39,2024-01-23,05:53,2024-01-23,actual,Boeing 767-300 Passenger
Tel Aviv-Yafo,TLV,05:45,2024-01-23,['LY15'],['El Al Israel Airlines'],E,Landed - On-time [+],01:05,2024-01-23,01:00,2024-01-23,actual,05:45,2024-01-23,05:56,2024-01-23,actual,Boeing 787-8
Phoenix,PHX,05:48,2024-01-23,['AA2701'],['American Airlines'],B,Landed - On-time [+],23:01,2024-01-22,23:04,2024-01-22,actual,05:48,2024-01-23,05:42,2024-01-23,actual,Airbus A321neo
Las Vegas,LAS,05:51,2024-01-23,['DL484'],['Delta Air Lines'],A,Landed - Delayed [+],21:45,2024-01-22,22:25,2024-01-22,actual,05:51,2024-01-23,06:21,2024-01-23,actual,Airbus A321neo
Memphis,MEM,05:58,2024-01-23,['FX1406'],['FedEx'],,Landed - Delayed [+],02:36,2024-01-23,03:33,2024-01-23,actual,05:58,2024-01-23,06:36,2024-01-23,actual,Boeing 767-300 Passenger
Honolulu,HNL,06:00,2024-01-23,['HA90'],['Hawaiian Airlines'],E,Landed - On-time [+],15:15,2024-01-22,15:14,2024-01-22,actual,06:00,2024-01-23,05:40,2024-01-23,actual,Airbus A330-200
Indianapolis,IND,06:01,2024-01-23,['FX1710'],['FedEx'],,Landed - Delayed [+],04:15,2024-01-23,05:03,2024-01-23,actual,06:01,2024-01-23,06:30,2024-01-23,actual,Boeing 767-300 Passenger
Phoenix,PHX,06:05,2024-01-23,['DL979'],['Delta Air Lines'],A,Landed - On-time [+],23:20,2024-01-22,23:14,2024-01-22,actual,06:05,2024-01-23,06:04,2024-01-23,actual,Airbus A321neo
Seattle,SEA,06:10,2024-01-23,['B6498'],['JetBlue Airways'],C,Landed - Delayed [+],21:58,2024-01-22,00:58,2024-01-23,actual,06:10,2024-01-23,08:47,2024-01-23,actual,Airbus A321
San Juan,SJU,06:14,2024-01-23,['B6562'],['JetBlue Airways'],C,Landed - On-time [+],02:58,2024-01-23,02:53,2024-01-23,actual,06:14,2024-01-23,05:58,2024-01-23,actual,Airbus A320
Los Angeles,LAX,06:20,2024-01-23,['DL568'],['Delta Air Lines'],A,Landed - On-time [+],21:45,2024-01-22,21:45,2024-01-22,actual,06:20,2024-01-23,06:20,2024-01-23,actual,Boeing 757-200 Passenger
Los Angeles,LAX,06:25,2024-01-23,['AA2453'],['American Airlines'],B,Landed - On-time [+],22:00,2024-01-22,21:57,2024-01-22,actual,06:25,2024-01-23,06:19,2024-01-23,actual,Airbus A321
Seattle,SEA,06:29,2024-01-23,['DL2733'],['Delta Air Lines'],A,Landed - On-time [+],22:00,2024-01-22,21:56,2024-01-22,actual,06:29,2024-01-23,06:20,2024-01-23,actual,Airbus A321neo
Memphis,MEM,06:34,2024-01-23,['FX1473'],['FedEx'],,Landed - Delayed [+],03:12,2024-01-23,05:18,2024-01-23,actual,06:34,2024-01-23,08:32,2024-01-23,actual,Boeing 767-300 Passenger
San Diego,SAN,06:39,2024-01-23,['DL486'],['Delta Air Lines'],A,Landed - On-time [+],22:10,2024-01-22,22:03,2024-01-22,actual,06:39,2024-01-23,06:29,2024-01-23,actual,Airbus A321neo
Newark,EWR,06:59,2024-01-23,['DL5832'],['Delta Air Lines'],A,Landed - On-time [+],05:38,2024-01-23,05:32,2024-01-23,actual,06:59,2024-01-23,06:40,2024-01-23,actual,Embraer 175
San Francisco,SFO,06:59,2024-01-23,['DL475'],['Delta Air Lines'],A,Landed - On-time [+],22:15,2024-01-22,22:08,2024-01-22,actual,06:59,2024-01-23,06:51,2024-01-23,actual,Airbus A321neo
Syracuse,SYR,07:00,2024-01-23,['B6374'],['JetBlue Airways'],C,Landed - On-time [+],05:45,2024-01-23,05:31,2024-01-23,actual,07:00,2024-01-23,06:29,2024-01-23,actual,Embraer 190
New York,LGA,07:10,2024-01-23,['DL5605'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2024-01-23,05:57,2024-01-23,actual,07:10,2024-01-23,07:14,2024-01-23,actual,Embraer 175
Los Angeles,LAX,07:15,2024-01-23,['UA2106'],['United Airlines'],B,Landed - On-time [+],22:45,2024-01-22,22:37,2024-01-22,actual,07:15,2024-01-23,06:45,2024-01-23,actual,Boeing 757-200 Passenger
Middletown,MDT,07:15,2024-01-23,['AA5937'],['American Airlines'],B,Landed - On-time [+],05:44,2024-01-23,05:57,2024-01-23,actual,07:15,2024-01-23,07:11,2024-01-23,actual,
New York,JFK,07:16,2024-01-23,['DL5653'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2024-01-23,05:54,2024-01-23,actual,07:16,2024-01-23,07:14,2024-01-23,actual,Embraer 175
Los Angeles,LAX,07:20,2024-01-23,['B6988'],['JetBlue Airways'],C,Landed - On-time [+],22:49,2024-01-22,22:43,2024-01-22,actual,07:20,2024-01-23,07:02,2024-01-23,actual,Airbus A321
Philadelphia,PHL,07:20,2024-01-23,['B6560'],['JetBlue Airways'],C,Landed - On-time [+],06:00,2024-01-23,05:55,2024-01-23,actual,07:20,2024-01-23,07:05,2024-01-23,actual,Embraer 190
Bar Harbor,BHB,07:25,2024-01-23,['9K1830'],['Cape Air'],C,Landed - On-time [+],06:00,2024-01-23,06:04,2024-01-23,actual,07:25,2024-01-23,07:30,2024-01-23,actual,Cessna (Light aircraft)
Philadelphia,PHL,07:29,2024-01-23,['DL5801'],['Delta Air Lines'],A,Landed - Delayed [+],06:05,2024-01-23,05:54,2024-01-23,actual,07:29,2024-01-23,07:47,2024-01-23,actual,Embraer 175
New York,LGA,07:31,2024-01-23,['B62832'],['JetBlue Airways'],C,Landed - On-time [+],06:15,2024-01-23,06:03,2024-01-23,actual,07:31,2024-01-23,07:05,2024-01-23,actual,Embraer 190
Santo Domingo,SDQ,07:34,2024-01-23,['B61830'],['JetBlue Airways'],E,Landed - Delayed [+],04:19,2024-01-23,04:53,2024-01-23,actual,07:34,2024-01-23,07:58,2024-01-23,actual,Airbus A321
Cincinnati,CVG,07:47,2024-01-23,['GB588'],['ABX Air'],,Landed - On-time [+],05:55,2024-01-23,06:24,2024-01-23,actual,07:47,2024-01-23,07:52,2024-01-23,actual,Boeing 767-200 Passenger
Nantucket,ACK,07:48,2024-01-23,['9K5001'],['Cape Air'],C,Landed - On-time [+],07:00,2024-01-23,07:00,2024-01-23,actual,07:48,2024-01-23,08:00,2024-01-23,actual,Cessna (Light aircraft)
Las Vegas,LAS,07:53,2024-01-23,['B6178'],['JetBlue Airways'],C,Landed - Delayed [+],23:55,2024-01-22,00:26,2024-01-23,actual,07:53,2024-01-23,08:18,2024-01-23,actual,Airbus A321
Buffalo,BUF,07:55,2024-01-23,['B6716'],['JetBlue Airways'],C,Landed - On-time [+],06:29,2024-01-23,06:20,2024-01-23,actual,07:55,2024-01-23,07:54,2024-01-23,actual,Embraer 190
Lebanon,LEB,07:55,2024-01-23,['9K1870'],['Cape Air'],C,Landed - On-time [+],07:00,2024-01-23,06:56,2024-01-23,actual,07:55,2024-01-23,08:02,2024-01-23,actual,Tecnam P2012 Traveler
Pittsburgh,PIT,07:55,2024-01-23,['B61486'],['JetBlue Airways'],C,Landed - On-time [+],06:00,2024-01-23,05:48,2024-01-23,actual,07:55,2024-01-23,07:31,2024-01-23,actual,Embraer 190
West Palm Beach,PBI,07:56,2024-01-23,['1I514'],['NetJets Aviation'],,Landed - On-time [+],05:00,2024-01-23,05:24,2024-01-23,actual,07:56,2024-01-23,08:00,2024-01-23,actual,CESSNA 680A Citation Latitude
New York,JFK,07:58,2024-01-23,['B6518'],['JetBlue Airways'],C,Landed - Delayed [+],06:46,2024-01-23,07:15,2024-01-23,actual,07:58,2024-01-23,08:27,2024-01-23,actual,Embraer 190
Cleveland,CLE,08:00,2024-01-23,['DL5743'],['Delta Air Lines'],A,Canceled [+],06:05,2024-01-23,06:05,2024-01-23,scheduled,08:00,2024-01-23,08:00,2024-01-23,scheduled,Embraer 175
Pittsburgh,PIT,08:00,2024-01-23,['DL5800'],['Delta Air Lines'],A,Landed - On-time [+],06:12,2024-01-23,06:10,2024-01-23,actual,08:00,2024-01-23,07:45,2024-01-23,actual,Embraer 175
Richmond,RIC,08:00,2024-01-23,['DL5758'],['Delta Air Lines'],A,Landed - On-time [+],06:25,2024-01-23,06:13,2024-01-23,actual,08:00,2024-01-23,08:03,2024-01-23,actual,Embraer 175
