,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Fort Myers,RSW,00:08,2023-05-29,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-28,20:52,2023-05-29,00:08,2023-05-29,00:11,2023-05-30,
1,San Francisco,SFO,00:09,2023-05-29,"['B61734', 'AA9249', 'HA2224']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - Delayed [+],15:27,2023-05-28,15:55,2023-05-28,00:09,2023-05-29,00:47,2023-05-29,
2,Baltimore,BWI,00:15,2023-05-29,['WN962'],['Southwest Airlines'],B,Landed - On-time [+],22:50,2023-05-28,22:46,2023-05-28,00:15,2023-05-29,00:05,2023-05-29,
3,Orlando,MCO,00:17,2023-05-29,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-28,21:18,2023-05-29,00:17,2023-05-29,00:34,2023-05-30,
4,Miami,MIA,00:24,2023-05-29,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:01,2023-05-28,21:02,2023-05-28,00:24,2023-05-29,00:08,2023-05-29,
5,Saint Louis,STL,00:30,2023-05-29,['WN150'],['Southwest Airlines'],B,Landed - On-time [+],20:55,2023-05-28,20:50,2023-05-28,00:30,2023-05-29,00:18,2023-05-29,
6,Charlotte,CLT,00:44,2023-05-29,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:33,2023-05-28,22:28,2023-05-28,00:44,2023-05-29,00:28,2023-05-29,
7,Atlanta,ATL,00:51,2023-05-29,"['DL865', 'AM3020', 'KE3682', 'KL5056', 'LA8493', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:17,2023-05-28,22:13,2023-05-28,00:51,2023-05-29,00:43,2023-05-29,
8,Nashville,BNA,00:55,2023-05-29,['WN4552'],['Southwest Airlines'],B,Landed - Delayed [+],21:30,2023-05-28,22:50,2023-05-28,00:55,2023-05-29,02:15,2023-05-29,
9,Chicago,ORD,01:00,2023-05-29,"['UA1503', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:36,2023-05-28,21:31,2023-05-28,01:00,2023-05-29,00:47,2023-05-29,
