,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Tampa,TPA,00:08,2023-04-30,['DL1439'],['Delta Air Lines'],A,Landed - Delayed [+],21:04,2023-04-29,22:41,2023-04-29,00:08,2023-04-30,01:14,2023-04-30,
1,New York,JFK,00:19,2023-04-30,"['B61318', 'AA9347', 'AT9510', 'EI5018', 'HA2000', 'QR3825', 'SQ1452']","['JetBlue Airways', 'American Airlines', 'Royal Air Maroc', 'Aer Lingus', 'Hawaiian Airlines', 'Qatar Airways', 'Singapore Airlines']",C,Landed - Delayed [+],22:59,2023-04-29,00:01,2023-05-01,00:19,2023-04-30,01:20,2023-05-01,
2,West Palm Beach,PBI,00:19,2023-04-30,"['B6622', 'HA2456']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-04-29,22:30,2023-04-30,00:19,2023-04-30,01:42,2023-05-01,
3,Miami,MIA,00:21,2023-04-30,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:00,2023-04-29,20:58,2023-04-29,00:21,2023-04-30,00:10,2023-04-30,
4,Orlando,MCO,00:27,2023-04-30,"['B61952', 'AD7669', 'HA2442']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:30,2023-04-29,23:28,2023-04-29,00:27,2023-04-30,02:00,2023-04-30,
5,Charlotte,CLT,00:35,2023-04-30,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - Delayed [+],22:29,2023-04-29,23:36,2023-04-29,00:35,2023-04-30,01:26,2023-04-30,
6,Denver,DEN,00:35,2023-04-30,['WN3442'],['Southwest Airlines'],B,Landed - On-time [+],18:45,2023-04-29,18:43,2023-04-29,00:35,2023-04-30,00:18,2023-04-30,
7,Chicago,ORD,00:43,2023-04-30,"['UA1503', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:20,2023-04-29,21:25,2023-04-29,00:43,2023-04-30,00:45,2023-04-30,
8,Fort Lauderdale,FLL,00:45,2023-04-30,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:28,2023-04-29,23:31,2023-04-30,00:45,2023-04-30,03:07,2023-05-01,
9,Fort Lauderdale,FLL,00:56,2023-04-30,['NK616'],['Spirit Airlines'],B,Landed - Delayed [+],21:41,2023-04-29,23:58,2023-04-29,00:56,2023-04-30,02:41,2023-04-30,
