Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Portland,PWM,00:11,2024-01-13,['WN8504'],['Southwest Airlines'],,Landed - On-time [+],23:30,2024-01-12,23:29,2024-01-12,actual,00:11,2024-01-13,00:10,2024-01-13,actual,Boeing 737-800 Passenger
Dallas,DFW,00:15,2024-01-13,['DL315'],['Delta Air Lines'],A,Landed - Delayed [+],19:41,2024-01-12,21:45,2024-01-12,actual,00:15,2024-01-13,01:53,2024-01-13,actual,Airbus A220-100 Passenger
West Palm Beach,PBI,00:15,2024-01-13,['DL2160'],['Delta Air Lines'],A,Landed - On-time [+],21:06,2024-01-12,21:07,2024-01-12,actual,00:15,2024-01-13,00:03,2024-01-13,actual,Boeing 737-800 Passenger
Miami,MIA,00:20,2024-01-13,"['AA1054', 'G36162']",['American Airlines'],B,Landed - On-time [+],21:00,2024-01-12,20:57,2024-01-12,actual,00:20,2024-01-13,23:57,2024-01-12,actual,Boeing 737-800 Passenger
Austin,AUS,00:34,2024-01-13,"['B61238', 'HA2006', 'JL5853']","['JetBlue Airways', 'Hawaiian Airlines', 'JAL']",C,Landed - On-time [+],19:44,2024-01-12,19:44,2024-01-12,actual,00:34,2024-01-13,00:17,2024-01-13,actual,Airbus A220-300 Passenger
Fort Lauderdale,FLL,00:35,2024-01-13,"['B6170', 'AD7411', 'HA2426', 'JL5863']","['JetBlue Airways', 'Hawaiian Airlines', 'JAL']",C,Landed - On-time [+],21:26,2024-01-12,21:37,2024-01-12,actual,00:35,2024-01-13,00:46,2024-01-13,actual,Airbus A321
Charlotte,CLT,00:52,2024-01-13,['AA1937'],['American Airlines'],B,Landed - Delayed [+],22:45,2024-01-12,00:13,2024-01-13,actual,00:52,2024-01-13,02:07,2024-01-13,actual,Boeing 737-800 Passenger
Atlanta,ATL,00:58,2024-01-13,"['DL865', 'AM4188', 'KL6648', 'LA6261', 'VS4256', 'WS6383']","['Delta Air Lines', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],22:25,2024-01-12,22:41,2024-01-12,actual,00:58,2024-01-13,00:51,2024-01-13,actual,Airbus A321
Tampa,TPA,01:12,2024-01-13,['NK3583'],['Spirit Airlines'],B,Landed - Delayed [+],22:17,2024-01-12,22:52,2024-01-12,actual,01:12,2024-01-13,01:27,2024-01-13,actual,Airbus A320
Buffalo,BUF,01:39,2024-01-13,['B68360'],['JetBlue Airways'],,Landed - On-time [+],00:28,2024-01-13,00:45,2024-01-13,actual,01:39,2024-01-13,01:36,2024-01-13,actual,Embraer 190
Los Angeles,LAX,05:00,2024-01-13,"['B6988', 'HA2316', 'SQ1538']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - On-time [+],20:30,2024-01-12,20:26,2024-01-12,actual,05:00,2024-01-13,04:30,2024-01-13,actual,Airbus A321
Phoenix,PHX,05:00,2024-01-13,['B61302'],['JetBlue Airways'],C,Landed - On-time [+],22:25,2024-01-12,22:19,2024-01-12,actual,05:00,2024-01-13,04:39,2024-01-13,actual,Airbus A320
Salt Lake City,SLC,05:02,2024-01-13,['B6648'],['JetBlue Airways'],C,Landed - On-time [+],22:40,2024-01-12,22:32,2024-01-12,actual,05:02,2024-01-13,05:07,2024-01-13,actual,Airbus A320
San Juan,SJU,05:28,2024-01-13,"['B6562', 'HA2290', 'JL5481']","['JetBlue Airways', 'Hawaiian Airlines', 'JAL']",C,Landed - On-time [+],02:15,2024-01-13,02:08,2024-01-13,actual,05:28,2024-01-13,05:11,2024-01-13,actual,Airbus A320
Wichita,ICT,05:47,2024-01-13,['SVL3'],['Alante Air Charter'],,En Route [+],01:30,2024-01-13,01:30,2024-01-13,scheduled,05:47,2024-01-13,05:47,2024-01-13,scheduled,Cessna Citation
Phoenix,PHX,05:48,2024-01-13,['AA2701'],['American Airlines'],B,Landed - On-time [+],23:01,2024-01-12,22:58,2024-01-12,actual,05:48,2024-01-13,05:32,2024-01-13,actual,Airbus A321neo
Las Vegas,LAS,05:51,2024-01-13,['DL484'],['Delta Air Lines'],A,Landed - On-time [+],21:45,2024-01-12,21:44,2024-01-12,actual,05:51,2024-01-13,05:24,2024-01-13,actual,Airbus A321neo
Honolulu,HNL,06:00,2024-01-13,"['HA90', 'B65816']","['Hawaiian Airlines', 'JetBlue Airways']",E,Landed - On-time [+],15:15,2024-01-12,15:23,2024-01-12,actual,06:00,2024-01-13,05:55,2024-01-13,actual,Airbus A330-200
Phoenix,PHX,06:05,2024-01-13,['DL979'],['Delta Air Lines'],A,Landed - On-time [+],23:20,2024-01-12,23:28,2024-01-12,actual,06:05,2024-01-13,05:47,2024-01-13,actual,Airbus A321neo
Louisville,SDF,06:07,2024-01-13,['5X1014'],['UPS'],,Landed - Delayed [+],04:20,2024-01-13,05:41,2024-01-13,actual,06:07,2024-01-13,07:19,2024-01-13,actual,Boeing 767-300 Passenger
Seattle,SEA,06:10,2024-01-13,"['B6498', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],21:58,2024-01-12,21:59,2024-01-12,actual,06:10,2024-01-13,06:15,2024-01-13,actual,Airbus A321
Los Angeles,LAX,06:20,2024-01-13,"['DL568', 'CZ1239', 'KE7395', 'LA8587', 'VS2204']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],21:45,2024-01-12,21:44,2024-01-12,actual,06:20,2024-01-13,05:58,2024-01-13,actual,Boeing 757-200 Passenger
Los Angeles,LAX,06:25,2024-01-13,"['AA2453', 'CZ1641', 'JL7525', 'QF3013', 'TN1140']","['American Airlines', 'JAL']",B,Landed - On-time [+],22:00,2024-01-12,22:00,2024-01-12,actual,06:25,2024-01-13,06:06,2024-01-13,actual,Airbus A321
Seattle,SEA,06:29,2024-01-13,"['DL2733', 'KE3009', 'LA7937', 'MU8687', 'VS1732']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],22:00,2024-01-12,22:35,2024-01-12,actual,06:29,2024-01-13,07:04,2024-01-13,actual,Airbus A321neo
Sao Paulo,GRU,06:31,2024-01-13,['JJ8164'],['LATAM Airlines Brasil'],,Landed - Delayed [+],23:08,2024-01-12,23:14,2024-01-12,actual,06:31,2024-01-13,07:39,2024-01-13,actual,Boeing 787-9
San Diego,SAN,06:39,2024-01-13,['DL486'],['Delta Air Lines'],A,Landed - On-time [+],22:10,2024-01-12,22:06,2024-01-12,actual,06:39,2024-01-13,06:09,2024-01-13,actual,Airbus A321neo
Sao Paulo,GRU,06:40,2024-01-13,"['LA8164', 'DL6054', 'JL5561']","['LATAM Airlines', 'Delta Air Lines', 'JAL']",E,Landed - Delayed [+],22:50,2024-01-12,22:50,2024-01-12,scheduled,06:40,2024-01-13,07:39,2024-01-13,actual,Boeing 787-9
Memphis,MEM,06:40,2024-01-13,['FX1406'],['FedEx'],,Landed - On-time [+],03:18,2024-01-13,03:42,2024-01-13,actual,06:40,2024-01-13,06:46,2024-01-13,actual,Boeing 767-300 Passenger
New York,JFK,06:42,2024-01-13,"['B62718', 'EI5016', 'QR3831']","['JetBlue Airways', 'Aer Lingus', 'Qatar Airways']",C,Landed - On-time [+],05:30,2024-01-13,05:24,2024-01-13,actual,06:42,2024-01-13,06:31,2024-01-13,actual,Airbus A320
San Francisco,SFO,06:59,2024-01-13,"['DL475', 'KE6731', 'LA8649', 'VS1787']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],22:15,2024-01-12,22:17,2024-01-12,actual,06:59,2024-01-13,06:38,2024-01-13,actual,Airbus A321neo
Syracuse,SYR,07:00,2024-01-13,"['B6374', 'HA2190', 'TP4388']","['JetBlue Airways', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],05:45,2024-01-13,05:42,2024-01-13,actual,07:00,2024-01-13,06:58,2024-01-13,actual,Embraer 190
Los Angeles,LAX,07:15,2024-01-13,"['UA2106', 'CA7254', 'NZ9441', 'OZ6282', 'VA8301']",['United Airlines'],B,Landed - On-time [+],22:45,2024-01-12,22:40,2024-01-12,actual,07:15,2024-01-13,07:11,2024-01-13,actual,Boeing 757-200 Passenger
New York,JFK,07:16,2024-01-13,"['DL5653', 'KE3949', 'KL5257', 'LA6650', 'VS4302']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],06:00,2024-01-13,06:20,2024-01-13,actual,07:16,2024-01-13,07:35,2024-01-13,actual,Embraer 175
Philadelphia,PHL,07:20,2024-01-13,"['B6560', 'EI5203', 'HA2210', 'TP4350']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2024-01-13,05:47,2024-01-13,actual,07:20,2024-01-13,06:59,2024-01-13,actual,Embraer 190
Bar Harbor,BHB,07:25,2024-01-13,"['9K1830', 'B65156']","['Cape Air', 'JetBlue Airways']",C,Canceled [+],06:00,2024-01-13,06:00,2024-01-13,scheduled,07:25,2024-01-13,07:25,2024-01-13,scheduled,Cessna (Light aircraft)
New York,LGA,07:31,2024-01-13,"['B62832', 'HA2186', 'TP4462']","['JetBlue Airways', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:15,2024-01-13,06:03,2024-01-13,actual,07:31,2024-01-13,07:32,2024-01-13,actual,Embraer 190
Santo Domingo,SDQ,07:34,2024-01-13,['B61830'],['JetBlue Airways'],E,Landed - Delayed [+],04:19,2024-01-13,07:16,2024-01-13,actual,07:34,2024-01-13,10:23,2024-01-13,actual,Airbus A321
Nantucket,ACK,07:48,2024-01-13,"['9K5001', 'B65900']","['Cape Air', 'JetBlue Airways']",C,Canceled [+],07:00,2024-01-13,07:00,2024-01-13,scheduled,07:48,2024-01-13,07:48,2024-01-13,scheduled,Cessna (Light aircraft)
Las Vegas,LAS,07:53,2024-01-13,"['B6178', 'EI5161', 'HA2332', 'TP4320']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],23:55,2024-01-12,00:02,2024-01-13,actual,07:53,2024-01-13,08:01,2024-01-13,actual,Airbus A321
Buffalo,BUF,07:55,2024-01-13,"['B6716', 'EI5097', 'HA2364', 'JL5855', 'TP4261']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'JAL', 'TAP Air Portugal']",C,Canceled [+],06:29,2024-01-13,06:29,2024-01-13,scheduled,07:55,2024-01-13,07:55,2024-01-13,scheduled,Embraer 190
New York,JFK,07:58,2024-01-13,"['B6518', 'EI5014', 'HA2002', 'QR3952', 'TP4304']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'Qatar Airways', 'TAP Air Portugal']",C,Landed - On-time [+],06:46,2024-01-13,06:42,2024-01-13,actual,07:58,2024-01-13,07:48,2024-01-13,actual,Embraer 190
Provincetown,PVC,08:05,2024-01-13,"['9K4201', 'B65180']","['Cape Air', 'JetBlue Airways']",C,Canceled [+],07:35,2024-01-13,07:35,2024-01-13,scheduled,08:05,2024-01-13,08:05,2024-01-13,scheduled,Cessna (Light aircraft)
San Francisco,SFO,08:05,2024-01-13,"['UA1665', 'NZ9018', 'VA8306']",['United Airlines'],B,Landed - On-time [+],23:25,2024-01-12,23:52,2024-01-12,actual,08:05,2024-01-13,08:10,2024-01-13,actual,Boeing 757-200 Passenger
Washington,DCA,08:09,2024-01-13,"['DL5751', 'KE3308']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],06:30,2024-01-13,06:22,2024-01-13,actual,08:09,2024-01-13,08:01,2024-01-13,actual,Embraer 175
Lebanon,LEB,08:15,2024-01-13,"['9K1870', 'B65167']","['Cape Air', 'JetBlue Airways']",C,Canceled [+],07:20,2024-01-13,07:20,2024-01-13,scheduled,08:15,2024-01-13,08:15,2024-01-13,scheduled,Tecnam P2012 Traveler
San Francisco,SFO,08:20,2024-01-13,"['B634', 'FI7830', 'HA2358', 'JL5892', 'SQ1544', 'TP4394']","['JetBlue Airways', 'Icelandair', 'Hawaiian Airlines', 'JAL', 'TAP Air Portugal']",C,Landed - On-time [+],23:41,2024-01-12,23:36,2024-01-12,actual,08:20,2024-01-13,08:14,2024-01-13,actual,Airbus A321
Augusta,AUG,08:27,2024-01-13,"['9K1000', 'B65110']","['Cape Air', 'JetBlue Airways']",C,Canceled [+],07:10,2024-01-13,07:10,2024-01-13,scheduled,08:27,2024-01-13,08:27,2024-01-13,scheduled,Tecnam P2012 Traveler
Atlanta,ATL,08:33,2024-01-13,"['B6896', 'EI5370', 'FI7902', 'HA2390', 'JL5491', 'TP4460']","['JetBlue Airways', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2024-01-13,05:51,2024-01-13,actual,08:33,2024-01-13,08:10,2024-01-13,actual,Embraer 190
Orlando,MCO,08:38,2024-01-13,['F93348'],['Frontier Airlines'],,Landed - On-time [+],05:30,2024-01-13,05:24,2024-01-13,actual,08:38,2024-01-13,08:07,2024-01-13,actual,Airbus A321neo
Rutland,RUT,08:38,2024-01-13,"['9K52', 'B65100']","['Cape Air', 'JetBlue Airways']",C,Canceled [+],07:20,2024-01-13,07:20,2024-01-13,scheduled,08:38,2024-01-13,08:38,2024-01-13,scheduled,Tecnam P2012 Traveler
Pittsburgh,PIT,08:43,2024-01-13,"['B61486', 'EI5223', 'FI7838', 'HA2468', 'TP4486']","['JetBlue Airways', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:50,2024-01-13,06:34,2024-01-13,actual,08:43,2024-01-13,08:05,2024-01-13,actual,Embraer 190
Martha's Vineyard,MVY,08:45,2024-01-13,"['9K3201', 'B65123']","['Cape Air', 'JetBlue Airways']",C,Canceled [+],08:05,2024-01-13,08:05,2024-01-13,scheduled,08:45,2024-01-13,08:45,2024-01-13,scheduled,Cessna (Light aircraft)
Newark,EWR,08:52,2024-01-13,"['UA3497', 'TP8512']","['United Airlines', 'TAP Air Portugal']",B,Landed - On-time [+],07:35,2024-01-13,07:30,2024-01-13,actual,08:52,2024-01-13,08:37,2024-01-13,actual,Embraer 175 (Enhanced Winglets)
Rockland,RKD,08:55,2024-01-13,"['9K1850', 'B65160']","['Cape Air', 'JetBlue Airways']",C,Canceled [+],07:35,2024-01-13,07:35,2024-01-13,scheduled,08:55,2024-01-13,08:55,2024-01-13,scheduled,Tecnam P2012 Traveler
Washington,DCA,08:58,2024-01-13,"['B61554', 'HA2408']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - On-time [+],07:30,2024-01-13,07:21,2024-01-13,actual,08:58,2024-01-13,08:41,2024-01-13,estimated,Embraer 190
Saranac Lake,SLK,08:59,2024-01-13,"['9K1026', 'B65114']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],07:25,2024-01-13,13:00,2024-01-13,actual,08:59,2024-01-13,14:35,2024-01-13,actual,Tecnam P2012 Traveler
Seoul,ICN,09:00,2024-01-13,"['KE91', 'DL7667']","['Korean Air', 'Delta Air Lines']",E,Landed - Delayed [+],09:30,2024-01-13,09:30,2024-01-13,actual,09:00,2024-01-13,09:31,2024-01-13,actual,Boeing 787-9
