Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Salt Lake City,SLC,00:03,2023-06-21,"['DL702', 'KL5238']","['Delta Air Lines', 'KLM Royal Dutch Airlines']",A,Landed - On-time [+],17:24,2023-06-20,17:21,2023-06-20,actual,00:03,2023-06-21,23:57,2023-06-20,actual,
Miami,MIA,00:06,2023-06-21,"['B61720', 'QR4188', 'TP4510']","['JetBlue Airways', 'Qatar Airways', 'TAP Air Portugal']",C,Landed - Delayed [+],20:45,2023-06-20,20:56,2023-06-20,actual,00:06,2023-06-21,00:54,2023-06-21,actual,
Miami,MIA,00:25,2023-06-21,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Canceled [+],21:03,2023-06-20,21:03,2023-06-20,scheduled,00:25,2023-06-21,00:25,2023-06-21,scheduled,
Minneapolis,MSP,00:26,2023-06-21,"['DL1246', 'AM3621', 'KE3993', 'KL5798', 'VS4242', 'WS7864']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],20:35,2023-06-20,20:32,2023-06-20,actual,00:26,2023-06-21,00:24,2023-06-21,actual,
Fort Lauderdale,FLL,00:30,2023-06-21,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:14,2023-06-20,03:27,2023-06-21,actual,00:30,2023-06-21,06:31,2023-06-21,actual,
Chicago,MDW,00:30,2023-06-21,['WN1905'],['Southwest Airlines'],B,Landed - On-time [+],21:15,2023-06-20,21:14,2023-06-20,actual,00:30,2023-06-21,00:28,2023-06-21,actual,
Detroit,DTW,00:55,2023-06-21,"['DL1279', 'AF2866', 'AM3384', 'VS3112', 'WS7224']","['Delta Air Lines', 'Air France', 'Aeromexico', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],22:59,2023-06-20,23:58,2023-06-20,actual,00:55,2023-06-21,01:41,2023-06-21,actual,
Chicago,ORD,01:00,2023-06-21,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:27,2023-06-20,21:22,2023-06-20,actual,01:00,2023-06-21,00:36,2023-06-21,actual,
San Francisco,SFO,01:04,2023-06-21,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-06-20,16:36,2023-06-20,actual,01:04,2023-06-21,01:15,2023-06-21,actual,
Atlanta,ATL,01:13,2023-06-21,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'LA5059', 'VS3634', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],22:31,2023-06-20,00:00,2023-06-21,actual,01:13,2023-06-21,02:22,2023-06-21,actual,
