Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Phoenix,PHX,00:02,2023-06-03,['AA1548'],['American Airlines'],B,Landed - Delayed [+],16:03,2023-06-02,15:59,2023-06-02,00:02,2023-06-03,00:41,2023-06-03,
Chicago,MDW,00:05,2023-06-03,['WN951'],['Southwest Airlines'],B,Landed - Delayed [+],20:55,2023-06-02,22:20,2023-06-02,00:05,2023-06-03,01:29,2023-06-03,
Fort Myers,RSW,00:08,2023-06-03,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-06-02,20:48,2023-06-03,00:08,2023-06-03,23:59,2023-06-03,
,JPX,00:09,2023-06-03,['CNS242'],['PlaneSense'],,Landed - On-time [+],03:09,2023-06-03,03:17,2023-06-03,00:09,2023-06-03,00:06,2023-06-03,
San Francisco,SFO,00:09,2023-06-03,"['B61734', 'AA9249', 'HA2224']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - Delayed [+],15:27,2023-06-02,15:23,2023-06-02,00:09,2023-06-03,00:36,2023-06-03,
Orlando,MCO,00:17,2023-06-03,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-06-02,22:02,2023-06-03,00:17,2023-06-03,01:01,2023-06-04,
Miami,MIA,00:31,2023-06-03,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - On-time [+],21:03,2023-06-02,21:02,2023-06-02,00:31,2023-06-03,00:34,2023-06-03,
Charlotte,CLT,00:38,2023-06-03,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:27,2023-06-02,22:25,2023-06-02,00:38,2023-06-03,00:44,2023-06-03,
Atlanta,ATL,00:51,2023-06-03,"['DL865', 'AM3020', 'KE3682', 'KL5056', 'LA8493', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],22:17,2023-06-02,23:04,2023-06-02,00:51,2023-06-03,01:30,2023-06-03,
Chicago,ORD,01:00,2023-06-03,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:27,2023-06-02,21:40,2023-06-02,01:00,2023-06-03,01:07,2023-06-03,
San Francisco,SFO,01:17,2023-06-03,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:28,2023-06-02,16:26,2023-06-02,01:17,2023-06-03,01:20,2023-06-03,
Denver,DEN,01:40,2023-06-03,['WN3442'],['Southwest Airlines'],B,Landed - Delayed [+],19:50,2023-06-02,20:17,2023-06-02,01:40,2023-06-03,02:14,2023-06-03,
Las Vegas,LAS,04:29,2023-06-03,['NK1165'],['Spirit Airlines'],B,Landed - Delayed [+],20:30,2023-06-02,21:02,2023-06-02,04:29,2023-06-03,05:11,2023-06-03,
San Diego,SAN,05:01,2023-06-03,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-06-02,20:40,2023-06-03,05:01,2023-06-03,05:19,2023-06-04,
San Francisco,SFO,05:07,2023-06-03,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:25,2023-06-02,20:20,2023-06-02,05:07,2023-06-03,05:20,2023-06-03,
Phoenix,PHX,05:09,2023-06-03,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:10,2023-06-02,21:08,2023-06-02,05:09,2023-06-03,05:06,2023-06-03,
Sacramento,SMF,05:38,2023-06-03,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:16,2023-06-02,21:09,2023-06-03,05:38,2023-06-03,06:00,2023-06-04,
Denver,DEN,05:40,2023-06-03,['B6294'],['JetBlue Airways'],C,Landed - Delayed [+],23:53,2023-06-02,23:47,2023-06-03,05:40,2023-06-03,05:49,2023-06-04,
Denver,DEN,05:54,2023-06-03,['UA541'],['United Airlines'],B,Landed - On-time [+],23:56,2023-06-02,23:51,2023-06-02,05:54,2023-06-03,05:43,2023-06-03,
San Francisco,SFO,05:55,2023-06-03,"['AS546', 'AA7551', 'FJ5860', 'JL5448', 'QF3670', 'SQ1386']","['Alaska Airlines', 'American Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Singapore Airlines']",B,Landed - Delayed [+],21:05,2023-06-02,21:15,2023-06-02,05:55,2023-06-03,06:24,2023-06-03,
Seattle,SEA,06:00,2023-06-03,"['AS536', 'JL6356']","['Alaska Airlines', 'JAL Japan Airlines']",B,Landed - Delayed [+],21:40,2023-06-02,21:42,2023-06-02,06:00,2023-06-03,06:24,2023-06-03,
Phoenix,PHX,06:07,2023-06-03,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:18,2023-06-02,23:14,2023-06-03,06:07,2023-06-03,07:29,2023-06-04,
Louisville,SDF,06:07,2023-06-03,['5X1014'],['UPS'],,Landed - Delayed [+],04:20,2023-06-03,04:43,2023-06-03,06:07,2023-06-03,06:35,2023-06-03,
San Jose,SJC,06:13,2023-06-03,"['B6972', 'EI5275', 'HA2192', 'TP4430']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],21:39,2023-06-02,22:44,2023-06-03,06:13,2023-06-03,07:34,2023-06-04,
Delhi,DEL,06:14,2023-06-03,"['AA293', 'B64471']","['American Airlines', 'JetBlue Airways']",V,Landed - DIVERTED [+],23:30,2023-06-02,23:32,2023-06-02,06:14,2023-06-03,05:39,2023-06-03,
Honolulu,HNL,06:20,2023-06-03,"['HA90', 'B65816']","['Hawaiian Airlines', 'JetBlue Airways']",E,Landed - Delayed [+],14:35,2023-06-02,15:28,2023-06-02,06:20,2023-06-03,07:24,2023-06-03,
Salt Lake City,SLC,06:22,2023-06-03,"['DL999', 'KE3999', 'KL5565', 'LA6293', 'VS4266']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],23:45,2023-06-02,00:14,2023-06-03,06:22,2023-06-03,07:00,2023-06-03,
Las Vegas,LAS,06:23,2023-06-03,"['B6778', 'EI5165', 'HA2178', 'TP4320']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:23,2023-06-02,22:20,2023-06-03,06:23,2023-06-03,06:34,2023-06-04,
Seattle,SEA,06:23,2023-06-03,"['B6498', 'AA9217', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:10,2023-06-02,23:42,2023-06-03,06:23,2023-06-03,08:23,2023-06-04,
Los Angeles,LAX,06:24,2023-06-03,"['DL675', 'AZ5895', 'KE7395', 'LA6321', 'VS3062']","['Delta Air Lines', 'ITA Airways', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],21:45,2023-06-02,21:41,2023-06-02,06:24,2023-06-03,06:40,2023-06-03,
Provincetown,PVC,06:35,2023-06-03,"['9K2041', 'B65134']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],06:05,2023-06-03,06:05,2023-06-03,06:35,2023-06-03,06:55,2023-06-03,Cessna (Light aircraft)
