Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Charlotte,CLT,00:04,2023-09-12,['AAL1937'],['American Airlines'],,En Route [+],22:20,2023-09-11,22:20,2023-09-11,scheduled,00:04,2023-09-12,00:04,2023-09-12,scheduled,
Chicago,MDW,00:10,2023-09-12,['WN2284'],['Southwest Airlines'],B,Landed - On-time [+],21:00,2023-09-11,21:01,2023-09-11,actual,00:10,2023-09-12,00:14,2023-09-12,actual,
New York,JFK,00:15,2023-09-12,"['B61318', 'AA9347', 'AT9510', 'EI5018', 'EY8258', 'HA2002', 'LY8609', 'QR3825', 'SQ1452', 'TP4468']","['JetBlue Airways', 'American Airlines', 'Royal Air Maroc', 'Aer Lingus', 'Etihad Airways', 'Hawaiian Airlines', 'El Al Israel Airlines', 'Qatar Airways', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:59,2023-09-11,23:41,2023-09-11,actual,00:15,2023-09-12,00:43,2023-09-12,actual,
Miami,MIA,00:18,2023-09-12,"['AA1054', 'B64059']","['American Airlines', 'JetBlue Airways']",B,Landed - On-time [+],21:00,2023-09-11,20:56,2023-09-11,actual,00:18,2023-09-12,00:10,2023-09-12,actual,Boeing 737MAX 8 Passenger
New York,JFK,00:21,2023-09-12,['B68368'],['JetBlue Airways'],,Landed - On-time [+],23:40,2023-09-11,23:22,2023-09-11,actual,00:21,2023-09-12,00:20,2023-09-12,actual,
Seattle,SEA,00:26,2023-09-12,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:55,2023-09-11,16:22,2023-09-11,actual,00:26,2023-09-12,00:32,2023-09-12,actual,
Charlotte,CLT,00:29,2023-09-12,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - Delayed [+],22:20,2023-09-11,06:52,2023-09-12,actual,00:29,2023-09-12,09:00,2023-09-12,actual,Airbus A321
Denver,DEN,00:30,2023-09-12,['WN3622'],['Southwest Airlines'],B,Landed - Delayed [+],18:40,2023-09-11,19:30,2023-09-11,actual,00:30,2023-09-12,01:07,2023-09-12,actual,
Fort Lauderdale,FLL,00:45,2023-09-12,"['B6170', 'AD7411', 'FI7986', 'HA2426']","['JetBlue Airways', 'Azul', 'Icelandair', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:40,2023-09-11,22:48,2023-09-11,actual,00:45,2023-09-12,01:44,2023-09-12,actual,
Detroit,DTW,00:48,2023-09-12,"['DL1622', 'AM3586', 'AZ5297', 'CZ1051', 'MU4540', 'VS4208', 'WS7492']","['Delta Air Lines', 'Aeromexico', 'ITA Airways', 'China Southern Airlines', 'China Eastern Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:59,2023-09-11,22:56,2023-09-11,actual,00:48,2023-09-12,00:44,2023-09-12,actual,
Chicago,ORD,00:57,2023-09-12,"['UA1897', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - Delayed [+],21:30,2023-09-11,23:07,2023-09-11,actual,00:57,2023-09-12,02:18,2023-09-12,actual,
San Francisco,SFO,00:57,2023-09-12,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-09-11,16:15,2023-09-11,actual,00:57,2023-09-12,01:04,2023-09-12,actual,
Atlanta,ATL,00:59,2023-09-12,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'WestJet']",A,Landed - On-time [+],22:28,2023-09-11,22:38,2023-09-11,actual,00:59,2023-09-12,01:00,2023-09-12,actual,
Charlotte,CLT,01:50,2023-09-12,['AAL937Q'],['American Airlines'],,Landed - Delayed [+],00:01,2023-09-12,07:08,2023-09-12,actual,01:50,2023-09-12,08:44,2023-09-12,actual,
Dallas,DFW,03:38,2023-09-12,['AAL2306'],['American Airlines'],,Landed - Delayed [+],23:19,2023-09-11,00:18,2023-09-12,actual,03:38,2023-09-12,04:21,2023-09-12,actual,
Denver,DEN,03:56,2023-09-12,['B68494'],['JetBlue Airways'],,Landed - Delayed [+],22:25,2023-09-11,23:08,2023-09-11,actual,03:56,2023-09-12,04:49,2023-09-12,actual,
Philadelphia,PHL,04:18,2023-09-12,['5X1018'],['UPS'],,Landed - Delayed [+],03:25,2023-09-12,03:56,2023-09-12,actual,04:18,2023-09-12,04:38,2023-09-12,actual,
Louisville,SDF,04:26,2023-09-12,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-09-12,02:35,2023-09-12,actual,04:26,2023-09-12,04:18,2023-09-12,actual,
San Diego,SAN,04:39,2023-09-12,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:10,2023-09-11,23:02,2023-09-11,actual,04:39,2023-09-12,07:11,2023-09-12,actual,
Phoenix,PHX,04:47,2023-09-12,['AAL2701'],['American Airlines'],,Landed - On-time [+],21:10,2023-09-11,21:21,2023-09-11,actual,04:47,2023-09-12,04:34,2023-09-12,actual,
Newark,EWR,04:55,2023-09-12,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-09-12,04:25,2023-09-12,actual,04:55,2023-09-12,04:57,2023-09-12,actual,
San Francisco,SFO,05:00,2023-09-12,"['B6734', 'AA9145', 'FI7832', 'HA2496']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines']",C,Landed - On-time [+],20:24,2023-09-11,20:18,2023-09-11,actual,05:00,2023-09-12,04:50,2023-09-12,actual,
San Francisco,SFO,05:00,2023-09-12,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Canceled [+],20:20,2023-09-11,20:20,2023-09-11,scheduled,05:00,2023-09-12,05:00,2023-09-12,scheduled,
Salt Lake City,SLC,05:00,2023-09-12,['B6248'],['JetBlue Airways'],C,Landed - Delayed [+],22:33,2023-09-11,01:24,2023-09-12,actual,05:00,2023-09-12,07:54,2023-09-12,actual,
Phoenix,PHX,05:09,2023-09-12,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:10,2023-09-11,21:07,2023-09-11,actual,05:09,2023-09-12,04:42,2023-09-12,actual,Airbus A321neo
Honolulu,HNL,05:28,2023-09-12,['HAL90'],['Hawaiian Airlines'],,Landed - On-time [+],14:15,2023-09-11,14:37,2023-09-11,actual,05:28,2023-09-12,05:29,2023-09-12,actual,
