Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Salt Lake City,SLC,00:09,2023-08-26,"['DL702', 'KL5238']","['Delta Air Lines', 'KLM Royal Dutch Airlines']",A,Landed - On-time [+],17:28,2023-08-25,17:26,2023-08-25,actual,00:09,2023-08-26,23:32,2023-08-25,actual,
Charlotte,CLT,00:14,2023-08-26,['AAL1937'],['American Airlines'],,Landed - Delayed [+],22:29,2023-08-25,23:11,2023-08-25,actual,00:14,2023-08-26,00:58,2023-08-26,actual,
Miami,MIA,00:19,2023-08-26,"['AA1054', 'B64059']","['American Airlines', 'JetBlue Airways']",B,Landed - On-time [+],21:00,2023-08-25,20:56,2023-08-25,actual,00:19,2023-08-26,00:18,2023-08-26,actual,Boeing 737MAX 8 Passenger
Minneapolis,MSP,00:21,2023-08-26,"['DL1246', 'KE3993', 'KL5800', 'WS7864']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'WestJet']",A,Landed - On-time [+],20:25,2023-08-25,20:26,2023-08-25,actual,00:21,2023-08-26,00:05,2023-08-26,actual,
Miami,MIA,00:23,2023-08-26,['NK1171'],['Spirit Airlines'],B,Landed - On-time [+],20:55,2023-08-25,20:53,2023-08-25,actual,00:23,2023-08-26,00:18,2023-08-26,actual,
Chicago,MDW,00:25,2023-08-26,['WN2802'],['Southwest Airlines'],B,Landed - Delayed [+],21:15,2023-08-25,22:48,2023-08-25,actual,00:25,2023-08-26,01:43,2023-08-26,actual,
Seattle,SEA,00:29,2023-08-26,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:55,2023-08-25,15:55,2023-08-25,actual,00:29,2023-08-26,23:58,2023-08-25,actual,
Fort Lauderdale,FLL,00:34,2023-08-26,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-08-25,21:56,2023-08-25,actual,00:34,2023-08-26,01:12,2023-08-26,actual,
Charlotte,CLT,00:39,2023-08-26,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - Delayed [+],22:29,2023-08-25,22:48,2023-08-25,actual,00:39,2023-08-26,01:01,2023-08-26,actual,Airbus A321
Chicago,ORD,00:53,2023-08-26,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - Delayed [+],21:22,2023-08-25,22:20,2023-08-25,actual,00:53,2023-08-26,01:23,2023-08-26,actual,
Bangor,BGR,00:58,2023-08-26,['LBQ790'],['Quest Diagnostics'],,Landed - On-time [+],00:00,2023-08-26,00:10,2023-08-26,actual,00:58,2023-08-26,00:53,2023-08-26,actual,
Detroit,DTW,00:59,2023-08-26,"['DL1279', 'AM3304', 'CZ1051', 'MU4540', 'VS3112', 'WS7134']","['Delta Air Lines', 'Aeromexico', 'China Southern Airlines', 'China Eastern Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],23:01,2023-08-25,23:00,2023-08-25,actual,00:59,2023-08-26,00:34,2023-08-26,actual,
San Francisco,SFO,01:04,2023-08-26,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-08-25,16:11,2023-08-25,actual,01:04,2023-08-26,00:24,2023-08-26,actual,
Atlanta,ATL,01:22,2023-08-26,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'LA8483', 'VS2377', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:41,2023-08-25,22:40,2023-08-25,actual,01:22,2023-08-26,01:12,2023-08-26,actual,
Phoenix,PHX,04:38,2023-08-26,['AAL2701'],['American Airlines'],,Landed - On-time [+],20:55,2023-08-25,21:09,2023-08-25,actual,04:38,2023-08-26,04:35,2023-08-26,actual,
