Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Los Angeles,LAX,00:17,2023-11-28,"['DL878', 'KE7525', 'MU8685']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],15:40,2023-11-27,15:40,2023-11-27,actual,00:17,2023-11-28,23:51,2023-11-27,actual,Boeing 757-200 Passenger
Miami,MIA,00:19,2023-11-28,['AA1054'],['American Airlines'],B,Landed - On-time [+],21:00,2023-11-27,20:55,2023-11-27,actual,00:19,2023-11-28,00:09,2023-11-28,actual,Boeing 737MAX 8 Passenger
Phoenix,PHX,00:21,2023-11-28,['AA567'],['American Airlines'],B,Landed - Delayed [+],17:36,2023-11-27,18:01,2023-11-27,actual,00:21,2023-11-28,00:36,2023-11-28,actual,Airbus A321
Chicago,MDW,00:25,2023-11-28,['WN2330'],['Southwest Airlines'],B,Landed - On-time [+],21:15,2023-11-27,21:16,2023-11-27,actual,00:25,2023-11-28,00:29,2023-11-28,actual,Boeing 737 Passenger
Charlotte,CLT,00:29,2023-11-28,['AA1937'],['American Airlines'],B,Landed - On-time [+],22:23,2023-11-27,22:24,2023-11-27,actual,00:29,2023-11-28,00:13,2023-11-28,actual,Airbus A321
Minneapolis,MSP,00:30,2023-11-28,"['DL1246', 'AM4118', 'KE3993', 'KL5670', 'VS4242', 'WS7864']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],20:39,2023-11-27,20:50,2023-11-27,actual,00:30,2023-11-28,00:16,2023-11-28,actual,Airbus A321
Fort Lauderdale,FLL,00:35,2023-11-28,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:30,2023-11-27,22:21,2023-11-27,actual,00:35,2023-11-28,01:27,2023-11-28,actual,Airbus A220-300 Passenger
New York,JFK,00:37,2023-11-28,['TJ816'],['Tradewind Aviation'],,Landed - Delayed [+],23:45,2023-11-27,00:20,2023-11-28,actual,00:37,2023-11-28,00:58,2023-11-28,actual,Pilatus PC-12
New York,JFK,00:49,2023-11-28,"['B61618', 'EI5014', 'LO5703', 'QR3855']","['JetBlue Airways', 'Aer Lingus', 'Qatar Airways']",C,Landed - Delayed [+],23:35,2023-11-27,00:04,2023-11-28,actual,00:49,2023-11-28,01:05,2023-11-28,actual,Airbus A220-300 Passenger
Tampa,TPA,00:51,2023-11-28,['NK3583'],['Spirit Airlines'],B,Landed - Delayed [+],21:57,2023-11-27,23:20,2023-11-27,actual,00:51,2023-11-28,01:50,2023-11-28,actual,Airbus A320
