,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Chicago,MDW,00:05,2023-05-09,['WN951'],['Southwest Airlines'],B,Landed - On-time [+],20:55,2023-05-08,21:06,2023-05-08,00:05,2023-05-09,00:12,2023-05-09,
1,Fort Myers,RSW,00:08,2023-05-09,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-08,20:51,2023-05-09,00:08,2023-05-09,23:59,2023-05-09,
2,San Francisco,SFO,00:09,2023-05-09,"['B61734', 'AA9249', 'HA2224']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],15:27,2023-05-08,15:31,2023-05-08,00:09,2023-05-09,23:47,2023-05-08,
3,Orlando,MCO,00:17,2023-05-09,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-08,21:22,2023-05-09,00:17,2023-05-09,00:40,2023-05-10,
4,Miami,MIA,00:24,2023-05-09,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:01,2023-05-08,21:03,2023-05-08,00:24,2023-05-09,00:09,2023-05-09,
5,Charlotte,CLT,00:44,2023-05-09,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:33,2023-05-08,22:45,2023-05-08,00:44,2023-05-09,00:42,2023-05-09,
6,Atlanta,ATL,00:51,2023-05-09,"['DL865', 'AM3020', 'KE3682', 'KL5056', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:17,2023-05-08,22:22,2023-05-08,00:51,2023-05-09,00:41,2023-05-09,
7,Chicago,ORD,01:00,2023-05-09,"['UA1503', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:36,2023-05-08,21:30,2023-05-08,01:00,2023-05-09,00:43,2023-05-09,
8,Denver,DEN,01:40,2023-05-09,['WN3442'],['Southwest Airlines'],B,Landed - On-time [+],19:50,2023-05-08,19:46,2023-05-08,01:40,2023-05-09,01:21,2023-05-09,
9,Louisville,SDF,04:26,2023-05-09,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-05-09,02:42,2023-05-09,04:26,2023-05-09,04:21,2023-05-09,
10,Las Vegas,LAS,04:29,2023-05-09,['NK1165'],['Spirit Airlines'],B,Landed - On-time [+],20:30,2023-05-08,20:24,2023-05-08,04:29,2023-05-09,04:07,2023-05-09,
11,Philadelphia,PHL,04:29,2023-05-09,['5X1018'],['UPS'],,Landed - On-time [+],03:36,2023-05-09,03:48,2023-05-09,04:29,2023-05-09,04:37,2023-05-09,
12,Newark,EWR,04:55,2023-05-09,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-05-09,03:54,2023-05-09,04:55,2023-05-09,04:27,2023-05-09,
13,San Francisco,SFO,04:59,2023-05-09,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:15,2023-05-08,20:02,2023-05-08,04:59,2023-05-09,04:18,2023-05-09,
14,San Diego,SAN,05:01,2023-05-09,"['B62120', 'JL5887']","['JetBlue Airways', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-05-08,20:23,2023-05-09,05:01,2023-05-09,04:55,2023-05-10,
15,Los Angeles,LAX,05:18,2023-05-09,"['AA2453', 'B64139', 'BA4746', 'FJ5005', 'JL7525', 'QF3013', 'TN1244']","['American Airlines', 'JetBlue Airways', 'British Airways', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Air Tahiti Nui']",B,Landed - On-time [+],20:45,2023-05-08,20:59,2023-05-08,05:18,2023-05-09,05:07,2023-05-09,
16,Sacramento,SMF,05:38,2023-05-09,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:16,2023-05-08,21:47,2023-05-09,05:38,2023-05-09,05:52,2023-05-10,
17,Denver,DEN,05:40,2023-05-09,['B6294'],['JetBlue Airways'],C,Landed - Delayed [+],23:53,2023-05-08,23:45,2023-05-09,05:40,2023-05-09,05:23,2023-05-10,
18,Phoenix,PHX,05:40,2023-05-09,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:45,2023-05-08,22:20,2023-05-08,05:40,2023-05-09,05:49,2023-05-09,
19,Seattle,SEA,05:43,2023-05-09,"['AS536', 'JL6356']","['Alaska Airlines', 'JAL Japan Airlines']",B,Landed - On-time [+],21:25,2023-05-08,21:27,2023-05-08,05:43,2023-05-09,05:48,2023-05-09,
20,Louisville,SDF,05:45,2023-05-09,['5X1014'],['UPS'],,En Route [+],03:54,2023-05-09,,,05:45,2023-05-09,,,
21,Tel Aviv-Yafo,TLV,05:45,2023-05-09,['LY15'],['El Al Israel Airlines'],E,Landed - On-time [+],01:05,2023-05-09,01:08,2023-05-09,05:45,2023-05-09,05:37,2023-05-09,
22,Denver,DEN,05:58,2023-05-09,['UA541'],['United Airlines'],B,Landed - On-time [+],23:59,2023-05-08,23:51,2023-05-08,05:58,2023-05-09,05:32,2023-05-09,
23,Memphis,MEM,06:05,2023-05-09,['FX1406'],['FedEx'],,Landed - Delayed [+],02:36,2023-05-09,03:32,2023-05-09,06:05,2023-05-09,06:43,2023-05-09,
24,Indianapolis,IND,06:07,2023-05-09,['FX1710'],['FedEx'],,Landed - Delayed [+],04:15,2023-05-09,05:16,2023-05-09,06:07,2023-05-09,06:53,2023-05-09,
