Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Fort Lauderdale,FLL,00:04,2023-11-19,"['B6170', 'AD7411', 'FI7986', 'HA2426']","['JetBlue Airways', 'Icelandair', 'Hawaiian Airlines']",C,Landed - On-time [+],20:57,2023-11-18,20:58,2023-11-18,actual,00:04,2023-11-19,23:57,2023-11-18,actual,Airbus A220-300 Passenger
Miami,MIA,00:19,2023-11-19,"['AA1054', 'G36162']",['American Airlines'],B,Landed - Delayed [+],21:00,2023-11-18,21:33,2023-11-18,actual,00:19,2023-11-19,00:54,2023-11-19,actual,Boeing 737MAX 8 Passenger
Phoenix,PHX,00:21,2023-11-19,['AA567'],['American Airlines'],B,Landed - On-time [+],17:36,2023-11-18,17:34,2023-11-18,actual,00:21,2023-11-19,00:02,2023-11-19,actual,Airbus A321
Charlotte,CLT,00:29,2023-11-19,['AA1937'],['American Airlines'],B,Landed - Delayed [+],22:23,2023-11-18,22:38,2023-11-18,actual,00:29,2023-11-19,00:49,2023-11-19,actual,Airbus A321
Minneapolis,MSP,00:30,2023-11-19,"['DL1246', 'AM4118', 'KE3993', 'KL5670', 'VS4242', 'WS7252']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],20:39,2023-11-18,20:29,2023-11-18,actual,00:30,2023-11-19,23:58,2023-11-18,actual,Airbus A321
Tampa,TPA,00:43,2023-11-19,['NK3583'],['Spirit Airlines'],B,Landed - On-time [+],21:45,2023-11-18,21:55,2023-11-18,actual,00:43,2023-11-19,00:52,2023-11-19,actual,Airbus A320
New York,JFK,00:49,2023-11-19,"['B61618', 'AT9512', 'EI5014', 'HA2078', 'LO5703', 'QR3855']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'Qatar Airways']",C,Landed - On-time [+],23:35,2023-11-18,23:31,2023-11-18,actual,00:49,2023-11-19,00:39,2023-11-19,actual,Airbus A220-300 Passenger
Orlando,MCO,00:49,2023-11-19,"['B61952', 'AD7669', 'FI7816', 'HA2442', 'JL5489']","['JetBlue Airways', 'Icelandair', 'Hawaiian Airlines', 'JAL']",C,Landed - On-time [+],21:55,2023-11-18,22:07,2023-11-18,actual,00:49,2023-11-19,00:55,2023-11-19,actual,Airbus A320
Atlanta,ATL,00:59,2023-11-19,"['DL865', 'AM4188', 'KE3682', 'KL6648', 'LA8480', 'VS4220', 'WS6383']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],22:25,2023-11-18,22:24,2023-11-18,actual,00:59,2023-11-19,00:49,2023-11-19,actual,Airbus A321
Cincinnati,CVG,04:26,2023-11-19,['CSB325'],['21 Air'],,Landed - Delayed [+],02:40,2023-11-19,03:28,2023-11-19,actual,04:26,2023-11-19,04:58,2023-11-19,actual,Boeing 767-300 Passenger
