,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Chicago,MDW,00:05,2023-04-18,['WN951'],['Southwest Airlines'],B,Landed - Delayed [+],20:55,2023-04-17,22:51,2023-04-17,00:05,2023-04-18,02:01,2023-04-18,
1,Tampa,TPA,00:08,2023-04-18,['DL1439'],['Delta Air Lines'],A,Landed - On-time [+],21:04,2023-04-17,21:29,2023-04-17,00:08,2023-04-18,00:14,2023-04-18,
2,Seattle,SEA,00:10,2023-04-18,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:50,2023-04-17,15:38,2023-04-17,00:10,2023-04-18,23:44,2023-04-17,
3,Fort Myers,RSW,00:14,2023-04-18,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:05,2023-04-17,21:46,2023-04-17,00:14,2023-04-18,00:13,2023-04-19,
4,New York,JFK,00:19,2023-04-18,"['B61318', 'AA9347', 'AT9510', 'EI5018', 'HA2000', 'QR3825', 'TP4304']","['JetBlue Airways', 'American Airlines', 'Royal Air Maroc', 'Aer Lingus', 'Hawaiian Airlines', 'Qatar Airways', 'TAP Air Portugal']",C,Landed - Delayed [+],22:55,2023-04-17,22:48,2023-04-18,00:19,2023-04-18,23:56,2023-04-18,
5,West Palm Beach,PBI,00:19,2023-04-18,"['B6622', 'HA2456']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-04-17,21:44,2023-04-17,00:19,2023-04-18,00:35,2023-04-18,
6,Miami,MIA,00:21,2023-04-18,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:00,2023-04-17,20:57,2023-04-17,00:21,2023-04-18,00:02,2023-04-18,
7,Orlando,MCO,00:27,2023-04-18,"['B61952', 'AD7669', 'HA2442']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:30,2023-04-17,23:07,2023-04-17,00:27,2023-04-18,00:17,2023-04-19,
8,Fort Lauderdale,FLL,00:32,2023-04-18,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-04-17,22:59,2023-04-18,00:32,2023-04-18,01:40,2023-04-19,
9,Charlotte,CLT,00:34,2023-04-18,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:28,2023-04-17,22:25,2023-04-17,00:34,2023-04-18,00:11,2023-04-18,
10,Chicago,ORD,00:43,2023-04-18,"['UA1503', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:20,2023-04-17,21:16,2023-04-17,00:43,2023-04-18,00:18,2023-04-18,
11,Fort Lauderdale,FLL,00:56,2023-04-18,['NK616'],['Spirit Airlines'],B,Landed - Delayed [+],21:41,2023-04-17,01:13,2023-04-18,00:56,2023-04-18,03:58,2023-04-18,
12,Atlanta,ATL,00:59,2023-04-18,"['DL865', 'AM3183', 'KE3682', 'KL5111', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:25,2023-04-17,22:37,2023-04-17,00:59,2023-04-18,01:03,2023-04-18,
13,Denver,DEN,01:40,2023-04-18,['WN3442'],['Southwest Airlines'],B,Landed - On-time [+],19:50,2023-04-17,19:59,2023-04-17,01:40,2023-04-18,01:33,2023-04-18,
14,Louisville,SDF,04:26,2023-04-18,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2023-04-18,02:40,2023-04-18,04:26,2023-04-18,04:22,2023-04-18,
