Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Salt Lake City,SLC,00:09,2023-08-21,"['DL702', 'KL5238']","['Delta Air Lines', 'KLM Royal Dutch Airlines']",A,Landed - On-time [+],17:28,2023-08-20,17:23,2023-08-20,actual,00:09,2023-08-21,00:00,2023-08-21,actual,
Miami,MIA,00:19,2023-08-21,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - Delayed [+],21:00,2023-08-20,21:46,2023-08-20,actual,00:19,2023-08-21,00:58,2023-08-21,actual,
Minneapolis,MSP,00:21,2023-08-21,"['DL1246', 'KE3993', 'KL5800', 'WS7864']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'WestJet']",A,Landed - On-time [+],20:25,2023-08-20,20:22,2023-08-20,actual,00:21,2023-08-21,23:59,2023-08-20,actual,
Miami,MIA,00:23,2023-08-21,['NK1171'],['Spirit Airlines'],B,Landed - On-time [+],20:55,2023-08-20,21:06,2023-08-20,actual,00:23,2023-08-21,00:23,2023-08-21,actual,
Chicago,MDW,00:25,2023-08-21,['WN2802'],['Southwest Airlines'],B,Landed - Delayed [+],21:15,2023-08-20,21:35,2023-08-20,actual,00:25,2023-08-21,01:50,2023-08-21,actual,
Seattle,SEA,00:29,2023-08-21,"['DL770', 'KE3009', 'MU4546', 'VS1732']","['Delta Air Lines', 'Korean Air', 'China Eastern Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],15:55,2023-08-20,15:55,2023-08-20,actual,00:29,2023-08-21,23:53,2023-08-20,actual,
Fort Lauderdale,FLL,00:34,2023-08-21,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-08-20,22:07,2023-08-20,actual,00:34,2023-08-21,01:22,2023-08-21,actual,
Charlotte,CLT,00:39,2023-08-21,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:29,2023-08-20,22:26,2023-08-20,actual,00:39,2023-08-21,00:28,2023-08-21,actual,
Detroit,DTW,00:59,2023-08-21,"['DL1279', 'AM3304', 'VS3112', 'WS7224']","['Delta Air Lines', 'Aeromexico', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],23:01,2023-08-20,22:58,2023-08-20,actual,00:59,2023-08-21,00:40,2023-08-21,actual,
Chicago,ORD,00:59,2023-08-21,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:26,2023-08-20,21:30,2023-08-20,actual,00:59,2023-08-21,00:47,2023-08-21,actual,
