Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Dallas,DFW,00:15,2024-02-24,['DL315'],['Delta Air Lines'],A,Landed - On-time [+],19:41,"February 23, 2024",19:58,"February 23, 2024",actual,00:15,"February 24, 2024",00:26,"February 24, 2024",actual,Airbus A220-100 Passenger
Orlando,MCO,00:24,2024-02-24,['NK3954'],['Spirit Airlines'],B,Landed - On-time [+],21:18,"February 23, 2024",21:44,"February 23, 2024",actual,00:24,"February 24, 2024",00:29,"February 24, 2024",actual,Airbus A320neo
Miami,MIA,00:27,2024-02-24,['AA1054'],['American Airlines'],B,Landed - On-time [+],21:08,"February 23, 2024",21:14,"February 23, 2024",actual,00:27,"February 24, 2024",00:32,"February 24, 2024",actual,Boeing 737MAX 8 Passenger
Orlando,MCO,00:36,2024-02-24,['B6652'],['JetBlue Airways'],C,Landed - On-time [+],21:35,"February 23, 2024",21:33,"February 23, 2024",actual,00:36,"February 24, 2024",00:28,"February 24, 2024",actual,Airbus A321
Charlotte,CLT,00:44,2024-02-24,['AA1937'],['American Airlines'],B,Landed - On-time [+],22:35,"February 23, 2024",22:35,"February 23, 2024",actual,00:44,"February 24, 2024",00:32,"February 24, 2024",actual,Boeing 737-800 Passenger
Atlanta,ATL,00:57,2024-02-24,['DL865'],['Delta Air Lines'],A,Landed - Delayed [+],22:25,"February 23, 2024",22:48,"February 23, 2024",actual,00:57,"February 24, 2024",01:12,"February 24, 2024",actual,Airbus A321neo
Salt Lake City,SLC,04:50,2024-02-24,['B6648'],['JetBlue Airways'],C,Landed - Delayed [+],22:28,"February 23, 2024",22:46,"February 23, 2024",actual,04:50,"February 24, 2024",05:17,"February 24, 2024",actual,Airbus A320
San Diego,SAN,05:00,2024-02-24,['B62120'],['JetBlue Airways'],C,Landed - On-time [+],20:39,"February 23, 2024",20:24,"February 23, 2024",actual,05:00,"February 24, 2024",04:34,"February 24, 2024",actual,Airbus A321
Denver,DEN,05:02,2024-02-24,['B6394'],['JetBlue Airways'],C,Landed - On-time [+],23:19,"February 23, 2024",23:15,"February 23, 2024",actual,05:02,"February 24, 2024",04:59,"February 24, 2024",actual,Airbus A321
San Francisco,SFO,05:02,2024-02-24,['B6334'],['JetBlue Airways'],C,Landed - On-time [+],20:27,"February 23, 2024",20:19,"February 23, 2024",actual,05:02,"February 24, 2024",04:49,"February 24, 2024",actual,Airbus A321
Phoenix,PHX,05:32,2024-02-24,['AA2701'],['American Airlines'],B,Landed - On-time [+],23:01,"February 23, 2024",22:56,"February 23, 2024",actual,05:32,"February 24, 2024",05:39,"February 24, 2024",actual,Airbus A321neo
Seattle,SEA,05:43,2024-02-24,['AS536'],['Alaska Airlines'],B,Landed - Delayed [+],21:32,"February 23, 2024",22:14,"February 23, 2024",actual,05:43,"February 24, 2024",06:23,"February 24, 2024",actual,Boeing 737-900 Passenger
Las Vegas,LAS,05:50,2024-02-24,['DL484'],['Delta Air Lines'],A,Landed - On-time [+],21:45,"February 23, 2024",21:33,"February 23, 2024",actual,05:50,"February 24, 2024",05:28,"February 24, 2024",actual,Airbus A321neo
Honolulu,HNL,06:00,2024-02-24,['HA90'],['Hawaiian Airlines'],E,Landed - On-time [+],15:20,"February 23, 2024",15:14,"February 23, 2024",actual,06:00,"February 24, 2024",05:23,"February 24, 2024",actual,Airbus A330-200
Phoenix,PHX,06:05,2024-02-24,['DL979'],['Delta Air Lines'],A,Landed - On-time [+],23:20,"February 23, 2024",23:26,"February 23, 2024",actual,06:05,"February 24, 2024",06:05,"February 24, 2024",actual,Airbus A321neo
Louisville,SDF,06:05,2024-02-24,['5X1014'],['UPS'],,Landed - On-time [+],04:20,"February 24, 2024",04:33,"February 24, 2024",actual,06:05,"February 24, 2024",06:17,"February 24, 2024",actual,Boeing 767-300 Passenger
Seattle,SEA,06:14,2024-02-24,['B6498'],['JetBlue Airways'],C,Landed - On-time [+],22:02,"February 23, 2024",21:53,"February 23, 2024",actual,06:14,"February 24, 2024",06:08,"February 24, 2024",actual,Airbus A321
Seattle,SEA,06:18,2024-02-24,['DL2733'],['Delta Air Lines'],A,Landed - On-time [+],21:50,"February 23, 2024",22:15,"February 23, 2024",actual,06:18,"February 24, 2024",06:31,"February 24, 2024",actual,Airbus A321neo
Los Angeles,LAX,06:20,2024-02-24,['DL568'],['Delta Air Lines'],A,Landed - On-time [+],21:45,"February 23, 2024",21:41,"February 23, 2024",actual,06:20,"February 24, 2024",05:55,"February 24, 2024",actual,Boeing 757-200 Passenger
Los Angeles,LAX,06:24,2024-02-24,['AA2453'],['American Airlines'],B,Landed - On-time [+],22:12,"February 23, 2024",22:07,"February 23, 2024",actual,06:24,"February 24, 2024",06:29,"February 24, 2024",actual,Airbus A321
Phoenix,PHX,06:35,2024-02-24,['B61302'],['JetBlue Airways'],C,Landed - Delayed [+],23:59,"February 23, 2024",00:23,2024-02-24,actual,06:35,"February 24, 2024",06:55,"February 24, 2024",actual,Airbus A320
San Diego,SAN,06:38,2024-02-24,['DL486'],['Delta Air Lines'],A,Landed - On-time [+],22:10,"February 23, 2024",22:10,"February 23, 2024",actual,06:38,"February 24, 2024",06:23,"February 24, 2024",actual,Airbus A321neo
Memphis,MEM,06:40,2024-02-24,['FX1406'],['FedEx'],,Landed - On-time [+],03:18,"February 24, 2024",03:39,"February 24, 2024",actual,06:40,"February 24, 2024",06:53,"February 24, 2024",actual,Boeing 767-300 Passenger
Syracuse,SYR,06:40,2024-02-24,['B6374'],['JetBlue Airways'],C,Landed - On-time [+],05:25,"February 24, 2024",05:28,"February 24, 2024",actual,06:40,"February 24, 2024",06:31,"February 24, 2024",actual,Embraer 190
San Francisco,SFO,06:59,2024-02-24,['DL475'],['Delta Air Lines'],A,Landed - On-time [+],22:15,"February 23, 2024",22:10,"February 23, 2024",actual,06:59,"February 24, 2024",07:07,"February 24, 2024",actual,Airbus A321neo
Santiago,STI,07:10,2024-02-24,['B61924'],['JetBlue Airways'],E,Landed - Delayed [+],04:02,"February 24, 2024",04:31,"February 24, 2024",actual,07:10,"February 24, 2024",07:41,"February 24, 2024",actual,Airbus A320
Los Angeles,LAX,07:12,2024-02-24,['UA2106'],['United Airlines'],B,Landed - On-time [+],22:48,"February 23, 2024",22:40,"February 23, 2024",actual,07:12,"February 24, 2024",06:47,"February 24, 2024",actual,Boeing 757-200 Passenger
San Juan,SJU,07:16,2024-02-24,['B6562'],['JetBlue Airways'],C,Landed - Delayed [+],04:00,"February 24, 2024",04:53,"February 24, 2024",actual,07:16,"February 24, 2024",07:32,"February 24, 2024",actual,Airbus A321
New York,JFK,07:20,2024-02-24,['DL5653'],['Delta Air Lines'],A,Landed - On-time [+],06:00,"February 24, 2024",05:53,"February 24, 2024",actual,07:20,"February 24, 2024",07:07,"February 24, 2024",actual,Embraer 175
Philadelphia,PHL,07:22,2024-02-24,['F92168'],['Frontier Airlines'],E,Landed - On-time [+],06:00,"February 24, 2024",05:52,"February 24, 2024",actual,07:22,"February 24, 2024",07:03,"February 24, 2024",actual,Airbus A320neo
Bar Harbor,BHB,07:25,2024-02-24,['9K1830'],['Cape Air'],C,Landed - On-time [+],06:00,"February 24, 2024",05:55,"February 24, 2024",actual,07:25,"February 24, 2024",07:20,"February 24, 2024",actual,Cessna (Light aircraft)
Philadelphia,PHL,07:25,2024-02-24,['B61560'],['JetBlue Airways'],C,Landed - On-time [+],06:05,"February 24, 2024",05:59,"February 24, 2024",actual,07:25,"February 24, 2024",07:09,"February 24, 2024",actual,Embraer 190
Buffalo,BUF,07:27,2024-02-24,['B6716'],['JetBlue Airways'],C,Landed - On-time [+],06:00,"February 24, 2024",05:53,"February 24, 2024",actual,07:27,"February 24, 2024",07:09,"February 24, 2024",actual,Embraer 190
Santo Domingo,SDQ,07:35,2024-02-24,['B61930'],['JetBlue Airways'],E,Landed - Delayed [+],04:20,"February 24, 2024",06:52,"February 24, 2024",actual,07:35,"February 24, 2024",10:11,"February 24, 2024",actual,Airbus A321
Nantucket,ACK,07:48,2024-02-24,['9K5001'],['Cape Air'],C,Landed - Delayed [+],07:00,"February 24, 2024",07:20,"February 24, 2024",actual,07:48,"February 24, 2024",08:10,"February 24, 2024",actual,Cessna (Light aircraft)
Las Vegas,LAS,07:52,2024-02-24,['B6778'],['JetBlue Airways'],C,Landed - On-time [+],23:57,"February 23, 2024",23:50,"February 23, 2024",actual,07:52,"February 24, 2024",07:40,"February 24, 2024",actual,Airbus A321
Washington,DCA,08:01,2024-02-24,['B6254'],['JetBlue Airways'],C,Landed - On-time [+],06:30,"February 24, 2024",06:22,"February 24, 2024",actual,08:01,"February 24, 2024",07:40,"February 24, 2024",actual,Embraer 190
Provincetown,PVC,08:05,2024-02-24,['9K4201'],['Cape Air'],C,Landed - DIVERTED [+],07:35,"February 24, 2024",07:35,"February 24, 2024",actual,08:05,"February 24, 2024",07:50,"February 24, 2024",actual,Cessna (Light aircraft)
San Francisco,SFO,08:06,2024-02-24,['UA1665'],['United Airlines'],B,Landed - On-time [+],23:25,"February 23, 2024",23:26,"February 23, 2024",actual,08:06,"February 24, 2024",07:57,"February 24, 2024",actual,Boeing 757-200 Passenger
Washington,DCA,08:10,2024-02-24,['DL5751'],['Delta Air Lines'],A,Landed - On-time [+],06:30,"February 24, 2024",06:22,"February 24, 2024",actual,08:10,"February 24, 2024",07:44,"February 24, 2024",actual,Embraer 175
