Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Charlotte,CLT,00:04,2023-09-16,['AAL1937'],['American Airlines'],,Landed - On-time [+],22:20,2023-09-15,22:26,2023-09-15,actual,00:04,2023-09-16,00:05,2023-09-16,actual,
Chicago,MDW,00:10,2023-09-16,['WN2284'],['Southwest Airlines'],B,Landed - Delayed [+],21:00,2023-09-15,21:44,2023-09-15,actual,00:10,2023-09-16,01:06,2023-09-16,actual,
New York,JFK,00:15,2023-09-16,"['B61318', 'AA9347', 'AT9510', 'EI5018', 'EY8258', 'HA2004', 'JU8515', 'QR3825', 'SQ1452', 'TP4468']","['JetBlue Airways', 'American Airlines', 'Royal Air Maroc', 'Aer Lingus', 'Etihad Airways', 'Hawaiian Airlines', 'Air Serbia', 'Qatar Airways', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],22:59,2023-09-15,23:08,2023-09-15,actual,00:15,2023-09-16,00:13,2023-09-16,actual,
Miami,MIA,00:18,2023-09-16,"['AA1054', 'B64059']","['American Airlines', 'JetBlue Airways']",B,Landed - Delayed [+],21:00,2023-09-15,21:23,2023-09-15,actual,00:18,2023-09-16,00:33,2023-09-16,actual,Boeing 737MAX 8 Passenger
Seattle,SEA,00:26,2023-09-16,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - Delayed [+],15:55,2023-09-15,16:53,2023-09-15,actual,00:26,2023-09-16,01:16,2023-09-16,actual,
Charlotte,CLT,00:29,2023-09-16,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:20,2023-09-15,22:14,2023-09-15,actual,00:29,2023-09-16,00:14,2023-09-16,actual,Airbus A321
Denver,DEN,00:30,2023-09-16,['WN3622'],['Southwest Airlines'],B,Landed - Delayed [+],18:40,2023-09-15,19:35,2023-09-15,actual,00:30,2023-09-16,01:21,2023-09-16,actual,
Fort Lauderdale,FLL,00:45,2023-09-16,"['B6170', 'AD7411', 'FI7986', 'HA2426']","['JetBlue Airways', 'Azul', 'Icelandair', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:40,2023-09-15,22:37,2023-09-15,actual,00:45,2023-09-16,01:42,2023-09-16,actual,
Washington,DCA,00:46,2023-09-16,['AAL2120'],['American Airlines'],,Landed - Delayed [+],23:30,2023-09-15,00:05,2023-09-16,actual,00:46,2023-09-16,01:07,2023-09-16,actual,
Detroit,DTW,00:48,2023-09-16,"['DL1622', 'AM3586', 'AZ5297', 'CZ1051', 'MU4540', 'VS4208', 'WS7492']","['Delta Air Lines', 'Aeromexico', 'ITA Airways', 'China Southern Airlines', 'China Eastern Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:59,2023-09-15,22:51,2023-09-15,actual,00:48,2023-09-16,00:46,2023-09-16,actual,
Chicago,ORD,00:57,2023-09-16,"['UA1897', 'NH7478', 'NZ2091']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand']",B,Landed - On-time [+],21:30,2023-09-15,21:29,2023-09-15,actual,00:57,2023-09-16,01:01,2023-09-16,actual,
San Francisco,SFO,00:57,2023-09-16,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-09-15,16:16,2023-09-15,actual,00:57,2023-09-16,00:47,2023-09-16,actual,
Atlanta,ATL,00:59,2023-09-16,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'WestJet']",A,Landed - On-time [+],22:28,2023-09-15,22:28,2023-09-15,actual,00:59,2023-09-16,00:51,2023-09-16,actual,
Miami,MIA,01:07,2023-09-16,['NK1171'],['Spirit Airlines'],B,Landed - On-time [+],21:40,2023-09-15,21:33,2023-09-15,actual,01:07,2023-09-16,00:53,2023-09-16,actual,
Portland,PWM,01:58,2023-09-16,['GAJ855'],['Gama Aviation Signature'],,Landed - Delayed [+],01:29,2023-09-16,02:18,2023-09-16,actual,01:58,2023-09-16,02:46,2023-09-16,actual,
San Diego,SAN,04:39,2023-09-16,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:10,2023-09-15,22:36,2023-09-15,actual,04:39,2023-09-16,06:51,2023-09-16,actual,
Phoenix,PHX,04:47,2023-09-16,['AAL2701'],['American Airlines'],,Landed - On-time [+],21:10,2023-09-15,21:27,2023-09-15,actual,04:47,2023-09-16,04:47,2023-09-16,actual,
San Francisco,SFO,05:00,2023-09-16,"['B6734', 'AA9145', 'FI7832', 'HA2496']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines']",C,Landed - On-time [+],20:24,2023-09-15,20:17,2023-09-15,actual,05:00,2023-09-16,05:14,2023-09-16,actual,
San Francisco,SFO,05:00,2023-09-16,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:20,2023-09-15,20:10,2023-09-15,actual,05:00,2023-09-16,04:52,2023-09-16,actual,
Salt Lake City,SLC,05:00,2023-09-16,['B6248'],['JetBlue Airways'],C,Landed - On-time [+],22:33,2023-09-15,22:24,2023-09-15,actual,05:00,2023-09-16,04:49,2023-09-16,actual,
