,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Fort Myers,RSW,00:08,2023-05-14,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-13,00:11,2023-05-15,00:08,2023-05-14,02:58,2023-05-15,
1,Orlando,MCO,00:17,2023-05-14,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-13,23:07,2023-05-14,00:17,2023-05-14,01:50,2023-05-15,
2,Miami,MIA,00:24,2023-05-14,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:01,2023-05-13,21:05,2023-05-13,00:24,2023-05-14,00:15,2023-05-14,
3,Denver,DEN,00:35,2023-05-14,['WN3442'],['Southwest Airlines'],B,Landed - On-time [+],18:45,2023-05-13,18:43,2023-05-13,00:35,2023-05-14,00:19,2023-05-14,
4,Charlotte,CLT,00:44,2023-05-14,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - Delayed [+],22:33,2023-05-13,22:51,2023-05-13,00:44,2023-05-14,01:30,2023-05-14,
5,Atlanta,ATL,00:51,2023-05-14,"['DL865', 'AM3209', 'KE3682', 'KL5056', 'LA5055', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:17,2023-05-13,22:16,2023-05-13,00:51,2023-05-14,00:51,2023-05-14,
6,Cincinnati,CVG,04:03,2023-05-14,['SWQ325'],['Swift Air'],,Landed - On-time [+],02:10,2023-05-14,02:08,2023-05-14,04:03,2023-05-14,03:45,2023-05-14,
7,Las Vegas,LAS,04:29,2023-05-14,['NK1165'],['Spirit Airlines'],B,Landed - On-time [+],20:30,2023-05-13,20:26,2023-05-13,04:29,2023-05-14,04:11,2023-05-14,
8,San Francisco,SFO,04:59,2023-05-14,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:15,2023-05-13,20:14,2023-05-13,04:59,2023-05-14,04:35,2023-05-14,
9,San Diego,SAN,05:01,2023-05-14,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-05-13,20:24,2023-05-14,05:01,2023-05-14,04:44,2023-05-15,
10,Sacramento,SMF,05:38,2023-05-14,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:16,2023-05-13,21:16,2023-05-14,05:38,2023-05-14,05:28,2023-05-15,
11,Phoenix,PHX,05:39,2023-05-14,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:45,2023-05-13,21:35,2023-05-13,05:39,2023-05-14,05:26,2023-05-14,
12,Denver,DEN,05:40,2023-05-14,"['B6294', 'FI7886']","['JetBlue Airways', 'Icelandair']",C,Landed - Delayed [+],23:53,2023-05-13,00:32,2023-05-15,05:40,2023-05-14,06:11,2023-05-15,
13,Tel Aviv-Yafo,TLV,05:45,2023-05-14,['LY15'],['El Al Israel Airlines'],E,Landed - On-time [+],01:05,2023-05-14,01:07,2023-05-14,05:45,2023-05-14,05:30,2023-05-14,
14,Denver,DEN,05:58,2023-05-14,['UA541'],['United Airlines'],B,Landed - On-time [+],23:59,2023-05-13,23:58,2023-05-13,05:58,2023-05-14,05:45,2023-05-14,
15,Phoenix,PHX,06:07,2023-05-14,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:18,2023-05-13,22:21,2023-05-14,06:07,2023-05-14,06:05,2023-05-15,
16,San Jose,SJC,06:13,2023-05-14,"['B6972', 'EI5275', 'HA2192', 'TP4430']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],21:39,2023-05-13,21:34,2023-05-14,06:13,2023-05-14,05:58,2023-05-15,
17,Salt Lake City,SLC,06:22,2023-05-14,"['DL999', 'KE3999', 'VS4266']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],23:45,2023-05-13,23:45,2023-05-13,06:22,2023-05-14,06:06,2023-05-14,
18,Las Vegas,LAS,06:23,2023-05-14,"['B6778', 'EI5165', 'HA2178', 'TP4318']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:23,2023-05-13,22:18,2023-05-14,06:23,2023-05-14,06:32,2023-05-15,
19,Seattle,SEA,06:23,2023-05-14,"['B6498', 'AA9217', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:10,2023-05-13,22:06,2023-05-14,06:23,2023-05-14,06:50,2023-05-15,
20,Los Angeles,LAX,06:30,2023-05-14,"['B6622', 'AA9118', 'HA2184']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - Delayed [+],22:05,2023-05-13,23:56,2023-05-13,06:30,2023-05-14,08:38,2023-05-14,
21,Buffalo,BUF,06:40,2023-05-14,"['DL1211', 'KE6735']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],05:08,2023-05-14,05:04,2023-05-14,06:40,2023-05-14,06:23,2023-05-14,
