Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Chicago,MDW,00:05,2023-09-28,['WN2284'],['Southwest Airlines'],B,Landed - On-time [+],20:55,2023-09-27,20:56,2023-09-27,actual,00:05,2023-09-28,00:06,2023-09-28,actual,
New York,JFK,00:15,2023-09-28,"['B61318', 'AA9347', 'AT9510', 'EI5018', 'EY8258', 'HA2002', 'QR3825', 'SQ1452', 'TP4468']","['JetBlue Airways', 'American Airlines', 'Royal Air Maroc', 'Aer Lingus', 'Etihad Airways', 'Hawaiian Airlines', 'Qatar Airways', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],22:59,2023-09-27,22:52,2023-09-27,actual,00:15,2023-09-28,23:54,2023-09-27,actual,
Miami,MIA,00:18,2023-09-28,"['AA1054', 'B64059']","['American Airlines', 'JetBlue Airways']",B,Landed - On-time [+],21:00,2023-09-27,21:26,2023-09-27,actual,00:18,2023-09-28,00:28,2023-09-28,actual,
Detroit,DTW,00:31,2023-09-28,['B68350'],['JetBlue Airways'],,Landed - Delayed [+],22:50,2023-09-27,23:07,2023-09-27,actual,00:31,2023-09-28,01:01,2023-09-28,actual,
Denver,DEN,00:35,2023-09-28,['WN3622'],['Southwest Airlines'],B,Landed - On-time [+],18:45,2023-09-27,18:57,2023-09-27,actual,00:35,2023-09-28,00:44,2023-09-28,actual,
Fort Lauderdale,FLL,00:45,2023-09-28,"['B6170', 'AD7411', 'FI7986', 'HA2426']","['JetBlue Airways', 'Azul', 'Icelandair', 'Hawaiian Airlines']",C,Landed - On-time [+],21:40,2023-09-27,21:35,2023-09-27,actual,00:45,2023-09-28,00:39,2023-09-28,actual,
Detroit,DTW,00:48,2023-09-28,"['DL1622', 'AM3586', 'AZ5297', 'VS4208', 'WS6745']","['Delta Air Lines', 'Aeromexico', 'ITA Airways', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:59,2023-09-27,23:01,2023-09-27,actual,00:48,2023-09-28,00:50,2023-09-28,actual,
Salt Lake City,SLC,00:56,2023-09-28,['EDG508'],['Jet Edge'],,Landed - On-time [+],18:30,2023-09-27,18:47,2023-09-27,actual,00:56,2023-09-28,00:54,2023-09-28,actual,
San Francisco,SFO,00:57,2023-09-28,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-09-27,16:16,2023-09-27,actual,00:57,2023-09-28,00:49,2023-09-28,actual,
Atlanta,ATL,00:59,2023-09-28,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'LA5737', 'VS4220', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:28,2023-09-27,22:28,2023-09-27,actual,00:59,2023-09-28,00:47,2023-09-28,actual,
Philadelphia,PHL,04:18,2023-09-28,['5X1018'],['UPS'],,Landed - On-time [+],03:25,2023-09-28,03:32,2023-09-28,actual,04:18,2023-09-28,04:13,2023-09-28,actual,
Louisville,SDF,04:26,2023-09-28,['5X1016'],['UPS'],,Landed - Delayed [+],02:35,2023-09-28,04:19,2023-09-28,actual,04:26,2023-09-28,05:57,2023-09-28,actual,
San Diego,SAN,04:39,2023-09-28,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - On-time [+],20:10,2023-09-27,20:14,2023-09-27,actual,04:39,2023-09-28,04:46,2023-09-28,actual,
Newark,EWR,04:55,2023-09-28,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-09-28,04:00,2023-09-28,actual,04:55,2023-09-28,04:32,2023-09-28,actual,
San Francisco,SFO,05:00,2023-09-28,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:20,2023-09-27,20:12,2023-09-27,actual,05:00,2023-09-28,04:52,2023-09-28,actual,
San Francisco,SFO,05:00,2023-09-28,"['B6734', 'AA9142', 'FI7832', 'HA2496']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines']",C,Landed - On-time [+],20:24,2023-09-27,20:15,2023-09-27,actual,05:00,2023-09-28,04:56,2023-09-28,actual,
Salt Lake City,SLC,05:00,2023-09-28,['B6248'],['JetBlue Airways'],C,Landed - On-time [+],22:33,2023-09-27,22:26,2023-09-27,actual,05:00,2023-09-28,04:56,2023-09-28,actual,
Phoenix,PHX,05:09,2023-09-28,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:10,2023-09-27,21:06,2023-09-27,actual,05:09,2023-09-28,04:54,2023-09-28,actual,
Denver,DEN,05:42,2023-09-28,['B6494'],['JetBlue Airways'],C,Landed - Delayed [+],23:55,2023-09-27,23:51,2023-09-27,actual,05:42,2023-09-28,06:06,2023-09-28,actual,
Seattle,SEA,05:44,2023-09-28,"['B6498', 'AA9217', 'HA2114']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:25,2023-09-27,22:28,2023-09-27,actual,05:44,2023-09-28,06:32,2023-09-28,actual,
Louisville,SDF,05:45,2023-09-28,['5X1014'],['UPS'],,Landed - Delayed [+],03:54,2023-09-28,07:46,2023-09-28,actual,05:45,2023-09-28,09:31,2023-09-28,actual,
Seattle,SEA,05:45,2023-09-28,['AS536'],['Alaska Airlines'],B,Landed - On-time [+],21:30,2023-09-27,21:28,2023-09-27,actual,05:45,2023-09-28,05:50,2023-09-28,actual,
Tel Aviv-Yafo,TLV,05:45,2023-09-28,"['LY15', 'B66465']","['El Al Israel Airlines', 'JetBlue Airways']",E,Landed - On-time [+],01:05,2023-09-28,01:08,2023-09-28,actual,05:45,2023-09-28,05:01,2023-09-28,actual,
San Francisco,SFO,05:53,2023-09-28,"['AS458', 'AA7499', 'FJ5860', 'JL5448', 'QF3670', 'SQ1386']","['Alaska Airlines', 'American Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Singapore Airlines']",B,Landed - Delayed [+],21:20,2023-09-27,21:19,2023-09-27,actual,05:53,2023-09-28,06:30,2023-09-28,actual,
Greensboro/High Point,GSO,05:55,2023-09-28,['FX1060'],['FedEx'],,Landed - On-time [+],04:15,2023-09-28,04:06,2023-09-28,actual,05:55,2023-09-28,05:23,2023-09-28,actual,
Phoenix,PHX,05:59,2023-09-28,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - On-time [+],22:10,2023-09-27,22:19,2023-09-27,actual,05:59,2023-09-28,06:13,2023-09-28,actual,
San Jose,SJC,06:00,2023-09-28,"['B6972', 'EI5275', 'HA2192', 'TP4430']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],21:29,2023-09-27,21:14,2023-09-27,actual,06:00,2023-09-28,05:57,2023-09-28,actual,
Las Vegas,LAS,06:01,2023-09-28,"['B6778', 'EI5165', 'HA2178', 'TP4318']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],22:05,2023-09-27,22:02,2023-09-27,actual,06:01,2023-09-28,06:14,2023-09-28,actual,
Memphis,MEM,06:05,2023-09-28,['FX1406'],['FedEx'],,Landed - On-time [+],02:36,2023-09-28,02:36,2023-09-28,actual,06:05,2023-09-28,05:55,2023-09-28,actual,
Indianapolis,IND,06:08,2023-09-28,['FX1710'],['FedEx'],,Landed - On-time [+],04:15,2023-09-28,04:38,2023-09-28,actual,06:08,2023-09-28,06:18,2023-09-28,actual,
Los Angeles,LAX,06:15,2023-09-28,"['DL677', 'KE7395', 'LA6655', 'VS2203']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],21:30,2023-09-27,21:43,2023-09-27,actual,06:15,2023-09-28,06:26,2023-09-28,actual,
Los Angeles,LAX,06:27,2023-09-28,"['AA2453', 'B64139', 'CZ1641', 'FJ5005', 'JL7525', 'QF3013', 'TN1244']","['American Airlines', 'JetBlue Airways', 'China Southern Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Air Tahiti Nui']",B,Landed - On-time [+],21:55,2023-09-27,21:54,2023-09-27,actual,06:27,2023-09-28,06:26,2023-09-28,actual,
Salt Lake City,SLC,06:30,2023-09-28,"['DL893', 'KE3999', 'KL5565', 'LA6266', 'VS4266']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],23:40,2023-09-27,23:33,2023-09-27,actual,06:30,2023-09-28,06:26,2023-09-28,actual,
Bogota,BOG,06:35,2023-09-28,['AV228'],['Avianca'],E,Landed - On-time [+],23:10,2023-09-27,23:10,2023-09-27,actual,06:35,2023-09-28,05:55,2023-09-28,actual,
San Francisco,SFO,06:40,2023-09-28,"['DL475', 'LA6133', 'VS2372', 'WS7147']","['Delta Air Lines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:00,2023-09-27,21:53,2023-09-27,actual,06:40,2023-09-28,06:34,2023-09-28,actual,
Memphis,MEM,06:41,2023-09-28,['FX1473'],['FedEx'],,Landed - Delayed [+],03:12,2023-09-28,03:40,2023-09-28,actual,06:41,2023-09-28,07:01,2023-09-28,actual,
San Diego,SAN,06:45,2023-09-28,['DL571'],['Delta Air Lines'],A,Landed - On-time [+],22:00,2023-09-27,21:58,2023-09-27,actual,06:45,2023-09-28,06:29,2023-09-28,actual,
Las Vegas,LAS,06:50,2023-09-28,['NK3737'],['Spirit Airlines'],B,Landed - On-time [+],22:46,2023-09-27,22:35,2023-09-27,actual,06:50,2023-09-28,06:40,2023-09-28,actual,
Portland,PDX,06:52,2023-09-28,"['B696', 'EI5195', 'TP4432']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - On-time [+],22:34,2023-09-27,22:21,2023-09-27,actual,06:52,2023-09-28,06:31,2023-09-28,actual,
Chesapeake,KPVG,06:57,2023-09-28,['JRE844'],['FlyExclusive'],,Landed - Delayed [+],05:30,2023-09-28,06:13,2023-09-28,actual,06:57,2023-09-28,07:22,2023-09-28,actual,
New York,JFK,07:05,2023-09-28,"['B62718', 'AA9503', 'EI5016', 'HA2174', 'QR3831']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'Qatar Airways']",C,Landed - On-time [+],06:00,2023-09-28,06:11,2023-09-28,actual,07:05,2023-09-28,07:11,2023-09-28,actual,
New York,JFK,07:09,2023-09-28,"['DL5754', 'KE3954', 'KL6729', 'LA6271', 'VS4657']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],06:00,2023-09-28,05:54,2023-09-28,actual,07:09,2023-09-28,07:16,2023-09-28,actual,
New York,LGA,07:20,2023-09-28,['DL5785'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2023-09-28,05:54,2023-09-28,actual,07:20,2023-09-28,07:17,2023-09-28,actual,
Buffalo,BUF,07:21,2023-09-28,"['B61116', 'AA9116', 'EI5097', 'FI7916', 'HA2140', 'JL5855', 'TP4261']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-09-28,05:52,2023-09-28,actual,07:21,2023-09-28,07:09,2023-09-28,actual,
Los Angeles,LAX,07:21,2023-09-28,"['UA2424', 'NZ9441', 'OZ6282', 'VA8301']","['United Airlines', 'Air New Zealand', 'Asiana Airlines', 'Virgin Australia']",B,Landed - On-time [+],22:48,2023-09-27,22:43,2023-09-27,actual,07:21,2023-09-28,07:14,2023-09-28,actual,
Martha's Vineyard,MVY,07:26,2023-09-28,['1I741'],['NetJets Aviation'],,Landed - On-time [+],06:48,2023-09-28,07:11,2023-09-28,actual,07:26,2023-09-28,07:29,2023-09-28,actual,
Philadelphia,PHL,07:29,2023-09-28,"['DL5612', 'LA6604']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:01,2023-09-28,05:52,2023-09-28,actual,07:29,2023-09-28,07:24,2023-09-28,actual,
Nantucket,ACK,07:33,2023-09-28,"['9K5001', 'B65900']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:45,2023-09-28,06:45,2023-09-28,actual,07:33,2023-09-28,07:30,2023-09-28,actual,Cessna (Light aircraft)
Washington,DCA,07:34,2023-09-28,"['DL5741', 'LA6323']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - On-time [+],06:00,2023-09-28,05:56,2023-09-28,actual,07:34,2023-09-28,07:29,2023-09-28,actual,
Sao Paulo,GRU,07:35,2023-09-28,"['LA8164', 'DL6054', 'JL5561']","['LATAM Airlines', 'Delta Air Lines', 'JAL Japan Airlines']",E,Landed - Delayed [+],22:50,2023-09-27,22:50,2023-09-27,scheduled,07:35,2023-09-28,09:10,2023-09-28,actual,Boeing 787-9
Sao Paulo,GRU,07:36,2023-09-28,['JJ8164'],['LATAM Airlines Brasil'],,Landed - Delayed [+],23:24,2023-09-27,00:57,2023-09-28,actual,07:36,2023-09-28,08:59,2023-09-28,actual,
Cleveland,CLE,07:42,2023-09-28,"['B6540', 'AA9358', 'EI5365', 'FI7822', 'HA2404', 'JL5493', 'TP4268']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-09-28,05:52,2023-09-28,actual,07:42,2023-09-28,07:29,2023-09-28,actual,
San Francisco,SFO,07:44,2023-09-28,"['B634', 'AA9324', 'FI7830', 'HA2358', 'JL5892', 'SQ1544', 'TP4394']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],23:04,2023-09-27,23:01,2023-09-27,actual,07:44,2023-09-28,07:37,2023-09-28,actual,
Cincinnati,CVG,07:48,2023-09-28,['GB588'],['ABX Air'],,Landed - Delayed [+],05:55,2023-09-28,06:33,2023-09-28,actual,07:48,2023-09-28,08:14,2023-09-28,actual,
Pittsburgh,PIT,07:54,2023-09-28,"['DL5617', 'KE3310', 'LA6605']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines']",A,Landed - On-time [+],06:05,2023-09-28,06:03,2023-09-28,actual,07:54,2023-09-28,07:44,2023-09-28,actual,
Bar Harbor,BHB,07:55,2023-09-28,"['9K1830', 'B65156']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:30,2023-09-28,06:30,2023-09-28,actual,07:55,2023-09-28,08:00,2023-09-28,actual,Cessna (Light aircraft)
