,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Fort Myers,RSW,00:08,2023-05-07,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-06,21:08,2023-05-07,00:08,2023-05-07,00:07,2023-05-08,
1,Tampa,TPA,00:08,2023-05-07,['DL1439'],['Delta Air Lines'],A,Landed - On-time [+],21:04,2023-05-06,21:01,2023-05-06,00:08,2023-05-07,23:58,2023-05-06,
2,Orlando,MCO,00:17,2023-05-07,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-06,21:30,2023-05-07,00:17,2023-05-07,00:52,2023-05-08,
3,Miami,MIA,00:24,2023-05-07,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:01,2023-05-06,21:05,2023-05-06,00:24,2023-05-07,00:15,2023-05-07,
4,Denver,DEN,00:35,2023-05-07,['WN3442'],['Southwest Airlines'],B,Landed - On-time [+],18:45,2023-05-06,18:43,2023-05-06,00:35,2023-05-07,00:18,2023-05-07,
5,Charlotte,CLT,00:44,2023-05-07,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:33,2023-05-06,22:44,2023-05-06,00:44,2023-05-07,00:44,2023-05-07,
6,Dulles,IAD,00:56,2023-05-07,['1I806'],['NetJets Aviation'],,Landed - On-time [+],23:30,2023-05-06,23:03,2023-05-06,00:56,2023-05-07,00:07,2023-05-07,
7,Atlanta,ATL,01:01,2023-05-07,"['DL865', 'AM3209', 'KE3147', 'KL5056', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:25,2023-05-06,22:24,2023-05-06,01:01,2023-05-07,00:53,2023-05-07,
8,Cincinnati,CVG,04:05,2023-05-07,['SWQ325'],['Swift Air'],,Landed - On-time [+],02:10,2023-05-07,02:20,2023-05-07,04:05,2023-05-07,04:03,2023-05-07,
9,Las Vegas,LAS,04:29,2023-05-07,['NK1165'],['Spirit Airlines'],B,Landed - On-time [+],20:30,2023-05-06,20:23,2023-05-06,04:29,2023-05-07,04:17,2023-05-07,
10,San Francisco,SFO,04:59,2023-05-07,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],20:15,2023-05-06,20:54,2023-05-06,04:59,2023-05-07,05:43,2023-05-07,
11,San Diego,SAN,05:01,2023-05-07,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-05-06,20:39,2023-05-07,05:01,2023-05-07,04:48,2023-05-08,
12,Sacramento,SMF,05:38,2023-05-07,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:16,2023-05-06,22:08,2023-05-07,05:38,2023-05-07,06:11,2023-05-08,
13,Phoenix,PHX,05:39,2023-05-07,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:45,2023-05-06,21:54,2023-05-06,05:39,2023-05-07,05:39,2023-05-07,
14,Denver,DEN,05:40,2023-05-07,"['B6294', 'FI7886']","['JetBlue Airways', 'Icelandair']",C,Landed - Delayed [+],23:53,2023-05-06,23:59,2023-05-07,05:40,2023-05-07,05:33,2023-05-08,
15,Tel Aviv-Yafo,TLV,05:45,2023-05-07,['LY15'],['El Al Israel Airlines'],E,Landed - On-time [+],01:05,2023-05-07,01:04,2023-05-07,05:45,2023-05-07,05:21,2023-05-07,
16,Denver,DEN,05:58,2023-05-07,['UA541'],['United Airlines'],B,Landed - On-time [+],23:59,2023-05-06,23:56,2023-05-06,05:58,2023-05-07,05:39,2023-05-07,
17,Salt Lake City,SLC,06:00,2023-05-07,"['DL999', 'KE3999', 'VS4266']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - Delayed [+],23:30,2023-05-06,23:30,2023-05-06,06:00,2023-05-07,06:16,2023-05-07,
18,Phoenix,PHX,06:07,2023-05-07,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:18,2023-05-06,22:22,2023-05-07,06:07,2023-05-07,05:58,2023-05-08,
19,San Jose,SJC,06:13,2023-05-07,"['B6972', 'EI5275', 'HA2192', 'TP4430']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],21:39,2023-05-06,21:36,2023-05-07,06:13,2023-05-07,05:48,2023-05-08,
20,Las Vegas,LAS,06:23,2023-05-07,"['B6778', 'EI5165', 'HA2178', 'TP4318']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:23,2023-05-06,22:30,2023-05-07,06:23,2023-05-07,06:35,2023-05-08,
21,Seattle,SEA,06:23,2023-05-07,"['B6498', 'AA9217', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:10,2023-05-06,22:03,2023-05-07,06:23,2023-05-07,06:17,2023-05-08,
22,Los Angeles,LAX,06:30,2023-05-07,"['B6622', 'AA9131', 'HA2184']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - Delayed [+],22:05,2023-05-06,23:12,2023-05-06,06:30,2023-05-07,08:00,2023-05-07,
23,Buffalo,BUF,06:40,2023-05-07,"['DL1211', 'KE6735']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],05:03,2023-05-07,04:51,2023-05-07,06:40,2023-05-07,06:12,2023-05-07,
24,Rochester,ROC,06:40,2023-05-07,['DL5836'],['Delta Air Lines'],A,Landed - On-time [+],05:07,2023-05-07,05:05,2023-05-07,06:40,2023-05-07,06:33,2023-05-07,
25,San Diego,SAN,06:45,2023-05-07,['DL801'],['Delta Air Lines'],A,Landed - On-time [+],22:05,2023-05-06,22:02,2023-05-06,06:45,2023-05-07,06:35,2023-05-07,
26,Portland,PDX,06:57,2023-05-07,"['B696', 'EI5195', 'TP4432']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:38,2023-05-06,22:30,2023-05-07,06:57,2023-05-07,06:39,2023-05-08,
27,Newark,EWR,07:12,2023-05-07,"['B62180', 'AA9152', 'FI7992', 'HA2084', 'JL5479', 'TP4480']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],06:00,2023-05-07,08:51,2023-05-07,07:12,2023-05-07,09:56,2023-05-07,
28,San Francisco,SFO,07:14,2023-05-07,"['UA1665', 'NZ9018', 'VA8306']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],22:35,2023-05-06,22:47,2023-05-06,07:14,2023-05-07,07:29,2023-05-07,
29,New York,JFK,07:15,2023-05-07,"['DL5853', 'KE3954', 'KL6679', 'VS4302']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],06:00,2023-05-07,06:09,2023-05-07,07:15,2023-05-07,07:08,2023-05-07,
30,Rochester,ROC,07:18,2023-05-07,"['B6712', 'TP4275']","['JetBlue Airways', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-05-07,05:51,2023-05-07,07:18,2023-05-07,07:03,2023-05-07,
31,Bar Harbor,BHB,07:25,2023-05-07,"['9K1830', 'B65156']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:00,2023-05-07,06:00,2023-05-07,07:25,2023-05-07,07:38,2023-05-07,Cessna (Light aircraft)
32,Los Angeles,LAX,07:26,2023-05-07,"['UA2424', 'NZ9441', 'OZ6282', 'VA8301']","['United Airlines', 'Air New Zealand', 'Asiana Airlines', 'Virgin Australia']",B,Landed - On-time [+],22:51,2023-05-06,22:51,2023-05-06,07:26,2023-05-07,07:06,2023-05-07,
33,San Francisco,SFO,07:31,2023-05-07,"['DL314', 'LA7001', 'VS1787', 'WS6378']","['Delta Air Lines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:50,2023-05-06,22:50,2023-05-06,07:31,2023-05-07,07:34,2023-05-07,
34,Pittsburgh,PIT,07:32,2023-05-07,"['B61486', 'AA9365', 'EI5223', 'FI7836', 'HA2468', 'TP4356']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-05-07,05:54,2023-05-07,07:32,2023-05-07,07:24,2023-05-07,
35,Richmond,RIC,07:37,2023-05-07,"['B6382', 'AA9191', 'EI5239', 'JL5879', 'TP4366']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-05-07,05:51,2023-05-07,07:37,2023-05-07,07:17,2023-05-07,
