Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Salt Lake City,SLC,00:09,2023-08-05,"['DL702', 'KL5238']","['Delta Air Lines', 'KLM Royal Dutch Airlines']",A,Landed - Delayed [+],17:28,2023-08-04,17:25,2023-08-04,actual,00:09,2023-08-05,00:28,2023-08-05,actual,
Dallas,DFW,00:17,2023-08-05,['NK1165'],['Spirit Airlines'],B,Landed - Delayed [+],19:21,2023-08-04,23:36,2023-08-04,actual,00:17,2023-08-05,04:06,2023-08-05,actual,
Miami,MIA,00:22,2023-08-05,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - Delayed [+],21:03,2023-08-04,09:11,2023-08-05,actual,00:22,2023-08-05,12:18,2023-08-05,actual,
Seattle,SEA,00:29,2023-08-05,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:55,2023-08-04,15:53,2023-08-04,actual,00:29,2023-08-05,00:04,2023-08-05,actual,
Denver,DEN,00:30,2023-08-05,['WN3065'],['Southwest Airlines'],B,Landed - On-time [+],18:35,2023-08-04,18:50,2023-08-04,actual,00:30,2023-08-05,00:31,2023-08-05,actual,
Fort Lauderdale,FLL,00:31,2023-08-05,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-08-04,22:06,2023-08-04,actual,00:31,2023-08-05,01:13,2023-08-05,actual,
Charlotte,CLT,00:38,2023-08-05,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:27,2023-08-04,22:27,2023-08-04,actual,00:38,2023-08-05,00:50,2023-08-05,actual,
Minneapolis,MSP,00:41,2023-08-05,"['DL1246', 'AM3900', 'KE3993', 'KL5800', 'WS7864']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'WestJet']",A,Landed - On-time [+],20:45,2023-08-04,20:39,2023-08-04,actual,00:41,2023-08-05,00:07,2023-08-05,actual,
Chicago,ORD,00:53,2023-08-05,"['UA473', 'NH7478', 'NZ2091']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand']",B,Landed - On-time [+],21:22,2023-08-04,21:30,2023-08-04,actual,00:53,2023-08-05,00:44,2023-08-05,actual,
Detroit,DTW,00:59,2023-08-05,"['DL1279', 'AM3304', 'CZ1051', 'MU4540', 'VS3112', 'WS7134']","['Delta Air Lines', 'Aeromexico', 'China Southern Airlines', 'China Eastern Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],23:01,2023-08-04,23:01,2023-08-04,actual,00:59,2023-08-05,00:35,2023-08-05,actual,
San Francisco,SFO,01:04,2023-08-05,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-08-04,16:21,2023-08-04,actual,01:04,2023-08-05,00:50,2023-08-05,actual,
Anchorage,ANC,01:12,2023-08-05,['VJT878'],['VistaJet'],,Landed - On-time [+],14:45,2023-08-04,14:38,2023-08-04,actual,01:12,2023-08-05,00:48,2023-08-05,actual,
Atlanta,ATL,01:22,2023-08-05,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'LA6174', 'VS2377', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - On-time [+],22:41,2023-08-04,22:55,2023-08-04,actual,01:22,2023-08-05,01:20,2023-08-05,actual,
Chicago,MDW,01:50,2023-08-05,['WN5889'],['Southwest Airlines'],B,Landed - On-time [+],22:40,2023-08-04,22:43,2023-08-04,actual,01:50,2023-08-05,01:43,2023-08-05,actual,
Miami,MIA,03:12,2023-08-05,['AA54Q'],['American Airlines'],,Landed - Delayed [+],00:15,2023-08-05,09:28,2023-08-05,actual,03:12,2023-08-05,12:12,2023-08-05,actual,
San Diego,SAN,04:39,2023-08-05,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - On-time [+],20:10,2023-08-04,20:01,2023-08-04,actual,04:39,2023-08-05,04:24,2023-08-05,actual,
Vancouver,YVR,04:48,2023-08-05,"['AC532', 'UA8609']","['Air Canada', 'United Airlines']",B,Landed - On-time [+],20:25,2023-08-04,20:33,2023-08-04,actual,04:48,2023-08-05,04:39,2023-08-05,actual,
Denver,DEN,05:00,2023-08-05,['B6594'],['JetBlue Airways'],C,Landed - Delayed [+],23:10,2023-08-04,23:06,2023-08-04,actual,05:00,2023-08-05,05:17,2023-08-05,actual,
Salt Lake City,SLC,05:00,2023-08-05,['B6348'],['JetBlue Airways'],C,Landed - On-time [+],22:31,2023-08-04,22:42,2023-08-04,actual,05:00,2023-08-05,05:02,2023-08-05,actual,
