,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Chicago,MDW,00:05,2023-05-20,['WN951'],['Southwest Airlines'],B,Landed - On-time [+],20:55,2023-05-19,20:53,2023-05-19,00:05,2023-05-20,23:53,2023-05-19,
1,Fort Myers,RSW,00:08,2023-05-20,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],20:59,2023-05-19,20:56,2023-05-20,00:08,2023-05-20,23:57,2023-05-20,
2,San Francisco,SFO,00:09,2023-05-20,"['B61734', 'AA9249', 'HA2224']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],15:27,2023-05-19,15:23,2023-05-19,00:09,2023-05-20,00:15,2023-05-20,
3,Orlando,MCO,00:17,2023-05-20,"['B6976', 'AD7414', 'HA2198']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:20,2023-05-19,21:34,2023-05-20,00:17,2023-05-20,00:51,2023-05-21,
4,Miami,MIA,00:24,2023-05-20,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:01,2023-05-19,20:58,2023-05-19,00:24,2023-05-20,00:35,2023-05-20,
5,Charlotte,CLT,00:44,2023-05-20,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - Delayed [+],22:33,2023-05-19,23:05,2023-05-19,00:44,2023-05-20,01:04,2023-05-20,
6,Atlanta,ATL,00:51,2023-05-20,"['DL865', 'AM3020', 'KE3682', 'KL5056', 'VS4226', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],22:17,2023-05-19,22:56,2023-05-19,00:51,2023-05-20,01:29,2023-05-20,
7,Chicago,ORD,01:00,2023-05-20,"['UA1503', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:36,2023-05-19,21:29,2023-05-19,01:00,2023-05-20,00:32,2023-05-20,
8,Denver,DEN,01:40,2023-05-20,['WN3442'],['Southwest Airlines'],B,Landed - Delayed [+],19:50,2023-05-19,21:01,2023-05-19,01:40,2023-05-20,02:31,2023-05-20,
9,Las Vegas,LAS,04:29,2023-05-20,['NK1165'],['Spirit Airlines'],B,Landed - Delayed [+],20:30,2023-05-19,21:22,2023-05-19,04:29,2023-05-20,05:24,2023-05-20,
10,San Francisco,SFO,04:59,2023-05-20,"['UA1871', 'NZ9012', 'VA8308']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],20:15,2023-05-19,20:19,2023-05-19,04:59,2023-05-20,04:51,2023-05-20,
11,San Diego,SAN,05:01,2023-05-20,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - Delayed [+],20:29,2023-05-19,20:22,2023-05-20,05:01,2023-05-20,04:47,2023-05-21,
12,Los Angeles,LAX,05:18,2023-05-20,"['AA2453', 'B64139', 'BA4746', 'FJ5005', 'JL7525', 'QF3013', 'TN1244']","['American Airlines', 'JetBlue Airways', 'British Airways', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Air Tahiti Nui']",B,Landed - On-time [+],20:45,2023-05-19,20:37,2023-05-19,05:18,2023-05-20,04:49,2023-05-20,
13,Sacramento,SMF,05:38,2023-05-20,['B6916'],['JetBlue Airways'],C,Landed - Delayed [+],21:16,2023-05-19,23:50,2023-05-20,05:38,2023-05-20,08:17,2023-05-21,
14,Denver,DEN,05:40,2023-05-20,"['B6294', 'FI7886']","['JetBlue Airways', 'Icelandair']",C,Landed - Delayed [+],23:53,2023-05-19,01:05,2023-05-21,05:40,2023-05-20,06:51,2023-05-21,
15,Phoenix,PHX,05:40,2023-05-20,['AA2701'],['American Airlines'],B,Landed - On-time [+],21:45,2023-05-19,21:45,2023-05-19,05:40,2023-05-20,05:10,2023-05-20,
16,San Francisco,SFO,05:55,2023-05-20,"['AS546', 'AA7543', 'FJ5860', 'JL5448', 'QF3670', 'SQ1386']","['Alaska Airlines', 'American Airlines', 'Fiji Airways', 'JAL Japan Airlines', 'Qantas', 'Singapore Airlines']",B,Landed - On-time [+],21:05,2023-05-19,20:52,2023-05-19,05:55,2023-05-20,05:19,2023-05-20,
17,Denver,DEN,05:58,2023-05-20,['UA541'],['United Airlines'],B,Landed - Delayed [+],23:59,2023-05-19,01:03,2023-05-20,05:58,2023-05-20,06:34,2023-05-20,
18,Seattle,SEA,06:00,2023-05-20,"['AS536', 'JL6356']","['Alaska Airlines', 'JAL Japan Airlines']",B,Landed - Delayed [+],21:40,2023-05-19,21:55,2023-05-19,06:00,2023-05-20,06:20,2023-05-20,
19,Phoenix,PHX,06:07,2023-05-20,"['B61302', 'EI5211', 'TP4354']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:18,2023-05-19,22:11,2023-05-20,06:07,2023-05-20,05:49,2023-05-21,
20,Louisville,SDF,06:11,2023-05-20,['5X1014'],['UPS'],,Landed - Delayed [+],04:20,2023-05-20,06:37,2023-05-20,06:11,2023-05-20,08:14,2023-05-20,
21,San Jose,SJC,06:13,2023-05-20,"['B6972', 'EI5275', 'HA2192', 'TP4430']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],21:39,2023-05-19,21:39,2023-05-20,06:13,2023-05-20,06:28,2023-05-21,
22,Salt Lake City,SLC,06:22,2023-05-20,"['DL999', 'KE3999', 'KL5565', 'LA6293', 'VS4266']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],23:45,2023-05-19,23:43,2023-05-19,06:22,2023-05-20,06:06,2023-05-20,
23,Las Vegas,LAS,06:23,2023-05-20,"['B6778', 'EI5165', 'HA2178', 'TP4320']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:23,2023-05-19,22:11,2023-05-20,06:23,2023-05-20,06:05,2023-05-21,
24,Seattle,SEA,06:23,2023-05-20,"['B6498', 'AA9217', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],22:10,2023-05-19,22:11,2023-05-20,06:23,2023-05-20,06:16,2023-05-21,
25,Los Angeles,LAX,06:24,2023-05-20,"['DL675', 'KE7395', 'LA6321', 'VS3062']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],21:45,2023-05-19,21:55,2023-05-19,06:24,2023-05-20,07:07,2023-05-20,
26,Provincetown,PVC,06:35,2023-05-20,"['9K2041', 'B65396']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],06:05,2023-05-20,07:14,2023-05-20,06:35,2023-05-20,07:42,2023-05-20,Cessna (Light aircraft)
27,Rochester,ROC,06:40,2023-05-20,['DL5836'],['Delta Air Lines'],A,Landed - On-time [+],05:08,2023-05-20,05:04,2023-05-20,06:40,2023-05-20,06:16,2023-05-20,
28,San Francisco,SFO,06:44,2023-05-20,"['DL926', 'LA6535', 'VS2372']","['Delta Air Lines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],21:55,2023-05-19,21:52,2023-05-19,06:44,2023-05-20,06:32,2023-05-20,
29,Honolulu,HNL,06:45,2023-05-20,"['HA90', 'B65816']","['Hawaiian Airlines', 'JetBlue Airways']",E,Landed - Delayed [+],14:55,2023-05-19,15:10,2023-05-19,06:45,2023-05-20,07:01,2023-05-20,
30,San Diego,SAN,06:45,2023-05-20,['DL316'],['Delta Air Lines'],A,Landed - On-time [+],22:00,2023-05-19,21:55,2023-05-19,06:45,2023-05-20,06:15,2023-05-20,
31,Memphis,MEM,06:47,2023-05-20,['FX1406'],['FedEx'],,Landed - Delayed [+],03:18,2023-05-20,03:58,2023-05-20,06:47,2023-05-20,07:22,2023-05-20,
32,Portland,PDX,06:57,2023-05-20,"['B696', 'EI5195', 'TP4432']","['JetBlue Airways', 'Aer Lingus', 'TAP Air Portugal']",C,Landed - Delayed [+],22:38,2023-05-19,22:36,2023-05-20,06:57,2023-05-20,06:51,2023-05-21,
33,Los Angeles,LAX,06:58,2023-05-20,"['B6622', 'AA9131', 'HA2184']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - Delayed [+],22:31,2023-05-19,22:01,2023-05-20,06:58,2023-05-20,06:17,2023-05-21,
34,Newark,EWR,07:12,2023-05-20,"['B62180', 'AA9138', 'FI7994', 'HA2084', 'JL5479', 'TP4480']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-05-20,05:56,2023-05-20,07:12,2023-05-20,07:24,2023-05-20,
35,San Francisco,SFO,07:14,2023-05-20,"['UA1665', 'NZ9018', 'VA8306']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - Delayed [+],22:35,2023-05-19,23:06,2023-05-19,07:14,2023-05-20,07:38,2023-05-20,
36,Provincetown,PVC,07:15,2023-05-20,"['9K2001', 'B65175']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],06:45,2023-05-20,07:43,2023-05-20,07:15,2023-05-20,08:20,2023-05-20,Cessna (Light aircraft)
37,New York,JFK,07:20,2023-05-20,"['DL5853', 'KE3954', 'KL6729', 'LA6426', 'VS4302']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],06:00,2023-05-20,05:56,2023-05-20,07:20,2023-05-20,06:56,2023-05-20,
38,Bar Harbor,BHB,07:25,2023-05-20,"['9K1830', 'B65156']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],06:00,2023-05-20,07:30,2023-05-20,07:25,2023-05-20,09:00,2023-05-20,Cessna (Light aircraft)
39,Sao Paulo,GRU,07:25,2023-05-20,['JJ8164'],['LATAM Airlines Brasil'],,Landed - Delayed [+],22:52,2023-05-19,23:17,2023-05-19,07:25,2023-05-20,07:52,2023-05-20,
40,Los Angeles,LAX,07:26,2023-05-20,"['UA2424', 'NZ9441', 'OZ6282', 'VA8301']","['United Airlines', 'Air New Zealand', 'Asiana Airlines', 'Virgin Australia']",B,Landed - On-time [+],22:51,2023-05-19,22:55,2023-05-19,07:26,2023-05-20,07:19,2023-05-20,
41,Sao Paulo,GRU,07:30,2023-05-20,"['LA8164', 'DL6054', 'JL5561']","['LATAM Airlines', 'Delta Air Lines', 'JAL Japan Airlines']",E,Landed - Delayed [+],22:50,2023-05-19,22:50,2023-05-19,07:30,2023-05-20,08:02,2023-05-20,Boeing 787-9
42,Nantucket,ACK,07:33,2023-05-20,"['9K5001', 'B65900']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],06:45,2023-05-20,06:51,2023-05-20,07:33,2023-05-20,07:36,2023-05-20,Cessna (Light aircraft)
43,Philadelphia,PHL,07:37,2023-05-20,"['B6960', 'EI5203', 'FI7854', 'HA2208', 'TP4352']","['JetBlue Airways', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:20,2023-05-20,06:15,2023-05-20,07:37,2023-05-20,07:31,2023-05-20,
44,Richmond,RIC,07:37,2023-05-20,"['B6382', 'AA9191', 'EI5239', 'JL5879', 'TP4366']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-05-20,06:00,2023-05-20,07:37,2023-05-20,07:35,2023-05-20,
45,Baltimore,BWI,07:40,2023-05-20,['WN1655'],['Southwest Airlines'],B,Landed - Delayed [+],06:15,2023-05-20,06:23,2023-05-20,07:40,2023-05-20,07:56,2023-05-20,
46,New York,JFK,07:41,2023-05-20,"['B6518', 'AA9370', 'EI5014', 'HA2002', 'QR3952', 'SQ1452', 'TP4302']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'Qatar Airways', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:30,2023-05-20,06:27,2023-05-20,07:41,2023-05-20,07:30,2023-05-20,
47,Phoenix,PHX,07:45,2023-05-20,['DL667'],['Delta Air Lines'],A,Landed - On-time [+],23:39,2023-05-19,23:36,2023-05-19,07:45,2023-05-20,07:07,2023-05-20,
48,Detroit,DTW,07:52,2023-05-20,"['B61336', 'AA9349', 'EI5307', 'FI7844', 'HA2148', 'JL5895', 'TP4284']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2023-05-20,05:50,2023-05-20,07:52,2023-05-20,07:28,2023-05-20,
49,San Francisco,SFO,07:56,2023-05-20,"['B634', 'AA9324', 'FI7830', 'HA2358', 'JL5892', 'SQ1544', 'TP4394']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],23:08,2023-05-19,23:03,2023-05-20,07:56,2023-05-20,07:43,2023-05-21,
50,Washington,DCA,07:58,2023-05-20,"['B6254', 'AA9467', 'HA2146']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines']",C,Landed - On-time [+],06:30,2023-05-20,06:34,2023-05-20,07:58,2023-05-20,08:04,2023-05-20,
51,Newark,EWR,07:59,2023-05-20,['UA1367'],['United Airlines'],B,Landed - On-time [+],06:45,2023-05-20,06:40,2023-05-20,07:59,2023-05-20,07:52,2023-05-20,
52,Seattle,SEA,08:00,2023-05-20,"['DL810', 'KE3143', 'LA6540', 'VS3753']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],23:35,2023-05-19,23:44,2023-05-19,08:00,2023-05-20,07:56,2023-05-20,
53,Raleigh/Durham,RDU,08:05,2023-05-20,"['B6184', 'AA9456', 'EI5231', 'HA2470', 'JL5841']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Hawaiian Airlines', 'JAL Japan Airlines']",C,Landed - On-time [+],06:10,2023-05-20,06:05,2023-05-20,08:05,2023-05-20,07:51,2023-05-20,
54,Rochester,ROC,08:07,2023-05-20,"['B6712', 'TP4275']","['JetBlue Airways', 'TAP Air Portugal']",C,Landed - On-time [+],06:50,2023-05-20,06:38,2023-05-20,08:07,2023-05-20,07:45,2023-05-20,
55,Augusta,AUG,08:10,2023-05-20,"['9K1000', 'B65110']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],07:00,2023-05-20,06:50,2023-05-20,08:10,2023-05-20,08:00,2023-05-20,Tecnam P2012 Traveler
56,Massena,MSS,08:10,2023-05-20,['4B861'],['Boutique Air'],B,Landed - On-time [+],07:00,2023-05-20,06:58,2023-05-20,08:10,2023-05-20,08:05,2023-05-20,
57,Lebanon,LEB,08:15,2023-05-20,"['9K1870', 'B65167']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],07:20,2023-05-20,07:05,2023-05-20,08:15,2023-05-20,08:10,2023-05-20,Tecnam P2012 Traveler
58,Newark,EWR,08:16,2023-05-20,"['DL5714', 'KE3306']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],07:00,2023-05-20,06:56,2023-05-20,08:16,2023-05-20,08:14,2023-05-20,
59,Cleveland,CLE,08:21,2023-05-20,"['B6540', 'AA9358', 'EI5365', 'FI7822', 'HA2404', 'JL5493', 'TP4268']","['JetBlue Airways', 'American Airlines', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:40,2023-05-20,06:30,2023-05-20,08:21,2023-05-20,08:19,2023-05-20,
60,Rutland,RUT,08:25,2023-05-20,"['9K52', 'B65100']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],07:20,2023-05-20,07:23,2023-05-20,08:25,2023-05-20,08:33,2023-05-20,Tecnam P2012 Traveler
61,Teterboro,TEB,08:26,2023-05-20,['1I737'],['NetJets Aviation'],,Landed - Delayed [+],07:30,2023-05-20,08:16,2023-05-20,08:26,2023-05-20,08:57,2023-05-20,
62,New York,LGA,08:27,2023-05-20,"['B62832', 'AA9388', 'HA2186', 'TP4326']","['JetBlue Airways', 'American Airlines', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],07:15,2023-05-20,07:09,2023-05-20,08:27,2023-05-20,08:17,2023-05-20,
63,Los Angeles,LAX,08:30,2023-05-20,"['B6988', 'AA9259', 'FI7866', 'HA2316', 'SQ1538', 'TP4412']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'Singapore Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],23:59,2023-05-19,23:53,2023-05-20,08:30,2023-05-20,08:24,2023-05-21,
64,Atlanta,ATL,08:31,2023-05-20,"['B6996', 'AA9303', 'FI7900', 'HA2164', 'JL5491']","['JetBlue Airways', 'American Airlines', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines']",C,Landed - On-time [+],06:00,2023-05-20,05:59,2023-05-20,08:31,2023-05-20,08:24,2023-05-20,
