Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Seattle,SEA,00:29,2023-07-18,"['DL770', 'KE3009', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],15:55,2023-07-17,16:01,2023-07-17,actual,00:29,2023-07-18,00:31,2023-07-18,actual,
Denver,DEN,00:30,2023-07-18,['WN3065'],['Southwest Airlines'],B,Landed - Delayed [+],18:35,2023-07-17,19:07,2023-07-17,actual,00:30,2023-07-18,00:51,2023-07-18,actual,
Fort Lauderdale,FLL,00:31,2023-07-18,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-07-17,01:11,2023-07-18,actual,00:31,2023-07-18,04:06,2023-07-18,actual,
Charlotte,CLT,00:38,2023-07-18,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:27,2023-07-17,22:35,2023-07-17,actual,00:38,2023-07-18,00:33,2023-07-18,actual,
Minneapolis,MSP,00:41,2023-07-18,"['DL1246', 'AM3900', 'KE3993', 'KL5800', 'WS7864']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'WestJet']",A,Landed - On-time [+],20:45,2023-07-17,20:48,2023-07-17,actual,00:41,2023-07-18,00:23,2023-07-18,actual,
Miami,MIA,00:42,2023-07-18,"['AA1054', 'B64059', 'G36162']","['American Airlines', 'JetBlue Airways', 'Gol']",B,Landed - Delayed [+],21:10,2023-07-17,22:21,2023-07-17,actual,00:42,2023-07-18,01:31,2023-07-18,actual,
Detroit,DTW,00:59,2023-07-18,"['DL1279', 'AM3429', 'CZ1051', 'MU4540', 'VS3112', 'WS7224']","['Delta Air Lines', 'Aeromexico', 'China Southern Airlines', 'China Eastern Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],23:01,2023-07-17,00:01,2023-07-18,actual,00:59,2023-07-18,01:36,2023-07-18,actual,
Chicago,ORD,00:59,2023-07-18,"['UA473', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'ANA All Nippon Airways', 'Air New Zealand', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:26,2023-07-17,21:25,2023-07-17,actual,00:59,2023-07-18,00:43,2023-07-18,actual,
San Francisco,SFO,01:04,2023-07-18,"['UA2262', 'NZ9016', 'VA8566']","['United Airlines', 'Air New Zealand', 'Virgin Australia']",B,Landed - On-time [+],16:15,2023-07-17,16:21,2023-07-17,actual,01:04,2023-07-18,00:40,2023-07-18,actual,
Atlanta,ATL,01:22,2023-07-18,"['DL865', 'AM4188', 'KE3682', 'KL5056', 'LA5060', 'VS2377', 'WS6383']","['Delta Air Lines', 'Aeromexico', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic', 'WestJet']",A,Landed - Delayed [+],22:41,2023-07-17,23:25,2023-07-17,actual,01:22,2023-07-18,01:50,2023-07-18,actual,
Chicago,MDW,01:50,2023-07-18,['WN5889'],['Southwest Airlines'],B,Landed - Delayed [+],22:40,2023-07-17,23:38,2023-07-17,actual,01:50,2023-07-18,02:57,2023-07-18,actual,
Louisville,SDF,04:26,2023-07-18,['5X1016'],['UPS'],,Landed - Delayed [+],02:35,2023-07-18,05:36,2023-07-18,actual,04:26,2023-07-18,07:18,2023-07-18,actual,
Philadelphia,PHL,04:29,2023-07-18,['5X1018'],['UPS'],,Landed - Delayed [+],03:36,2023-07-18,03:55,2023-07-18,actual,04:29,2023-07-18,04:47,2023-07-18,actual,
San Diego,SAN,04:39,2023-07-18,"['B62120', 'FI7894', 'JL5887']","['JetBlue Airways', 'Icelandair', 'JAL Japan Airlines']",C,Landed - On-time [+],20:10,2023-07-17,20:13,2023-07-17,actual,04:39,2023-07-18,04:44,2023-07-18,actual,
Vancouver,YVR,04:48,2023-07-18,"['AC532', 'UA8609']","['Air Canada', 'United Airlines']",B,Landed - On-time [+],20:25,2023-07-17,20:24,2023-07-17,actual,04:48,2023-07-18,04:19,2023-07-18,actual,
Newark,EWR,04:55,2023-07-18,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2023-07-18,04:13,2023-07-18,actual,04:55,2023-07-18,04:54,2023-07-18,actual,
Denver,DEN,05:00,2023-07-18,['B6594'],['JetBlue Airways'],C,Landed - Delayed [+],23:10,2023-07-17,00:52,2023-07-18,actual,05:00,2023-07-18,06:33,2023-07-18,actual,
Phoenix,PHX,05:00,2023-07-18,['AA2701'],['American Airlines'],B,Landed - On-time [+],20:56,2023-07-17,21:07,2023-07-17,actual,05:00,2023-07-18,04:47,2023-07-18,actual,
