,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
0,Chicago,MDW,00:05,2023-05-05,['WN951'],['Southwest Airlines'],B,Landed - Delayed [+],20:55,2023-05-04,21:22,2023-05-04,00:05,2023-05-05,00:32,2023-05-05,
1,Tampa,TPA,00:08,2023-05-05,['DL1439'],['Delta Air Lines'],A,Landed - On-time [+],21:04,2023-05-04,20:54,2023-05-04,00:08,2023-05-05,23:50,2023-05-04,
2,Seattle,SEA,00:10,2023-05-05,"['DL770', 'KE3009', 'MU4546', 'VS1732']","['Delta Air Lines', 'Korean Air', 'China Eastern Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],15:50,2023-05-04,15:48,2023-05-04,00:10,2023-05-05,00:16,2023-05-05,
3,Fort Myers,RSW,00:14,2023-05-05,"['B61766', 'HA2222']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:05,2023-05-04,20:49,2023-05-05,00:14,2023-05-05,00:05,2023-05-06,
4,New York,JFK,00:19,2023-05-05,"['B61318', 'AA9347', 'AT9510', 'EI5018', 'HA2000', 'LY8609', 'QR3825', 'TP4304']","['JetBlue Airways', 'American Airlines', 'Royal Air Maroc', 'Aer Lingus', 'Hawaiian Airlines', 'El Al Israel Airlines', 'Qatar Airways', 'TAP Air Portugal']",C,Landed - On-time [+],22:55,2023-05-04,22:50,2023-05-04,00:19,2023-05-05,23:51,2023-05-04,
5,West Palm Beach,PBI,00:19,2023-05-05,"['B6622', 'HA2456']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-05-04,21:24,2023-05-04,00:19,2023-05-05,07:12,2023-05-06,
6,Miami,MIA,00:21,2023-05-05,"['AA1054', 'B64059', 'G36162', 'IB4896']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],21:00,2023-05-04,20:57,2023-05-04,00:21,2023-05-05,00:09,2023-05-05,
7,Orlando,MCO,00:27,2023-05-05,"['B61952', 'AD7669', 'HA2442']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:30,2023-05-04,21:48,2023-05-04,00:27,2023-05-05,00:46,2023-05-05,
8,Fort Lauderdale,FLL,00:32,2023-05-05,"['B6170', 'AD7411', 'HA2426']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],21:15,2023-05-04,20:39,2023-05-05,00:32,2023-05-05,23:54,2023-05-05,
9,Charlotte,CLT,00:34,2023-05-05,"['AA1937', 'MH9476']","['American Airlines', 'Malaysia Airlines']",B,Landed - On-time [+],22:28,2023-05-04,22:22,2023-05-04,00:34,2023-05-05,00:17,2023-05-05,
