Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Minneapolis,MSP,00:11,2024-01-15,"['DL802', 'KE3993', 'KL5668', 'WS6958']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines']",A,Landed - On-time [+],20:21,2024-01-14,20:19,2024-01-14,actual,00:11,2024-01-15,23:49,2024-01-14,actual,Airbus A220-100 Passenger
Dallas,DFW,00:15,2024-01-15,['DL315'],['Delta Air Lines'],A,Landed - Delayed [+],19:41,2024-01-14,23:53,2024-01-14,actual,00:15,2024-01-15,05:06,2024-01-15,actual,Airbus A220-100 Passenger
Denver,DEN,00:20,2024-01-15,['WN2966'],['Southwest Airlines'],B,Canceled [+],18:40,2024-01-14,18:40,2024-01-14,scheduled,00:20,2024-01-15,00:20,2024-01-15,scheduled,Boeing 737-700 (winglets) Passenger/BBJ1
Miami,MIA,00:20,2024-01-15,"['AA1054', 'G36162']",['American Airlines'],B,Landed - On-time [+],21:00,2024-01-14,21:02,2024-01-14,actual,00:20,2024-01-15,00:03,2024-01-15,actual,Boeing 737-800 Passenger
Austin,AUS,00:34,2024-01-15,"['B61238', 'HA2006', 'JL5853']","['JetBlue Airways', 'Hawaiian Airlines', 'JAL']",C,Landed - Delayed [+],19:44,2024-01-14,21:37,2024-01-14,actual,00:34,2024-01-15,03:01,2024-01-15,actual,Airbus A220-300 Passenger
Fort Lauderdale,FLL,00:35,2024-01-15,"['B6170', 'AD7411', 'HA2426', 'JL5863']","['JetBlue Airways', 'Hawaiian Airlines', 'JAL']",C,Landed - Delayed [+],21:26,2024-01-14,22:15,2024-01-14,actual,00:35,2024-01-15,01:32,2024-01-15,actual,Airbus A321neo
Charlotte,CLT,00:52,2024-01-15,['AA1937'],['American Airlines'],B,Landed - Delayed [+],22:45,2024-01-14,23:31,2024-01-14,actual,00:52,2024-01-15,01:21,2024-01-15,actual,Boeing 737-800 Passenger
Atlanta,ATL,00:58,2024-01-15,"['DL865', 'AM4188', 'KL6648', 'LA6261', 'VS4220', 'WS6383']","['Delta Air Lines', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],22:25,2024-01-14,22:15,2024-01-14,actual,00:58,2024-01-15,00:27,2024-01-15,actual,Airbus A321
Fort Myers,RSW,01:30,2024-01-15,['NK1143'],['Spirit Airlines'],B,Landed - On-time [+],22:27,2024-01-14,22:26,2024-01-14,actual,01:30,2024-01-15,01:04,2024-01-15,actual,Airbus A320
Camarillo,KCMA,02:59,2024-01-15,['LXJ439'],['Flexjet'],,Landed - On-time [+],19:00,2024-01-14,19:02,2024-01-14,actual,02:59,2024-01-15,02:42,2024-01-15,actual,EMBRAER EMB-545 Legacy 450
Phoenix,PHX,05:00,2024-01-15,['B61302'],['JetBlue Airways'],C,Landed - On-time [+],22:25,2024-01-14,22:29,2024-01-14,actual,05:00,2024-01-15,04:39,2024-01-15,actual,Airbus A320
Salt Lake City,SLC,05:02,2024-01-15,['B6648'],['JetBlue Airways'],C,Landed - On-time [+],22:40,2024-01-14,22:49,2024-01-14,actual,05:02,2024-01-15,05:08,2024-01-15,actual,Airbus A320
Phoenix,PHX,05:48,2024-01-15,['AA2701'],['American Airlines'],B,Landed - On-time [+],23:01,2024-01-14,23:16,2024-01-14,actual,05:48,2024-01-15,05:33,2024-01-15,actual,Airbus A321neo
Las Vegas,LAS,05:51,2024-01-15,['DL484'],['Delta Air Lines'],A,Landed - On-time [+],21:45,2024-01-14,21:43,2024-01-14,actual,05:51,2024-01-15,05:20,2024-01-15,actual,Airbus A321neo
Phoenix,PHX,06:05,2024-01-15,['DL979'],['Delta Air Lines'],A,Canceled [+],23:20,2024-01-14,23:20,2024-01-14,scheduled,06:05,2024-01-15,06:05,2024-01-15,scheduled,Airbus A321neo
Seattle,SEA,06:10,2024-01-15,"['B6498', 'EI5271', 'HA2114', 'TP4386']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],21:58,2024-01-14,21:47,2024-01-14,actual,06:10,2024-01-15,05:36,2024-01-15,actual,Airbus A321
Farmingdale,FRG,06:11,2024-01-15,['EJM159'],['Executive Jet Management'],,Landed - On-time [+],05:15,2024-01-15,05:22,2024-01-15,actual,06:11,2024-01-15,05:50,2024-01-15,actual,Gulfstream Aerospace IV (G300/G350/G400/G450/IVSP)
San Juan,SJU,06:14,2024-01-15,"['B6562', 'EI5287', 'HA2290', 'JL5481', 'TP4396']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'JAL', 'TAP Air Portugal']",C,Landed - On-time [+],02:58,2024-01-15,02:56,2024-01-15,actual,06:14,2024-01-15,05:49,2024-01-15,actual,Airbus A320
Los Angeles,LAX,06:20,2024-01-15,"['DL568', 'KE7395', 'LA8587', 'VS2204']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],21:45,2024-01-14,21:40,2024-01-14,actual,06:20,2024-01-15,05:58,2024-01-15,actual,Boeing 757-200 Passenger
Seattle,SEA,06:29,2024-01-15,"['DL2733', 'KE3009', 'MU8687', 'VS1732']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - Delayed [+],22:00,2024-01-14,22:44,2024-01-14,actual,06:29,2024-01-15,07:20,2024-01-15,actual,Airbus A321neo
San Diego,SAN,06:39,2024-01-15,['DL486'],['Delta Air Lines'],A,Landed - On-time [+],22:10,2024-01-14,22:14,2024-01-14,actual,06:39,2024-01-15,06:17,2024-01-15,actual,Airbus A321neo
Newark,EWR,06:59,2024-01-15,"['DL5832', 'KE3306']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],05:38,2024-01-15,05:29,2024-01-15,actual,06:59,2024-01-15,06:39,2024-01-15,actual,Embraer 175
San Francisco,SFO,06:59,2024-01-15,"['DL475', 'KE6731', 'LA8649', 'VS1787']","['Delta Air Lines', 'Korean Air', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],22:15,2024-01-14,09:58,2024-01-15,actual,06:59,2024-01-15,18:05,2024-01-15,actual,Airbus A321neo
Syracuse,SYR,07:00,2024-01-15,"['B6374', 'HA2190', 'TP4388']","['JetBlue Airways', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - Delayed [+],05:45,2024-01-15,06:45,2024-01-15,actual,07:00,2024-01-15,07:45,2024-01-15,actual,Embraer 190
New York,LGA,07:10,2024-01-15,['DL5605'],['Delta Air Lines'],A,Landed - On-time [+],06:00,2024-01-15,05:51,2024-01-15,actual,07:10,2024-01-15,06:48,2024-01-15,actual,Embraer 175
Los Angeles,LAX,07:15,2024-01-15,"['UA2106', 'CA7254', 'NZ9441', 'OZ6282', 'VA8301']",['United Airlines'],B,Landed - On-time [+],22:45,2024-01-14,22:39,2024-01-14,actual,07:15,2024-01-15,06:27,2024-01-15,actual,Boeing 757-200 Passenger
Middletown,MDT,07:15,2024-01-15,['AA5937'],['American Airlines'],B,Landed - On-time [+],05:44,2024-01-15,05:32,2024-01-15,actual,07:15,2024-01-15,06:56,2024-01-15,actual,
New York,JFK,07:16,2024-01-15,"['DL5653', 'KE3949', 'KL5257', 'VS4302']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],06:00,2024-01-15,05:59,2024-01-15,actual,07:16,2024-01-15,07:07,2024-01-15,actual,Embraer 175
Los Angeles,LAX,07:20,2024-01-15,"['B6988', 'HA2316', 'SQ1538', 'TP4412']","['JetBlue Airways', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],22:49,2024-01-14,23:10,2024-01-14,actual,07:20,2024-01-15,07:25,2024-01-15,actual,Airbus A321
Philadelphia,PHL,07:20,2024-01-15,"['B6560', 'EI5203', 'HA2210', 'TP4352']","['JetBlue Airways', 'Aer Lingus', 'Hawaiian Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],06:00,2024-01-15,05:55,2024-01-15,actual,07:20,2024-01-15,06:58,2024-01-15,actual,Embraer 190
Bar Harbor,BHB,07:25,2024-01-15,"['9K1830', 'B65156']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],06:00,2024-01-15,09:39,2024-01-15,actual,07:25,2024-01-15,11:15,2024-01-15,actual,Cessna (Light aircraft)
Philadelphia,PHL,07:29,2024-01-15,"['DL5801', 'KE3318']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],06:05,2024-01-15,05:56,2024-01-15,actual,07:29,2024-01-15,07:28,2024-01-15,actual,Embraer 175
Bangor,BGR,07:31,2024-01-15,['CNS99'],['PlaneSense'],,Landed - Delayed [+],06:30,2024-01-15,07:25,2024-01-15,actual,07:31,2024-01-15,08:25,2024-01-15,actual,Pilatus PC-12
New York,LGA,07:31,2024-01-15,['B62832'],['JetBlue Airways'],C,Landed - On-time [+],06:15,2024-01-15,06:31,2024-01-15,actual,07:31,2024-01-15,07:36,2024-01-15,actual,Embraer 190
Santo Domingo,SDQ,07:34,2024-01-15,['B61830'],['JetBlue Airways'],E,Landed - Delayed [+],04:19,2024-01-15,05:50,2024-01-15,actual,07:34,2024-01-15,08:40,2024-01-15,actual,Airbus A321
Nantucket,ACK,07:48,2024-01-15,"['9K5001', 'B65900']","['Cape Air', 'JetBlue Airways']",C,Landed - Delayed [+],07:00,2024-01-15,07:22,2024-01-15,actual,07:48,2024-01-15,08:16,2024-01-15,actual,Cessna (Light aircraft)
