Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Salt Lake City,SLC,00:08,2024-03-28,['DL702'],['Delta Air Lines'],A,Landed - On-time [+],17:29,"March 27, 2024",17:23,"March 27, 2024",actual,00:08,"March 28, 2024",23:44,2024-03-27,actual,Airbus A321neo
Denver,DEN,00:10,2024-03-28,['WN1354'],['Southwest Airlines'],B,Landed - On-time [+],18:20,"March 27, 2024",18:37,"March 27, 2024",actual,00:10,"March 28, 2024",00:13,"March 28, 2024",actual,Boeing 737 Passenger
Orlando,MCO,00:12,2024-03-28,['B61952'],['JetBlue'],C,Landed - Delayed [+],21:10,"March 27, 2024",22:19,"March 27, 2024",actual,00:12,"March 28, 2024",01:18,"March 28, 2024",actual,Airbus A321
New York,JFK,00:22,2024-03-28,['B6318'],['JetBlue'],C,Landed - Delayed [+],22:59,"March 27, 2024",00:27,2024-03-28,actual,00:22,"March 28, 2024",01:31,"March 28, 2024",actual,Embraer 190
Charlotte,CLT,00:36,2024-03-28,['AA1937'],['American Airlines'],B,Landed - Delayed [+],22:29,"March 27, 2024",22:47,"March 27, 2024",actual,00:36,"March 28, 2024",00:58,"March 28, 2024",actual,Boeing 737-800 Passenger
Myrtle Beach,MYR,00:38,2024-03-28,['NK3907'],['Spirit Airlines'],B,Landed - On-time [+],22:38,"March 27, 2024",22:28,"March 27, 2024",actual,00:38,"March 28, 2024",00:14,"March 28, 2024",actual,Airbus A320
Fort Myers,RSW,00:41,2024-03-28,['B6166'],['JetBlue'],C,Landed - On-time [+],21:36,"March 27, 2024",21:25,"March 27, 2024",actual,00:41,"March 28, 2024",00:45,"March 28, 2024",actual,Airbus A321neo
Miami,MIA,00:46,2024-03-28,['AA1054'],['American Airlines'],B,Landed - Delayed [+],21:08,"March 27, 2024",21:58,"March 27, 2024",actual,00:46,"March 28, 2024",01:16,"March 28, 2024",actual,Boeing 737MAX 8 Passenger
Atlanta,PDK,00:46,2024-03-28,['PXG600'],['Aitheras Aviation Group'],,Landed - Delayed [+],22:30,"March 27, 2024",04:09,2024-03-28,actual,00:46,"March 28, 2024",06:14,"March 28, 2024",actual,Cessna Citation
Atlanta,ATL,00:57,2024-03-28,['DL865'],['Delta Air Lines'],A,Landed - On-time [+],22:25,"March 27, 2024",22:30,"March 27, 2024",actual,00:57,"March 28, 2024",00:40,"March 28, 2024",actual,Airbus A321
San Juan,SJU,01:26,2024-03-28,['B6262'],['JetBlue'],C,Landed - On-time [+],21:10,"March 27, 2024",21:03,"March 27, 2024",actual,01:26,"March 28, 2024",01:04,"March 28, 2024",actual,Airbus A321
Newark,EWR,03:38,2024-03-28,['B62064'],['JetBlue'],C,Landed - DIVERTED [+],20:59,"March 27, 2024",22:09,2024-03-23,actual,03:38,"March 28, 2024",00:25,2024-03-24,actual,Airbus A220-300 Passenger
