Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Departure Status,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Arrival Status,Equipment
Fort Lauderdale,FLL,00:04,2024-01-04,['NK616'],['Spirit Airlines'],B,Landed - On-time [+],20:45,2024-01-03,20:58,2024-01-03,actual,00:04,2024-01-04,23:54,2024-01-03,actual,Airbus A320neo
Minneapolis,MSP,00:17,2024-01-04,['B6836'],['JetBlue Airways'],C,Landed - On-time [+],20:30,2024-01-03,20:21,2024-01-03,actual,00:17,2024-01-04,23:51,2024-01-03,actual,Airbus A220-300 Passenger
Fort Lauderdale,FLL,00:21,2024-01-04,"['B62180', 'AD7621', 'HA2428', 'JL5863']","['JetBlue Airways', 'Hawaiian Airlines', 'JAL']",C,Landed - Delayed [+],21:10,2024-01-03,21:42,2024-01-03,actual,00:21,2024-01-04,00:37,2024-01-04,actual,Airbus A321
Orlando,MCO,00:26,2024-01-04,"['B62052', 'AD7670', 'HA2348']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - On-time [+],21:25,2024-01-03,21:28,2024-01-03,actual,00:26,2024-01-04,00:08,2024-01-04,actual,Airbus A321
Salt Lake City,SLC,00:26,2024-01-04,"['DL702', 'KL5758', 'VS4254']","['Delta Air Lines', 'KLM Royal Dutch Airlines', 'Virgin Atlantic']",A,Landed - Delayed [+],17:50,2024-01-03,18:32,2024-01-03,actual,00:26,2024-01-04,00:58,2024-01-04,actual,Airbus A321
Miami,MIA,00:27,2024-01-04,"['AA1054', 'G36162']",['American Airlines'],B,Landed - On-time [+],21:07,2024-01-03,21:05,2024-01-03,actual,00:27,2024-01-04,23:58,2024-01-03,actual,Airbus A321
Charlotte,CLT,00:34,2024-01-04,['AA1937'],['American Airlines'],B,Landed - On-time [+],22:28,2024-01-03,22:58,2024-01-03,actual,00:34,2024-01-04,00:44,2024-01-04,actual,Boeing 737-800 Passenger
Chicago,ORD,00:44,2024-01-04,"['UA1564', 'NH7478', 'NZ2091', 'SK8889']","['United Airlines', 'SAS Scandinavian Airlines']",B,Landed - On-time [+],21:25,2024-01-03,21:26,2024-01-03,actual,00:44,2024-01-04,00:41,2024-01-04,actual,Airbus A320
Miami,MIA,00:58,2024-01-04,"['B62018', 'QR3899', 'TP4510']","['JetBlue Airways', 'Qatar Airways', 'TAP Air Portugal']",C,Landed - On-time [+],21:45,2024-01-03,21:58,2024-01-03,actual,00:58,2024-01-04,00:50,2024-01-04,actual,Embraer 190
New York,JFK,00:59,2024-01-04,"['B61618', 'EI5014', 'LO5703', 'QR3855']","['JetBlue Airways', 'Aer Lingus', 'Qatar Airways']",C,Landed - On-time [+],23:47,2024-01-03,00:09,2024-01-04,actual,00:59,2024-01-04,01:01,2024-01-04,actual,Embraer 190
Tampa,TPA,00:59,2024-01-04,"['B6886', 'HA2486']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - On-time [+],22:00,2024-01-03,22:05,2024-01-03,actual,00:59,2024-01-04,00:49,2024-01-04,actual,Airbus A220-300 Passenger
Atlanta,ATL,01:03,2024-01-04,"['DL865', 'AM4188', 'KE3682', 'KL6648', 'LA6261', 'VS4256', 'WS6383']","['Delta Air Lines', 'Korean Air', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],22:30,2024-01-03,22:27,2024-01-03,actual,01:03,2024-01-04,00:55,2024-01-04,actual,Airbus A321neo
Tampa,TPA,01:36,2024-01-04,['NK3583'],['Spirit Airlines'],B,Landed - On-time [+],22:31,2024-01-03,22:27,2024-01-03,actual,01:36,2024-01-04,01:08,2024-01-04,actual,Airbus A320neo
Orlando,MCO,01:38,2024-01-04,"['B61952', 'AD7669', 'HA2442']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - Delayed [+],22:39,2024-01-03,23:23,2024-01-03,actual,01:38,2024-01-04,01:54,2024-01-04,actual,Airbus A320
Philadelphia,PHL,04:16,2024-01-04,['5X1018'],['UPS'],,Landed - On-time [+],03:25,2024-01-04,03:33,2024-01-04,actual,04:16,2024-01-04,04:18,2024-01-04,actual,Boeing 767-300 Passenger
Louisville,SDF,04:20,2024-01-04,['5X1016'],['UPS'],,Landed - On-time [+],02:35,2024-01-04,02:46,2024-01-04,actual,04:20,2024-01-04,04:29,2024-01-04,actual,Boeing 767-300 Passenger
Newark,EWR,04:54,2024-01-04,['FX1989'],['FedEx'],,Landed - On-time [+],04:08,2024-01-04,03:59,2024-01-04,actual,04:54,2024-01-04,04:37,2024-01-04,actual,Boeing 757-200 Passenger
