location	b	ra_at_1in100	pathogen	tidy_name	taxids	predictor_type	study
Overall	-0.2395393678465499	3.9204108765938046e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.90133808785432	2.7373305711813743e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.193279258816981	5.556908910208772e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.169357268771201	1.5470947235182578e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.0182747041914674	5.073396023587885e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.192332129401256	1.5119556465853e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.8545633748843604	7.797146736754688e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.0159664630448437	5.061698913129999e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.675218737110291	3.4318605386894807e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.1092483440096927	4.465974452899438e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.841515762578756	1.155653214266053e-06	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.630228842961374	3.5897854511008215e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.317287342709209	1.3343559587050454e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.8057382061511161	1.115037706438232e-06	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3997804296529666	3.339948741474888e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.845340489026802	7.869391566267065e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.5981711059882202	2.738923181695709e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.1986504434536291	4.084034597733517e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
