Fig 3. of Airborne transmission of respiratory viruses Imported with https://apps.automeris.io/wpd/
Aerosol diameter (um)	Residence time in hours
0.001	1045.927604
0.01	104.3321607
1.355832342	10.40722102
4.822965386	1.038129074
16.72598433	0.1020157881
0.005602508645	356.0103482
0.5229892554	33.44852964
2.763395721	2.872686217
9.916209916	0.2822956756
20.33420202	0.06912789054
28.77825131	0.03420801264
39.43236056	0.01879776325
49.59329466	0.01199747695
59.42591858	0.008129724709
69.50317795	0.006026497842
79.33420469	0.004672569785
89.57455436	0.003677452983
99.56902633	0.002937913489
